"年度[西暦]","調査項目","設問","選択肢","回答数[人]","構成比[%]"
"2022","港区のホームページについて","問32. 港区ホームページを、利用するのはどのような時ですか。（○はいくつでも）","転入・転出・転居の手続きを調べる","124","22.9"
"2022","港区のホームページについて","問32. 港区ホームページを、利用するのはどのような時ですか。（○はいくつでも）","子どもに関する手続きなどを調べる","99","18.3"
"2022","港区のホームページについて","問32. 港区ホームページを、利用するのはどのような時ですか。（○はいくつでも）","ごみの出し方について調べる","204","37.7"
"2022","港区のホームページについて","問32. 港区ホームページを、利用するのはどのような時ですか。（○はいくつでも）","健康・医療に関する情報について調べる","252","46.6"
"2022","港区のホームページについて","問32. 港区ホームページを、利用するのはどのような時ですか。（○はいくつでも）","災害時などの防災情報を調べる","186","34.4"
"2022","港区のホームページについて","問32. 港区ホームページを、利用するのはどのような時ですか。（○はいくつでも）","区の施設を利用するとき","305","56.4"
"2022","港区のホームページについて","問32. 港区ホームページを、利用するのはどのような時ですか。（○はいくつでも）","講座・イベント情報について調べる","160","29.6"
"2022","港区のホームページについて","問32. 港区ホームページを、利用するのはどのような時ですか。（○はいくつでも）","地域の情報を調べる","142","26.2"
"2022","港区のホームページについて","問32. 港区ホームページを、利用するのはどのような時ですか。（○はいくつでも）","その他","66","12.2"
"2022","港区のホームページについて","問32. 港区ホームページを、利用するのはどのような時ですか。（○はいくつでも）","無回答","25","4.6"
"2022","港区のホームページについて","問33. 港区ホームページの中で、どのように知りたい情報を探しますか。（○はいくつでも）","検索エンジン（Yahoo!、Googleなど）から、「○○（調べたいワード）港区」と入れて探す","272","50.3"
"2022","港区のホームページについて","問33. 港区ホームページの中で、どのように知りたい情報を探しますか。（○はいくつでも）","港区ホームページ内の検索機能から探す","225","41.6"
"2022","港区のホームページについて","問33. 港区ホームページの中で、どのように知りたい情報を探しますか。（○はいくつでも）","トップページのメニュー（暮らし・手続き、防災・生活安全）から順を追って探す","149","27.5"
"2022","港区のホームページについて","問33. 港区ホームページの中で、どのように知りたい情報を探しますか。（○はいくつでも）","トップページの「利用者別に探す」（子ども・子育て、高齢者・介護）から順を追って探す","45","8.3"
"2022","港区のホームページについて","問33. 港区ホームページの中で、どのように知りたい情報を探しますか。（○はいくつでも）","トップページの「こんなとき」（妊娠・出産、学校・幼稚園）から順を追って探す","28","5.2"
"2022","港区のホームページについて","問33. 港区ホームページの中で、どのように知りたい情報を探しますか。（○はいくつでも）","トップページの「新着情報」や「注目情報」から探す","21","3.9"
"2022","港区のホームページについて","問33. 港区ホームページの中で、どのように知りたい情報を探しますか。（○はいくつでも）","無回答","66","12.2"
"2022","港区のホームページについて","問34. 港区ホームページで情報を探す時に感じる点を教えてください。（○はいくつでも）","すぐに情報を検索できた","202","37.3"
"2022","港区のホームページについて","問34. 港区ホームページで情報を探す時に感じる点を教えてください。（○はいくつでも）","検索キーワードに対して検索結果が多すぎる","85","15.7"
"2022","港区のホームページについて","問34. 港区ホームページで情報を探す時に感じる点を教えてください。（○はいくつでも）","階層が深くて、欲しい情報までたどり着くのに時間がかかる","176","32.5"
"2022","港区のホームページについて","問34. 港区ホームページで情報を探す時に感じる点を教えてください。（○はいくつでも）","大きなバナーがあり、情報が検索しやすい","22","4.1"
"2022","港区のホームページについて","問34. 港区ホームページで情報を探す時に感じる点を教えてください。（○はいくつでも）","その他","50","9.2"
"2022","港区のホームページについて","問34. 港区ホームページで情報を探す時に感じる点を教えてください。（○はいくつでも）","無回答","72","13.3"
"2022","港区のホームページについて","問35. 港区ホームページに掲載している情報は、分かりやすいと思いますか。（○は1つ）","とても思う","22","4.1"
"2022","港区のホームページについて","問35. 港区ホームページに掲載している情報は、分かりやすいと思いますか。（○は1つ）","思う","181","33.5"
"2022","港区のホームページについて","問35. 港区ホームページに掲載している情報は、分かりやすいと思いますか。（○は1つ）","やや思う","180","33.3"
"2022","港区のホームページについて","問35. 港区ホームページに掲載している情報は、分かりやすいと思いますか。（○は1つ）","あまり思わない","90","16.6"
"2022","港区のホームページについて","問35. 港区ホームページに掲載している情報は、分かりやすいと思いますか。（○は1つ）","思わない","15","2.8"
"2022","港区のホームページについて","問35. 港区ホームページに掲載している情報は、分かりやすいと思いますか。（○は1つ）","無回答","53","9.8"

"令和4年度（2022年度）区政モニターアンケート・港区のホームページについて","Ver202301",,,,
