行,EPSGコード,経度,緯度,施設名,郵便番号,所在地,電話番号,FAX
1,EPSG:6677,-35058.2969,-50072.60942,中央学童保育クラブ,194-0021,町田市中町1-20-30,042-725-5231,042-725-5231
2,EPSG:6677,-33295.97396,-45440.40292,つるっこ学童保育クラブ,195-0062,町田市大蔵町1913,042-708-0245,042-708-0245
3,EPSG:6677,-46186.53647,-43505.20606,相原たけの子学童保育クラブ,194-0211,町田市相原町1673,042-775-5707,042-775-5707
4,EPSG:6677,-35299.49141,-47675.6882,藤の台学童保育クラブ,194-0032,町田市本町田3350,042-726-2447,042-726-2447
5,EPSG:6677,-36894.54252,-48385.15751,木曽学童保育クラブ,194-0036,町田市木曽東3-11-3,042-791-6867,042-791-6867
6,EPSG:6677,-37819.35516,-48130.16029,木曽境川学童保育クラブ,194-0037,町田市木曽西1-9-1,042-793-2270,042-793-2270
7,EPSG:6677,-36074.81439,-46933.12276,七国山学童保育クラブ,195-0074,町田市山崎町1314-2,042-791-1606,042-791-1606
8,EPSG:6677,-35116.27611,-48283.37337,竹ん子学童保育クラブ,194-0032,町田市本町田1212,042-722-3267,042-722-3267
9,EPSG:6677,-34516.16105,-50338.05529,学童21保育クラブ,194-0013,町田市原町田4-26-40,042-724-7784,042-724-7784
10,EPSG:6677,-34474.90609,-50470.86635,学童21保育クラブ（分室）,194-0013,町田市原町田4-24-6,042-728-1505,042-728-1505
11,EPSG:6677,-33799.32458,-49945.08079,高ケ坂学童保育クラブ,194-0031,町田市南大谷1260,042-726-2449,042-726-2449
12,EPSG:6677,-32246.39131,-49787.46981,すまいる学童保育クラブ,194-0043,町田市成瀬台2-5-2,042-722-0633,042-722-0633
13,EPSG:6677,-34113.3639,-45359.87516,野津田学童保育クラブ,195-0063,町田市野津田町1290,042-735-4568,042-735-4568
14,EPSG:6677,-32912.35233,-50982.90468,なんなる学童保育クラブ,194-0045,町田市南成瀬3-6,042-726-1758,042-726-1758
15,EPSG:6677,-33005.83517,-54835.30333,鶴間ひまわり学童保育クラブ,194-0004,町田市鶴間4-17-1,042-706-4643,042-706-4643
