行,EPSGコード,経度,緯度,店舗名,商品名,郵便番号,所在地,電話番号,URL
1,EPSG:6668,139.467,35.543,華匠　華月,七国山,194-0044,東京都町田市成瀬8-4-13,042-725-2989,e-kagetsu.com
2,EPSG:6668,139.467,35.543,華匠　華月,鞍掛の松,194-0044,東京都町田市成瀬8-4-13,042-725-2989,e-kagetsu.com
3,EPSG:6668,139.467,35.543,華匠　華月,禅寺丸の里,194-0044,東京都町田市成瀬8-4-13,042-725-2989,e-kagetsu.com
4,EPSG:6668,139.432,35.555,丸治屋せんべい店,まちだおかき（醤油・みそ・辛子みそ）,194-0031,東京都町田市森野4-7-16,042-722-9063,maruziya.com
5,EPSG:6668,139.47,35.536,ホームデリカ　ＴＡＩＣＨＩ,成瀬ギョ－ザ(腸詰）,194-0011,東京都町田市成瀬が丘3-4-12,042-799-0229,
6,EPSG:6668,139.478,35.549,手造りハム・ソーセージ　独逸屋,町田ソーセージ,194-0043,東京都町田市成瀬台2-2-8,042-721-7401,doituya.com
7,EPSG:6668,139.478,35.549,手造りハム・ソーセージ　独逸屋,匠ソーセージ,194-0043,東京都町田市成瀬台2-2-8,042-721-7401,doituya.com
8,EPSG:6668,139.478,35.549,手造りハム・ソーセージ　独逸屋,お宝盛り,194-0043,東京都町田市成瀬台2-2-8,042-721-7401,doituya.com
9,EPSG:6668,139.448,35.542,菓舗　中野屋,天満最中,194-0013,東京都町田市原町田4-4-7,042-722-8484,
10,EPSG:6668,139.448,35.542,菓舗　中野屋,原町田七福神　福ふく,194-0013,東京都町田市原町田4-4-7,042-722-8484,
11,EPSG:6668,139.448,35.542,菓舗　中野屋,町田の原風景　麦の里,194-0013,東京都町田市原町田4-4-7,042-722-8484,
12,EPSG:6668,139.442,35.555,岡直三郎商店,日本一トマトドレッシング,194-0023,東京都町田市旭町1-23-21,042-722-2024,nihonichi-shoyu.co.jp
13,EPSG:6668,139.442,35.555,岡直三郎商店,日本一ゆずポン酢,194-0023,東京都町田市旭町1-23-21,042-722-2024,nihonichi-shoyu.co.jp
14,EPSG:6668,139.442,35.555,岡直三郎商店,日本一スパイス,194-0023,東京都町田市旭町1-23-21,042-722-2024,nihonichi-shoyu.co.jp
15,EPSG:6668,139.368,35.598,井上糀店,こしみそ（米みそ）,194-0212,東京都町田市小山町2483-2,042-860-0222,komemiso.com
16,EPSG:6668,139.368,35.598,井上糀店,匠（米みそ）,194-0212,東京都町田市小山町2483-2,042-860-0222,komemiso.com
17,EPSG:6668,139.368,35.598,井上糀店,海風（米みそ）,194-0212,東京都町田市小山町2483-2,042-860-0222,komemiso.com
18,EPSG:6668,139.449,35.542,守屋精肉店,炭火焼の焼豚,194-0013,東京都町田市原町田4-6-7,042-722-2070,
19,EPSG:6668,139.453,35.566,蛸八,とおりゃんせ,194-0032,東京都町田市本町田3592-5,042-723-2592,takohachi.business.site
20,EPSG:6668,139.453,35.566,蛸八,はすの実最中,194-0032,東京都町田市本町田3592-5,042-723-2592,takohachi.business.site
