"年月[西暦]","収受日","業態","届出種類","施設名称","施設所在地","施設方書","施設電話番号","許可番号","業態廃止日"
"202404","2024/4/3","高度管理医療機器販売業・貸与業","廃止","株式会社ザイマックス","東京都港区赤坂一丁目1番1号","ザイマックス赤坂111ビル","03-5544-6604","5港み生機器第76号","2024/4/3"
"202404","2024/4/18","高度管理医療機器販売業","廃止","パレットライフサイエンスジャパン株式会社","東京都港区海岸一丁目2番3号","汐留芝離宮ビルディング21階","03-5403-6925","3港み生機器第163号","2024/3/31"
"202404","2024/4/15","高度管理医療機器販売業","廃止","薬樹薬局　青山","東京都港区北青山三丁目3番10号","紀文堂ビル1階","03-3402-7450","3港み生機器第73号","2024/4/6"
"202404","2024/4/4","高度管理医療機器販売業・貸与業","廃止","エム・シー・メディカル株式会社","東京都港区港南二丁目16番1号","品川イーストワンタワー","03-5715-2800","5港み生機器第180号","2024/3/31"
"202404","2024/4/15","高度管理医療機器販売業・貸与業","廃止","東ソー株式会社　バイオサイエンス事業部","東京都港区芝三丁目8番2号","芝公園ファーストビル","03-5427-5179","4港み生機器第319号","2024/3/18"
"202404","2024/4/2","高度管理医療機器販売業","廃止","富士コンタクト新橋店","東京都港区新橋二丁目12番1号","ランディック第3新橋ビル2階","03-3503-6791","30港み生機器第154号","2024/4/1"
"202404","2024/4/19","高度管理医療機器販売業・貸与業","廃止","株式会社日立製作所　ヘルスケア事業本部　ヘルスケアイノベーション事業部　スマートセラピー本部　フロント戦略推進本部　粒子線営業部","東京都港区虎ノ門一丁目17番1号","虎ノ門ヒルズビジネスタワー","03-6284-3741","3港み生機器第241号","2024/3/31"
"202404","2024/4/22","高度管理医療機器販売業・貸与業","廃止","株式会社日立製作所ヘルスケア事業本部ヘルスケアイノベーション事業部スマートセラピー本部フロント戦略推進本部ソリューションサービス部企画本部営業企画本部営業企画部","東京都港区虎ノ門一丁目17番1号","虎ノ門ヒルズビジネスタワー","03-6284-3741","4港み生機器第70号","2024/3/31"
"202404","2024/4/22","高度管理医療機器販売業・貸与業","廃止","株式会社日立製作所　ヘルスケア事業本部　ヘルスケアイノベーション事業部　分析システム本部　営業本部","東京都港区虎ノ門一丁目17番1号","虎ノ門ヒルズビジネスタワー","03-6284-3741","4港み生機器第74号","2024/3/31"
"202404","2024/4/23","高度管理医療機器販売業・貸与業","廃止","株式会社日立製作所　ヘルスケア事業本部　ヘルスケアイノベーション事業部　スマートセラピー本部　Ｘ線治療システム部　企画本部　調達本部　第一部","東京都港区虎ノ門一丁目17番1号","虎ノ門ヒルズビジネスタワー","03-6284-3741","4港み生機器第75号","2024/3/31"
"202404","2024/4/16","高度管理医療機器販売業・貸与業","廃止","ＰＳＰ株式会社","東京都港区虎ノ門五丁目13番1号",,"03-4346-3180","31港み生機器第69号","2024/4/1"
"202404","2024/4/3","高度管理医療機器販売業・貸与業","廃止","合同会社サード・パーティ・ワン　西新橋スクエア営業所","東京都港区西新橋一丁目3番1号","西新橋スクエア 三菱HCキャピタル株式会社内","03-3503-7394","4港み生機器第84号","2024/3/31"
