設置,施設名,郵便番号,所在地,経度,緯度,座標系,電話番号,定員,定員(うちサテライト型住居）
他の法人,さくら岩本町ハウス,101-0032,千代田区岩本町２－１５－８,139.77789,35.69454,JGD2011,03-3865-2438,16,-
他の法人,ふるさと下落合館,161-0033,新宿区下落合２－５－１７,139.70123,35.71674,JGD2011,03-6908-2030,23,-
他の法人,ドミトリー落合,161-0034,新宿区上落合２－２８－１２,139.68573,35.71146,JGD2011,03-5386-5866,27,-
他の法人,ドミトリー落合（日住）,161-0034,新宿区上落合２－２８－１２,139.68573,35.71146,JGD2011,03-5386-5866,20,-
その他,いこい,162-0055,新宿区余丁町４－２２,139.7159,35.69535,JGD2011,03-3341-4842,10,-
社福法人,春陽寮,162-0851,新宿区弁天町４２,139.7276,35.70423,JGD2011,03-3268-1443,24,-
他の法人,ＴＥＯＳ北新宿ハウス,169-0074,新宿区北新宿３－１０－２,139.69075,35.70206,JGD2011,03-3363-3588,19,-
他の法人,おおぞら荘,111-0021,台東区日本堤１－１７－７,139.79912,35.72612,JGD2011,03-5603-8019,37,-
他の法人,ふるさと旅館朝日館,111-0021,台東区日本堤１－２４－４,139.8,35.72727,JGD2011,03-5808-9501,15,-
他の法人,ふるさと清川荘,111-0022,台東区清川２－１８－５,139.80148,35.72767,JGD2011,03-6458-1274,15,-
他の法人,ふるさとホテル三晃,111-0022,台東区清川２－３８－５,139.80061,35.72885,JGD2011,03-3872-7082,69,-
他の法人,山友荘,111-0022,台東区清川２－３８－２,139.80061,35.72885,JGD2011,03-3875-3646,21,-
他の法人,友愛ホーム,111-0022,台東区清川２－１６－３,139.80042,35.72757,JGD2011,03-5603-2829,12,-
他の法人,ふるさとあさひ館,111-0031,台東区千束４－２８－１,139.79457,35.72276,JGD2011,03-5824-1050,16,-
他の法人,千束荘,111-0031,台東区千束３－２３－１３,139.79349,35.72248,JGD2011,03-3873-2633,33,-
他の法人,ＳＴＥＰ－ＵＰ－ＨＯＵＳＥ,-,台東区,-,-,-,-,12,-
他の法人,ＴＥＯＳ千束三番館,-,台東区,-,-,-,-,32,-
他の法人,きぼうのいえ,-,台東区,-,-,-,-,21,-
他の法人,コスモスハウスおはな,-,台東区,-,-,-,-,13,-
他の法人,ふるさと日の出館,-,台東区,-,-,-,-,15,-
他の法人,やすらぎの家,-,台東区,-,-,-,-,15,-
他の法人,ふるさと寿々喜屋ハウス,130-0004,墨田区本所２－２０－５,139.80199,35.70481,JGD2011,03-6456-1442,20,-
他の法人,ふるさと福久井荘,131-0032,墨田区東向島２－４８－１３,139.81911,35.71969,JGD2011,03-6231-9930,16,-
他の法人,ふるさと向島５丁目ハウス,131-0033,墨田区向島５－１３－２１,139.81062,35.71927,JGD2011,03-3623-2611,12,-
他の法人,あさひ　宮田記念第３八広寮,131-0041,墨田区八広３－１－３,139.82495,35.71876,JGD2011,03-6657-0545,10,-
他の法人,あさひ　第３八広寮,131-0041,墨田区八広３－１－３,139.82495,35.71876,JGD2011,03-6657-0545,9,-
他の法人,ふるさと晃荘,131-0041,墨田区八広１－１４－１,139.82338,35.72044,JGD2011,03-6657-2440,16,-
他の法人,ふるさと立花４丁目ハウス,131-0043,墨田区立花４－１１－４,139.83017,35.71003,JGD2011,03-3612-2749,8,-
他の法人,フラワーハイツ,-,墨田区,-,-,-,-,15,-
営利法人,風待ちハウス,131-0045,墨田区押上３－５－２,139.81651,35.71359,JGD2011,03-6661-8967,10,3
他の法人,さくら中延ハウス,142-0053,品川区中延４－２０－５,139.71112,35.60426,JGD2011,03-3782-0890,11,-
他の法人,大森南荘,143-0013,大田区大森南２－１－２６,139.74091,35.56315,JGD2011,03-5735-5805,12,-
他の法人,カーサ大田中央,143-0024,大田区中央８－３６－８,139.71883,35.57212,JGD2011,03-6410-6671,7,-
他の法人,カーサ糀谷,144-0035,大田区南蒲田３－１２－１８,139.7291,35.5534,JGD2011,03-3743-3166,7,-
他の法人,カーサ大鳥居,144-0044,大田区本羽田３－１３－１６,139.73654,35.54794,JGD2011,03-5737-2931,9,-
他の法人,Ｌ．Ｃ西蒲田,144-0051,大田区西蒲田４－２－２,139.71831,35.56959,JGD2011,03-3753-1310,5,-
他の法人,蒲田荘,144-0053,大田区蒲田本町２－１９－４,139.71729,35.55631,JGD2011,03-5711-5258,33,-
他の法人,蒲田荘（日住）,144-0053,大田区蒲田本町２－１９－４,139.71729,35.55631,JGD2011,03-5711-5258,20,-
社福法人,春風寮,144-0055,大田区仲六郷４－２－１２,139.70972,35.54505,JGD2011,03-6424-8122,32,-
他の法人,さくら下丸子ハウス,146-0092,大田区下丸子１－１－８,139.68808,35.57084,JGD2011,03-5482-0366,11,4
他の法人,ＴＥＯＳ新町荘,154-0014,世田谷区新町３－２２－１０,139.64618,35.63218,JGD2011,03-5799-6948,20,-
他の法人,大蔵荘,157-0074,世田谷区大蔵６－７－２６,139.61195,35.62563,JGD2011,03-5727-1250,15,-
区市町村,千歳荘,-,世田谷区,-,-,-,-,48,-
他の法人,自立支援ホームわかば荘,164-0011,中野区中央２－５７－７,139.67661,35.70135,JGD2011,03-6279-2320,15,-
他の法人,やすらぎの里沼袋寮,165-0025,中野区沼袋４－３－１１,139.66138,35.72112,JGD2011,03-3389-4838,34,-
他の法人,下井草荘,167-0022,杉並区下井草１－７－１５,139.63242,35.71508,JGD2011,03-5303-5020,17,-
他の法人,本天沼荘,167-0031,杉並区本天沼２－３１－８,139.62544,35.71456,JGD2011,03-5303-7808,28,-
社福法人,東京望みの門,-,杉並区,-,-,-,-,5,-
他の法人,ふるさと上池ハウス,170-0012,豊島区上池袋１－１８－２７,139.72195,35.73488,JGD2011,03-6903-5054,25,-
社福法人,やまて寮　　※現在、休止中,171-0022,豊島区南池袋４－１８－９,139.72029,35.72435,JGD2011,03-3987-2352,48,-
他の法人,やすらぎの里東十条,114-0001,北区東十条５－７－６,139.72714,35.76912,JGD2011,03-3902-2983,94,-
社福法人,アイリス・ハート,-,北区,-,-,-,-,14,-
区市町村,赤羽荘,-,北区,-,-,-,-,46,-
他の法人,ふるさと町屋荘,116-0001,荒川区町屋８－１４－１１,139.78679,35.74811,JGD2011,03-6807-8148,16,-
他の法人,町屋荘,116-0001,荒川区町屋１－３０－２,139.78526,35.74571,JGD2011,03-5901-4433,12,-
他の法人,向原荘,173-0036,板橋区向原１－２０－３,139.68579,35.74322,JGD2011,03-5917-6765,24,-
他の法人,高島平荘,175-0082,板橋区高島平１－５９－１０,139.67181,35.78559,JGD2011,03-5921-0018,35,-
他の法人,高島平荘（日住）,175-0082,板橋区高島平１－５９－１０,139.67181,35.78559,JGD2011,03-5921-0018,20,-
他の法人,ライズケア成増,175-0094,板橋区成増１－１６－２７,139.63127,35.77446,JGD2011,03-6904-2355,69,-
他の法人,さくら関町南ハウス,177-0053,練馬区関町南４－１３－５,139.57396,35.72008,JGD2011,03-3920-3077,18,-
他の法人,大泉荘,178-0061,練馬区大泉学園町３－３－２６,139.58669,35.7623,JGD2011,03-5905-6077,16,-
