設置,施設名,郵便番号,所在地,経度,緯度,座標系,電話番号,定員
社福法人,愛育病院,105-8321,港区芝浦１－１６－１０,139.75166,35.6462,JGD2011,03-6453-7300,44
社福法人,東京都済生会中央病院,108-0073,港区三田１－４－１７,139.74274,35.65316,JGD2011,03-3451-8211,25
社福法人,聖母病院,161-8521,新宿区中落合２－５－１,139.69417,35.71974,JGD2011,03-3951-1111,2
国,東京山手メディカルセンター,169-0073,新宿区百人町３－２２－１,139.69823,35.70481,JGD2011,03-3364-0251,2
公益法人,八千代助産院,112-0013,文京区音羽１－１９－１８,139.72856,35.71568,JGD2011,03-5981-3023,7
公益法人,永寿総合病院,110-8645,台東区東上野２－２３－１６,139.77971,35.70954,JGD2011,03-3833-8381,3
社福法人,賛育会病院,130-0012,墨田区太平３－２０－２,139.81416,35.7026,JGD2011,03-3622-9191,30
都,東京都立墨東病院,130-8575,墨田区江東橋４－２３－１５,139.8188,35.69489,JGD2011,03-3633-6151,65
赤十字,大森赤十字病院,143-8527,大田区中央４－３０－１,139.7179,35.5793,JGD2011,03-3775-3111,5
都,東京都立荏原病院,145-0065,大田区東雪谷４－５－１０,139.69292,35.59362,JGD2011,03-5734-8000,32
社福法人,久我山病院,157-0061,世田谷区北烏山２－１４－２０,139.59869,35.68129,JGD2011,03-3309-1111,6
都,東京都立広尾病院,150-0013,渋谷区恵比寿２－３４－１０,139.72154,35.64743,JGD2011,03-3444-1181,20
赤十字,日本赤十字社医療センター,150-8935,渋谷区広尾４－１－２２,139.71898,35.65362,JGD2011,03-3400-1311,85
医療法人,松が丘助産院,165-0024,中野区松が丘１－１０－１３,139.67145,35.71878,JGD2011,03-5343-6071,2
他の法人,立正佼成会附属佼成病院,166-0012,杉並区和田２－２５－１,139.65633,35.68938,JGD2011,03-3383-1281,3
都,東京都立大塚病院,170-8476,豊島区南大塚２－８－１,139.73215,35.72527,JGD2011,03-3941-3211,40
都,東京都立豊島病院,173-0015,板橋区栄町３３－１,139.70078,35.7529,JGD2011,03-5375-1234,20
医療法人,板橋中央総合病院,174-0051,板橋区小豆沢２－１２－７,139.69719,35.77565,JGD2011,03-3967-1181,10
公益法人,板橋区医師会病院,175-0082,板橋区高島平３－１２－６,139.65782,35.78631,JGD2011,03-3975-8151,6
公益法人,練馬光が丘病院,179-0072,練馬区光が丘２－５－１,139.63358,35.76155,JGD2011,03-3979-3611,2
赤十字,東京かつしか赤十字母子医療センター,125-0051,葛飾区新宿３－７－１,139.86259,35.76144,JGD2011,03-5876-3511,8
医療法人,まつしま病院,132-0031,江戸川区松島１－４１－２９,139.86736,35.70687,JGD2011,03-3653-5541,5
その他,東京臨海病院,134-0086,江戸川区臨海町１－４－２,139.85408,35.65271,JGD2011,03-5605-8811,2
他の法人,東海大学医学部付属八王子病院,192-0032,八王子市石川町１８３８,139.35706,35.67381,JGD2011,042-639-1111,5
他の法人,東京医科大学八王子医療センター,193-0998,八王子市館町１１６３,139.28883,35.63292,JGD2011,042-665-5611,14
その他,まんまる助産院,190-0001,立川市若葉町２－１－１,139.43961,35.71925,JGD2011,042-534-9877,3
医療法人,立川相互病院,190-8578,立川市錦町１－１６－１５,139.42239,35.69665,JGD2011,042-525-2585,3
赤十字,武蔵野赤十字病院,180-8610,武蔵野市境南町１－２６－１,139.54785,35.69767,JGD2011,0422-32-3111,10
区市町村,青梅市立総合病院,198-0042,青梅市東青梅４－１６－５,139.28117,35.78251,JGD2011,0428-22-3191,2
都,東京都立多摩総合医療センター,183-8524,府中市武蔵台２－８－２９,139.46152,35.69201,JGD2011,042-323-5111,35
区市町村,町田市民病院,194-0023,町田市旭町２－１５－４１,139.4369,35.55734,JGD2011,042-722-2230,4
社福法人,桜町病院,184-8511,小金井市桜町１－２－２０,139.51196,35.70885,JGD2011,042-383-4111,6
事務組合,公立昭和病院,187-8510,小平市花小金井８－１－１,139.50266,35.73167,JGD2011,042-461-0052,4
区市町村,日野市立病院,191-0062,日野市多摩平４－３－１,139.37875,35.66647,JGD2011,042-581-2677,16
その他,森田助産院,197-0023,福生市志茂８３,139.33,35.73696,JGD2011,042-551-0323,2
事務組合,公立福生病院,197-8511,福生市加美平１－６－１,139.32657,35.74707,JGD2011,042-551-1111,3
他の法人,日本医科大学多摩永山病院（休止）,206-8512,多摩市永山１－７－１,139.446655,35.631138,JGD2011,042-371-2111,6
区市町村,稲城市立病院,206-0801,稲城市大丸１１７１,139.48199,35.64156,JGD2011,042-377-0931,3
事務組合,公立阿伎留医療センター,197-0834,あきる野市引田７８－１,139.2719,35.73214,JGD2011,042-558-0321,2
