地域階層,地域コード,地域,合計（経営体）,青色申告を行っていない（経営体）,青色申告を行っている／計（経営体）,青色申告を行っている／正規の簿記／小計（経営体）,青色申告を行っている／正規の簿記／1年（経営体）,青色申告を行っている／正規の簿記／2年（経営体）,青色申告を行っている／正規の簿記／3年（経営体）,青色申告を行っている／正規の簿記／4年（経営体）,青色申告を行っている／正規の簿記／5年以上（経営体）,青色申告を行っている／簡易簿記／小計（経営体）,青色申告を行っている／簡易簿記／1年（経営体）,青色申告を行っている／簡易簿記／2年（経営体）,青色申告を行っている／簡易簿記／3年（経営体）,青色申告を行っている／簡易簿記／4年（経営体）,青色申告を行っている／簡易簿記／5年以上（経営体）,青色申告を行っている／現金主義／小計（経営体）,青色申告を行っている／現金主義／1年（経営体）,青色申告を行っている／現金主義／2年（経営体）,青色申告を行っている／現金主義／3年（経営体）,青色申告を行っている／現金主義／4年（経営体）,青色申告を行っている／現金主義／5年以上（経営体）
0,13000,東京都総数,5117,1477,3640,1822,24,25,28,14,1731,1412,25,9,20,11,1347,406,11,4,5,6,380
1,13100,区部,809,198,611,268,2,2,4,1,259,259,2,1,2,3,251,84,3,2,1,2,76
4,13101,千代田区,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13102,中央区,5,1,4,4,-,-,1,-,3,-,-,-,-,-,-,-,-,-,-,-,-
4,13103,港区,1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
4,13104,新宿区,1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
4,13105,文京区,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13106,台東区,2,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
4,13107,墨田区,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13108,江東区,2,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
4,13109,品川区,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13110,目黒区,6,1,5,3,-,-,-,-,3,1,-,-,-,-,1,1,-,-,-,-,1
4,13111,大田区,5,-,5,5,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-
4,13112,世田谷区,195,31,164,54,2,-,-,1,51,89,-,-,1,1,87,21,1,-,1,-,19
4,13113,渋谷区,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13114,中野区,4,1,3,2,-,-,-,-,2,1,-,-,-,-,1,-,-,-,-,-,-
4,13115,杉並区,60,14,46,21,-,-,-,-,21,19,-,-,-,-,19,6,-,-,-,-,6
4,13116,豊島区,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13117,北区,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13118,荒川区,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13119,板橋区,23,7,16,10,-,-,-,-,10,2,-,-,-,-,2,4,-,-,-,-,4
4,13120,練馬区,275,73,202,85,-,2,2,-,81,83,2,1,-,1,79,34,1,2,-,2,29
4,13121,足立区,58,19,39,22,-,-,-,-,22,11,-,-,-,-,11,6,1,-,-,-,5
4,13122,葛飾区,70,18,52,23,-,-,-,-,23,22,-,-,-,1,21,7,-,-,-,-,7
4,13123,江戸川区,102,31,71,35,-,-,1,-,34,31,-,-,1,-,30,5,-,-,-,-,5
1,13200,市部,3629,955,2674,1351,13,13,18,11,1296,1031,18,8,15,7,983,292,5,2,4,4,277
4,13201,八王子市,342,110,232,100,2,-,3,-,95,101,1,-,2,1,97,31,1,1,-,1,28
4,13202,立川市,244,64,180,87,1,2,1,-,83,77,2,-,-,1,74,16,-,-,-,-,16
4,13203,武蔵野市,54,11,43,30,-,-,-,-,30,11,-,-,-,-,11,2,1,-,-,-,1
4,13204,三鷹市,206,42,164,104,2,1,-,1,100,49,-,-,-,-,49,11,-,-,-,-,11
4,13205,青梅市,138,67,71,34,1,1,1,-,31,29,1,1,1,-,26,8,-,-,-,-,8
4,13206,府中市,156,25,131,87,-,2,3,1,81,34,-,-,-,-,34,10,-,1,-,-,9
4,13207,昭島市,55,15,40,18,1,-,-,-,17,17,-,-,-,1,16,5,-,-,-,-,5
4,13208,調布市,129,16,113,72,1,-,1,1,69,34,-,-,1,-,33,7,-,-,-,1,6
4,13209,町田市,323,125,198,76,-,3,3,-,70,86,2,1,2,-,81,36,-,-,3,-,33
4,13210,小金井市,88,7,81,50,-,-,1,1,48,22,-,-,-,-,22,9,-,-,-,-,9
4,13211,小平市,209,35,174,89,-,-,-,-,89,62,-,1,-,-,61,23,-,-,-,1,22
4,13212,日野市,129,21,108,57,1,1,-,2,53,37,1,-,1,1,34,14,-,-,-,-,14
4,13213,東村山市,168,43,125,51,-,1,1,-,49,62,1,1,1,-,59,12,1,-,-,-,11
4,13214,国分寺市,160,40,120,70,-,1,-,1,68,47,1,-,-,-,46,3,-,-,-,-,3
4,13215,国立市,51,17,34,16,-,-,-,-,16,13,-,1,1,1,10,5,-,-,-,-,5
4,13218,福生市,12,2,10,7,-,-,-,-,7,2,-,-,-,-,2,1,-,-,-,-,1
4,13219,狛江市,58,8,50,36,-,-,1,-,35,11,-,-,-,-,11,3,-,-,-,-,3
4,13220,東大和市,74,22,52,16,-,-,-,-,16,25,1,-,-,-,24,11,-,-,-,-,11
4,13221,清瀬市,155,47,108,48,-,-,1,-,47,50,1,-,2,-,47,10,1,-,1,-,8
4,13222,東久留米市,180,39,141,79,2,1,-,-,76,47,1,-,-,-,46,15,-,-,-,-,15
4,13223,武蔵村山市,142,32,110,48,-,-,1,1,46,43,1,-,-,1,41,19,-,-,-,-,19
4,13224,多摩市,23,5,18,12,-,-,-,-,12,4,-,-,-,-,4,2,-,-,-,-,2
4,13225,稲城市,160,26,134,56,-,-,-,1,55,62,1,1,-,1,59,16,-,-,-,-,16
4,13227,羽村市,58,17,41,23,-,-,-,-,23,13,-,-,-,-,13,5,-,-,-,1,4
4,13228,あきる野市,175,103,72,36,2,-,-,1,33,30,2,1,2,-,25,6,1,-,-,-,5
4,13229,西東京市,140,16,124,49,-,-,1,1,47,63,2,1,2,-,58,12,-,-,-,-,12
1,13550,町村部,679,324,355,203,9,10,6,2,176,122,5,-,3,1,113,30,3,-,-,-,27
2,13300,西多摩郡,172,83,89,49,2,3,3,1,40,28,1,-,1,-,26,12,1,-,-,-,11
4,13303,瑞穂町,117,54,63,37,-,3,2,1,31,17,-,-,-,-,17,9,1,-,-,-,8
4,13305,日の出町,51,27,24,11,2,-,-,-,9,10,1,-,1,-,8,3,-,-,-,-,3
4,13307,檜原村,3,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
4,13308,奥多摩町,1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2,13350,島部,507,241,266,154,7,7,3,1,136,94,4,-,2,1,87,18,2,-,-,-,16
3,13360,大島支庁,130,71,59,27,1,1,-,-,25,26,2,-,1,-,23,6,1,-,-,-,5
4,13361,大島町,75,50,25,15,1,1,-,-,13,7,-,-,-,-,7,3,1,-,-,-,2
4,13362,利島村,30,15,15,7,-,-,-,-,7,5,1,-,-,-,4,3,-,-,-,-,3
4,13363,新島村,15,-,15,3,-,-,-,-,3,12,1,-,1,-,10,-,-,-,-,-,-
4,13364,神津島村,10,6,4,2,-,-,-,-,2,2,-,-,-,-,2,-,-,-,-,-,-
3,13380,三宅支庁,30,17,13,3,-,1,-,-,2,9,-,-,-,-,9,1,1,-,-,-,-
4,13381,三宅村,23,11,12,3,-,1,-,-,2,8,-,-,-,-,8,1,1,-,-,-,-
4,13382,御蔵島村,7,6,1,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-
3,13400,八丈支庁,310,148,162,100,6,4,2,-,88,55,1,-,1,1,52,7,-,-,-,-,7
4,13401,八丈町,306,144,162,100,6,4,2,-,88,55,1,-,1,1,52,7,-,-,-,-,7
4,13402,青ケ島村,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,13420,小笠原支庁,37,5,32,24,-,1,1,1,21,4,1,-,-,-,3,4,-,-,-,-,4
4,13421,小笠原村,37,5,32,24,-,1,1,1,21,4,1,-,-,-,3,4,-,-,-,-,4
,,,,,,,,,,,,,,,,,,,,,,,
2020年農林業センサス,,,,,,,,,,,,,,,,,,,,,,,
第21表　区市町村、青色申告を行っている経営体の取組年数別経営体数（農業経営体）,,,,,,,,,,,,,,,,,,,,,,,
地域階層（0：東京都総数　1：区部・市部・町村部　2：西多摩郡・島部　3：支庁　4：区市町村）,,,,,,,,,,,,,,,,,,,,,,,
