地域階層,地域コード,地域,総数／計（人）,総数／男（人）,総数／女（人）,29日以下／計（人）,29日以下／男（人）,29日以下／女（人）,30～59日／計（人）,30～59日／男（人）,30～59日／女（人）,60～99日／計（人）,60～99日／男（人）,60～99日／女（人）,100～149日／計（人）,100～149日／男（人）,100～149日／女（人）,150～199日／計（人）,150～199日／男（人）,150～199日／女（人）,200～249日／計（人）,200～249日／男（人）,200～249日／女（人）,250日以上／計（人）,250日以上／男（人）,250日以上／女（人）
0,13000,東京都総数,12416,6925,5491,1775,767,1008,1163,490,673,1142,441,701,1436,622,814,1275,635,640,1508,888,620,4117,3082,1035
1,13100,区部,2190,1195,995,335,146,189,203,86,117,187,77,110,241,103,138,246,108,138,321,194,127,657,481,176
4,13101,千代田区,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13102,中央区,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13103,港区,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
4,13104,新宿区,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
4,13105,文京区,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13106,台東区,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
4,13107,墨田区,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13108,江東区,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
4,13109,品川区,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13110,目黒区,16,8,8,7,2,5,1,-,1,1,1,-,1,1,-,3,2,1,1,1,-,2,1,1
4,13111,大田区,9,4,5,1,1,-,1,-,1,-,-,-,1,-,1,3,-,3,1,1,-,2,2,-
4,13112,世田谷区,526,287,239,86,38,48,58,21,37,37,13,24,55,23,32,61,27,34,66,39,27,163,126,37
4,13113,渋谷区,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13114,中野区,7,4,3,1,-,1,1,-,1,1,1,-,1,-,1,1,1,-,2,2,-,-,-,-
4,13115,杉並区,159,89,70,25,10,15,21,8,13,17,7,10,22,10,12,21,10,11,22,16,6,31,28,3
4,13116,豊島区,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13117,北区,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13118,荒川区,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13119,板橋区,58,33,25,14,8,6,6,1,5,9,3,6,6,5,1,4,2,2,11,9,2,8,5,3
4,13120,練馬区,769,419,350,115,50,65,68,27,41,72,30,42,81,35,46,88,42,46,117,71,46,228,164,64
4,13121,足立区,169,94,75,20,10,10,13,7,6,14,7,7,7,-,7,17,5,12,31,19,12,67,46,21
4,13122,葛飾区,206,104,102,30,10,20,10,6,4,15,8,7,22,9,13,24,9,15,36,17,19,69,45,24
4,13123,江戸川区,268,150,118,34,15,19,24,16,8,21,7,14,45,20,25,23,9,14,34,19,15,87,64,23
1,13200,市部,9105,5075,4030,1296,561,735,856,345,511,869,319,550,1086,467,619,885,443,442,1064,626,438,3049,2314,735
4,13201,八王子市,736,437,299,115,55,60,58,26,32,75,36,39,91,47,44,60,28,32,55,35,20,282,210,72
4,13202,立川市,646,353,293,87,40,47,69,30,39,55,19,36,55,22,33,80,31,49,82,52,30,218,159,59
4,13203,武蔵野市,147,76,71,11,3,8,12,7,5,24,2,22,21,5,16,13,7,6,23,17,6,43,35,8
4,13204,三鷹市,588,326,262,85,36,49,50,15,35,47,15,32,53,20,33,61,28,33,61,34,27,231,178,53
4,13205,青梅市,289,163,126,64,28,36,31,14,17,31,16,15,53,26,27,20,11,9,20,13,7,70,55,15
4,13206,府中市,412,224,188,59,22,37,34,5,29,31,15,16,55,19,36,28,13,15,66,40,26,139,110,29
4,13207,昭島市,140,79,61,28,7,21,12,6,6,13,5,8,15,8,7,9,5,4,21,14,7,42,34,8
4,13208,調布市,341,197,144,38,19,19,19,5,14,39,13,26,32,12,20,39,22,17,42,24,18,132,102,30
4,13209,町田市,781,433,348,143,66,77,76,30,46,85,38,47,134,63,71,87,53,34,93,60,33,163,123,40
4,13210,小金井市,226,131,95,32,15,17,21,8,13,15,3,12,37,17,20,22,11,11,30,19,11,69,58,11
4,13211,小平市,515,282,233,67,27,40,46,16,30,45,15,30,71,33,38,39,19,20,59,29,30,188,143,45
4,13212,日野市,295,157,138,47,19,28,27,9,18,35,9,26,29,15,14,28,11,17,28,13,15,101,81,20
4,13213,東村山市,430,236,194,53,29,24,39,9,30,39,12,27,48,25,23,37,21,16,54,28,26,160,112,48
4,13214,国分寺市,459,256,203,55,23,32,37,17,20,50,15,35,83,32,51,41,17,24,63,45,18,130,107,23
4,13215,国立市,135,79,56,30,12,18,15,6,9,11,2,9,11,4,7,6,3,3,14,8,6,48,44,4
4,13218,福生市,23,15,8,4,3,1,1,-,1,5,2,3,2,-,2,5,4,1,2,2,-,4,4,-
4,13219,狛江市,161,92,69,23,9,14,17,5,12,11,5,6,18,7,11,19,7,12,18,12,6,55,47,8
4,13220,東大和市,188,97,91,27,11,16,20,8,12,23,7,16,22,7,15,14,7,7,19,8,11,63,49,14
