地域階層,地域コード,地域,総農家数（戸）,総農家数／販売農家数（戸）,総農家数／販売農家数／法人化している（戸）,総農家数／自給的農家数（戸）
0,13000,東京都総数,9567,4606,17,4961
1,13100,区部,1251,700,3,551
4,13101,千代田区,-,-,-,-
4,13102,中央区,-,-,-,-
4,13103,港区,-,-,-,-
4,13104,新宿区,2,1,-,1
4,13105,文京区,1,-,-,1
4,13106,台東区,1,1,-,-
4,13107,墨田区,1,-,-,1
4,13108,江東区,1,-,-,1
4,13109,品川区,-,-,-,-
4,13110,目黒区,8,5,-,3
4,13111,大田区,5,3,-,2
4,13112,世田谷区,312,171,3,141
4,13113,渋谷区,1,-,-,1
4,13114,中野区,9,2,-,7
4,13115,杉並区,95,53,-,42
4,13116,豊島区,1,-,-,1
4,13117,北区,-,-,-,-
4,13118,荒川区,1,-,-,1
4,13119,板橋区,52,18,-,34
4,13120,練馬区,394,242,-,152
4,13121,足立区,119,54,-,65
4,13122,葛飾区,105,65,-,40
4,13123,江戸川区,143,85,-,58
1,13200,市部,6853,3299,10,3554
4,13201,八王子市,1012,324,-,688
4,13202,立川市,277,209,1,68
4,13203,武蔵野市,59,49,-,10
4,13204,三鷹市,246,184,-,62
4,13205,青梅市,604,127,2,477
4,13206,府中市,276,143,-,133
4,13207,昭島市,117,49,-,68
4,13208,調布市,189,122,1,67
4,13209,町田市,659,279,-,380
4,13210,小金井市,127,81,-,46
4,13211,小平市,273,187,-,86
4,13212,日野市,273,120,-,153
4,13213,東村山市,252,151,-,101
4,13214,国分寺市,176,137,2,39
4,13215,国立市,109,48,1,61
4,13218,福生市,33,10,-,23
4,13219,狛江市,108,56,-,52
4,13220,東大和市,140,63,-,77
4,13221,清瀬市,198,147,-,51
4,13222,東久留米市,241,169,1,72
4,13223,武蔵村山市,265,128,1,137
4,13224,多摩市,70,20,-,50
4,13225,稲城市,222,151,1,71
4,13227,羽村市,94,49,-,45
4,13228,あきる野市,646,168,-,478
4,13229,西東京市,187,128,-,59
1,13550,町村部,1463,607,4,856
2,13300,西多摩郡,709,166,2,543
4,13303,瑞穂町,338,115,1,223
4,13305,日の出町,202,48,-,154
4,13307,檜原村,119,2,1,117
4,13308,奥多摩町,50,1,-,49
2,13350,島部,754,441,2,313
3,13360,大島支庁,311,114,1,197
4,13361,大島町,139,68,1,71
4,13362,利島村,30,30,-,-
4,13363,新島村,112,8,-,104
4,13364,神津島村,30,8,-,22
3,13380,三宅支庁,64,28,-,36
4,13381,三宅村,49,21,-,28
4,13382,御蔵島村,15,7,-,8
3,13400,八丈支庁,325,267,-,58
4,13401,八丈町,319,264,-,55
4,13402,青ケ島村,6,3,-,3
3,13420,小笠原支庁,54,32,1,22
4,13421,小笠原村,54,32,1,22
,,,,,,
2020年農林業センサス,,,,,,
第37表　区市町村別総農家数（総農家）,,,,,,
地域階層（0：東京都総数　1：区部・市部・町村部　2：西多摩郡・島部　3：支庁　4：区市町村）,,,,,,
