地域階層,地域コード,地域,男の経営主／経営方針の決定参画者がいる（経営体）,男の経営主／経営方針の決定参画者がいる／男女の経営方針決定参画者がいる（経営体）,男の経営主／経営方針の決定参画者がいる／男の経営方針決定参画者だけ（経営体）,男の経営主／経営方針の決定参画者がいる／女の経営方針決定参画者だけ（経営体）,男の経営主／経営方針の決定参画者がいない（経営体）,女の経営主／経営方針の決定参画者がいる（経営体）,女の経営主／経営方針の決定参画者がいる／男女の経営方針決定参画者がいる（経営体）,女の経営主／経営方針の決定参画者がいる／男の経営方針決定参画者だけ（経営体）,女の経営主／経営方針の決定参画者がいる／女の経営方針決定参画者だけ（経営体）,女の経営主／経営方針の決定参画者がいない（経営体）
0,13000,東京都総数,1831,491,383,957,2669,246,67,147,32,295
1,13100,区部,332,107,67,158,382,51,14,28,9,25
4,13101,千代田区,-,-,-,-,-,-,-,-,-,-
4,13102,中央区,-,-,-,-,-,-,-,-,-,-
4,13103,港区,x,x,x,x,x,x,x,x,x,x
4,13104,新宿区,x,x,x,x,x,x,x,x,x,x
4,13105,文京区,-,-,-,-,-,-,-,-,-,-
4,13106,台東区,x,x,x,x,x,x,x,x,x,x
4,13107,墨田区,-,-,-,-,-,-,-,-,-,-
4,13108,江東区,x,x,x,x,x,x,x,x,x,x
4,13109,品川区,-,-,-,-,-,-,-,-,-,-
4,13110,目黒区,2,1,-,1,3,1,1,-,-,-
4,13111,大田区,2,-,-,2,1,-,-,-,-,-
4,13112,世田谷区,71,19,19,33,95,18,6,10,2,6
4,13113,渋谷区,-,-,-,-,-,-,-,-,-,-
4,13114,中野区,1,-,1,-,2,-,-,-,-,-
4,13115,杉並区,22,8,2,12,31,4,1,2,1,3
4,13116,豊島区,-,-,-,-,-,-,-,-,-,-
4,13117,北区,-,-,-,-,-,-,-,-,-,-
4,13118,荒川区,-,-,-,-,-,-,-,-,-,-
4,13119,板橋区,9,4,2,3,13,1,-,-,1,-
4,13120,練馬区,121,30,28,63,127,15,1,10,4,11
4,13121,足立区,27,14,5,8,25,4,2,1,1,2
4,13122,葛飾区,38,12,5,21,29,1,-,1,-,2
4,13123,江戸川区,39,19,5,15,54,7,3,4,-,1
1,13200,市部,1368,370,305,693,1860,180,53,106,21,187
4,13201,八王子市,125,22,27,76,192,6,1,5,-,19
4,13202,立川市,102,38,23,41,110,16,4,11,1,11
4,13203,武蔵野市,22,7,4,11,26,3,1,2,-,2
4,13204,三鷹市,81,35,19,27,99,15,6,7,2,11
4,13205,青梅市,49,10,8,31,76,3,2,1,-,7
4,13206,府中市,70,23,15,32,68,8,2,6,-,7
4,13207,昭島市,24,5,8,11,28,2,-,2,-,-
4,13208,調布市,48,12,13,23,73,5,1,3,1,1
4,13209,町田市,130,31,18,81,152,17,4,12,1,20
4,13210,小金井市,40,11,12,17,37,5,1,3,1,5
4,13211,小平市,66,12,17,37,108,14,4,7,3,19
4,13212,日野市,40,4,8,28,70,9,2,5,2,10
4,13213,東村山市,64,24,14,26,74,15,6,7,2,15
4,13214,国分寺市,71,23,12,36,73,8,4,3,1,5
4,13215,国立市,20,3,11,6,25,2,-,2,-,3
4,13218,福生市,3,-,2,1,7,1,-,-,1,-
4,13219,狛江市,28,9,9,10,27,3,2,1,-,-
4,13220,東大和市,18,3,3,12,43,6,2,2,2,7
4,13221,清瀬市,62,24,16,22,83,5,1,3,1,4
4,13222,東久留米市,77,23,13,41,91,2,1,1,-,9
4,13223,武蔵村山市,37,5,11,21,89,7,2,5,-,8
4,13224,多摩市,11,1,3,7,10,1,-,1,-,-
4,13225,稲城市,59,16,11,32,85,6,2,2,2,8
4,13227,羽村市,19,4,6,9,33,5,1,4,-,1
4,13228,あきる野市,55,11,11,33,111,5,2,2,1,4
4,13229,西東京市,47,14,11,22,70,11,2,9,-,11
1,13550,町村部,131,14,11,106,427,15,-,13,2,83
2,13300,西多摩郡,55,9,7,39,103,3,-,3,-,7
4,13303,瑞穂町,36,4,5,27,73,2,-,2,-,5
4,13305,日の出町,18,5,2,11,28,1,-,1,-,2
4,13307,檜原村,x,x,x,x,x,x,x,x,x,x
4,13308,奥多摩町,x,x,x,x,x,x,x,x,x,x
2,13350,島部,76,5,4,67,324,12,-,10,2,76
3,13360,大島支庁,27,1,3,23,69,3,-,2,1,19
4,13361,大島町,19,-,3,16,39,1,-,1,-,8
4,13362,利島村,5,1,-,4,21,1,-,-,1,3
4,13363,新島村,1,-,-,1,7,-,-,-,-,3
4,13364,神津島村,2,-,-,2,2,1,-,1,-,5
3,13380,三宅支庁,5,1,-,4,20,-,-,-,-,4
4,13381,三宅村,2,1,-,1,17,-,-,-,-,3
4,13382,御蔵島村,3,-,-,3,3,-,-,-,-,1
3,13400,八丈支庁,30,3,1,26,218,8,-,7,1,49
4,13401,八丈町,29,3,1,25,215,8,-,7,1,49
4,13402,青ケ島村,1,-,-,1,3,-,-,-,-,-
3,13420,小笠原支庁,14,-,-,14,17,1,-,1,-,4
4,13421,小笠原村,14,-,-,14,17,1,-,1,-,4
,,,,,,,,,,,,
2020年農林業センサス,,,,,,,,,,,,
第25表　区市町村、経営方針の決定参画者の有無別経営体数（個人経営体）（農業経営体）,,,,,,,,,,,,
地域階層（0：東京都総数　1：区部・市部・町村部　2：西多摩郡・島部　3：支庁　4：区市町村）,,,,,,,,,,,,
