"年度[西暦]","款","当初予算 金額[千円]","当初予算 構成比[%]","最終補正後 金額[千円]","最終補正後 構成比[%]"
"2022","介護保険料","4059021","23.5","4059021","22.6"
"2022","使用料及び手数料","1","0.0","1","0.0"
"2022","国庫支出金","3438321","19.9","3456362","19.3"
"2022","支払基金交付金","4408521","25.5","4430758","24.7"
"2022","都支出金","2448858","14.2","2459015","13.7"
"2022","財産収入","563","0.0","563","0.0"
"2022","寄附金","1","0.0","1","0.0"
"2022","繰入金","2931009","16.9","2970236","16.6"
"2022","繰越金","8193","0.0","560567","3.1"
"2022","諸収入","41","0.0","41","0.0"
"2022","歳入合計","17294529","100.0","17936565","100.0"
"2023","介護保険料","4113980","22.8",,
"2023","使用料及び手数料","1","0.0",,
"2023","国庫支出金","3605960","19.9",,
"2023","支払基金交付金","4594897","25.4",,
"2023","都支出金","2552531","14.1",,
"2023","財産収入","1414","0.0",,
"2023","寄附金","1","0.0",,
"2023","繰入金","3203980","17.7",,
"2023","繰越金","8095","0.0",,
"2023","諸収入","37","0.0",,
"2023","歳入合計","18080896","100.0",,

"令和5年度港区行政資料集　介護保険会計歳入予算","Ver202303",,,,
