"年月[西暦]","調査項目","設問","調査回答者の属性種別","調査回答者の属性","調査数[人]","区の課題解決につながる取組[人]","ヒトの交流[人]","職員の人事交流[人]","現地での体験イベント[人]","特産品等の販売（ネット販売含む）[人]","情報発信[人]","区内と全国を結ぶビジネスマッチング[人]","民間企業等との協働による全国連携の取組[人]","オンラインイベント[人]","特になし[人]"
"202203","全国連携の取組","Q21. 今後、全国連携の取組として、どのような取組が必要だと思いますか 。 （○はいくつでも）","全体",,"558","178","133","73","90","157","176","139","134","43","78"
"202203","全国連携の取組","Q21. 今後、全国連携の取組として、どのような取組が必要だと思いますか 。 （○はいくつでも）","性・年代別","男性（計）","231","81","71","35","29","51","72","59","57","18","32"
"202203","全国連携の取組","Q21. 今後、全国連携の取組として、どのような取組が必要だと思いますか 。 （○はいくつでも）","性・年代別","男性 18～29歳","13","5","4","2","0","5","3","4","6","2","0"
"202203","全国連携の取組","Q21. 今後、全国連携の取組として、どのような取組が必要だと思いますか 。 （○はいくつでも）","性・年代別","男性 30～39歳","38","13","11","2","4","8","6","8","6","3","8"
"202203","全国連携の取組","Q21. 今後、全国連携の取組として、どのような取組が必要だと思いますか 。 （○はいくつでも）","性・年代別","男性 40～49歳","50","15","19","8","11","16","19","22","18","7","5"
"202203","全国連携の取組","Q21. 今後、全国連携の取組として、どのような取組が必要だと思いますか 。 （○はいくつでも）","性・年代別","男性 50～59歳","47","18","13","7","4","8","11","12","12","2","5"
"202203","全国連携の取組","Q21. 今後、全国連携の取組として、どのような取組が必要だと思いますか 。 （○はいくつでも）","性・年代別","男性 60～69歳","42","16","9","7","3","11","12","7","9","2","6"
"202203","全国連携の取組","Q21. 今後、全国連携の取組として、どのような取組が必要だと思いますか 。 （○はいくつでも）","性・年代別","男性 70歳以上","40","14","15","9","7","3","21","6","6","2","7"
"202203","全国連携の取組","Q21. 今後、全国連携の取組として、どのような取組が必要だと思いますか 。 （○はいくつでも）","性・年代別","男性 無回答","1","0","0","0","0","0","0","0","0","0","1"
"202203","全国連携の取組","Q21. 今後、全国連携の取組として、どのような取組が必要だと思いますか 。 （○はいくつでも）","性・年代別","女性（計）","313","97","62","38","61","106","102","79","76","25","45"
"202203","全国連携の取組","Q21. 今後、全国連携の取組として、どのような取組が必要だと思いますか 。 （○はいくつでも）","性・年代別","女性 18～29歳","26","5","9","1","3","8","8","5","6","1","5"
"202203","全国連携の取組","Q21. 今後、全国連携の取組として、どのような取組が必要だと思いますか 。 （○はいくつでも）","性・年代別","女性 30～39歳","49","16","13","9","14","14","16","14","14","9","4"
"202203","全国連携の取組","Q21. 今後、全国連携の取組として、どのような取組が必要だと思いますか 。 （○はいくつでも）","性・年代別","女性 40～49歳","78","24","9","7","16","30","20","24","22","6","8"
"202203","全国連携の取組","Q21. 今後、全国連携の取組として、どのような取組が必要だと思いますか 。 （○はいくつでも）","性・年代別","女性 50～59歳","62","26","13","12","11","23","21","19","16","9","9"
"202203","全国連携の取組","Q21. 今後、全国連携の取組として、どのような取組が必要だと思いますか 。 （○はいくつでも）","性・年代別","女性 60～69歳","56","13","7","3","6","12","20","13","12","0","14"
"202203","全国連携の取組","Q21. 今後、全国連携の取組として、どのような取組が必要だと思いますか 。 （○はいくつでも）","性・年代別","女性 70歳以上","42","13","11","6","11","19","17","4","6","0","5"
"202203","全国連携の取組","Q21. 今後、全国連携の取組として、どのような取組が必要だと思いますか 。 （○はいくつでも）","性・年代別","女性 無回答","0","0","0","0","0","0","0","0","0","0","0"
"202203","全国連携の取組","Q21. 今後、全国連携の取組として、どのような取組が必要だと思いますか 。 （○はいくつでも）","性・年代別","無回答","14","0","0","0","0","0","2","1","1","0","1"
"202203","全国連携の取組","Q21. 今後、全国連携の取組として、どのような取組が必要だと思いますか 。 （○はいくつでも）","職業別","自営業主・家族従業","86","26","22","15","15","23","27","29","25","6","16"
"202203","全国連携の取組","Q21. 今後、全国連携の取組として、どのような取組が必要だと思いますか 。 （○はいくつでも）","職業別","会社員・団体職員・公務員","243","78","52","31","36","60","71","67","64","23","32"
"202203","全国連携の取組","Q21. 今後、全国連携の取組として、どのような取組が必要だと思いますか 。 （○はいくつでも）","職業別","アルバイト・パートタイマー","35","8","7","4","11","16","8","11","7","3","4"
"202203","全国連携の取組","Q21. 今後、全国連携の取組として、どのような取組が必要だと思いますか 。 （○はいくつでも）","職業別","家事専業","55","8","11","6","11","22","18","10","11","3","12"
"202203","全国連携の取組","Q21. 今後、全国連携の取組として、どのような取組が必要だと思いますか 。 （○はいくつでも）","職業別","学生","13","3","7","1","0","5","2","3","3","2","2"
"202203","全国連携の取組","Q21. 今後、全国連携の取組として、どのような取組が必要だと思いますか 。 （○はいくつでも）","職業別","無職","81","36","27","12","14","21","39","11","13","4","11"
"202203","全国連携の取組","Q21. 今後、全国連携の取組として、どのような取組が必要だと思いますか 。 （○はいくつでも）","職業別","その他","31","18","6","4","3","8","10","8","10","1","1"
"202203","全国連携の取組","Q21. 今後、全国連携の取組として、どのような取組が必要だと思いますか 。 （○はいくつでも）","職業別","無回答","14","1","1","0","0","2","1","0","1","1","0"
"202203","全国連携の取組","Q21. 今後、全国連携の取組として、どのような取組が必要だと思いますか 。 （○はいくつでも）","居住地区別","芝地区","86","25","20","7","15","28","25","24","22","2","15"
"202203","全国連携の取組","Q21. 今後、全国連携の取組として、どのような取組が必要だと思いますか 。 （○はいくつでも）","居住地区別","麻布地区","87","30","19","12","13","26","24","29","26","6","13"
"202203","全国連携の取組","Q21. 今後、全国連携の取組として、どのような取組が必要だと思いますか 。 （○はいくつでも）","居住地区別","赤坂地区","81","30","14","10","9","16","25","14","16","7","16"
"202203","全国連携の取組","Q21. 今後、全国連携の取組として、どのような取組が必要だと思いますか 。 （○はいくつでも）","居住地区別","高輪地区","146","46","39","18","23","38","48","34","34","11","20"
"202203","全国連携の取組","Q21. 今後、全国連携の取組として、どのような取組が必要だと思いますか 。 （○はいくつでも）","居住地区別","芝浦港南地区","139","44","38","25","29","47","50","38","36","16","12"
"202203","全国連携の取組","Q21. 今後、全国連携の取組として、どのような取組が必要だと思いますか 。 （○はいくつでも）","居住地区別","無回答","19","3","3","1","1","2","4","0","0","1","2"
"202203","全国連携の取組","Q21. 今後、全国連携の取組として、どのような取組が必要だと思いますか 。 （○はいくつでも）","住居形態別","持家（一戸建）","64","23","15","5","11","15","21","15","15","4","10"
"202203","全国連携の取組","Q21. 今後、全国連携の取組として、どのような取組が必要だと思いますか 。 （○はいくつでも）","住居形態別","持家（マンション）","267","100","64","42","47","76","95","62","62","24","33"
"202203","全国連携の取組","Q21. 今後、全国連携の取組として、どのような取組が必要だと思いますか 。 （○はいくつでも）","住居形態別","借家（一戸建）","9","5","3","3","1","2","3","2","1","1","1"
"202203","全国連携の取組","Q21. 今後、全国連携の取組として、どのような取組が必要だと思いますか 。 （○はいくつでも）","住居形態別","民間の賃貸マンション・アパート","151","39","35","13","20","46","43","46","41","10","24"
"202203","全国連携の取組","Q21. 今後、全国連携の取組として、どのような取組が必要だと思いますか 。 （○はいくつでも）","住居形態別","都営住宅・区営住宅・区立住宅","26","3","8","7","8","10","8","6","8","2","5"
"202203","全国連携の取組","Q21. 今後、全国連携の取組として、どのような取組が必要だと思いますか 。 （○はいくつでも）","住居形態別","ＵＲ（旧公団）・公社の賃貸住宅","11","3","2","0","2","4","2","5","3","1","1"
"202203","全国連携の取組","Q21. 今後、全国連携の取組として、どのような取組が必要だと思いますか 。 （○はいくつでも）","住居形態別","社宅・公務員宿舎","10","1","3","2","0","3","1","1","2","1","2"
"202203","全国連携の取組","Q21. 今後、全国連携の取組として、どのような取組が必要だと思いますか 。 （○はいくつでも）","住居形態別","寮・寄宿舎・住み込み・間借り","4","2","2","1","0","0","2","0","1","0","1"
"202203","全国連携の取組","Q21. 今後、全国連携の取組として、どのような取組が必要だと思いますか 。 （○はいくつでも）","住居形態別","その他","5","2","1","0","1","1","0","2","1","0","1"
"202203","全国連携の取組","Q21. 今後、全国連携の取組として、どのような取組が必要だと思いますか 。 （○はいくつでも）","住居形態別","無回答","11","0","0","0","0","0","1","0","0","0","0"
"202203","全国連携の取組","Q21. 今後、全国連携の取組として、どのような取組が必要だと思いますか 。 （○はいくつでも）","定住意向別","ずっと住み続けていたい","279","91","62","38","42","79","94","69","61","20","40"
"202203","全国連携の取組","Q21. 今後、全国連携の取組として、どのような取組が必要だと思いますか 。 （○はいくつでも）","定住意向別","当分は住んでいたい","203","66","52","25","35","64","57","50","53","19","26"
"202203","全国連携の取組","Q21. 今後、全国連携の取組として、どのような取組が必要だと思いますか 。 （○はいくつでも）","定住意向別","しばらくは住むつもりだが将来は区外に転居したい","45","12","10","5","8","9","13","10","8","2","7"
"202203","全国連携の取組","Q21. 今後、全国連携の取組として、どのような取組が必要だと思いますか 。 （○はいくつでも）","定住意向別","近いうちに区外に転居したいが、具体的な計画はない","5","2","2","1","0","0","1","1","2","0","0"
"202203","全国連携の取組","Q21. 今後、全国連携の取組として、どのような取組が必要だと思いますか 。 （○はいくつでも）","定住意向別","近いうちに区外に転居する予定である","13","2","3","2","2","1","4","5","5","1","4"
"202203","全国連携の取組","Q21. 今後、全国連携の取組として、どのような取組が必要だと思いますか 。 （○はいくつでも）","定住意向別","わからない","10","4","4","2","2","4","5","4","5","1","1"
"202203","全国連携の取組","Q21. 今後、全国連携の取組として、どのような取組が必要だと思いますか 。 （○はいくつでも）","定住意向別","無回答","3","1","0","0","1","0","2","0","0","0","0"

"第33回港区民世論調査クロス集計表・全国連携の取組Q21","Ver202203",,,,,,,,,,,,,,
