"年月[西暦]","施設名称","施設所在地","施設方書","施設廃止日","緯度","経度"
"202204","鰕原耳鼻咽喉科","東京都港区赤坂二丁目19番9号","竹田ビル1階","2021/8/3","35.668434","139.739719"
"202204","医療法人社団江仁会　赤坂皮膚科クリニック","東京都港区赤坂五丁目4番7号","The Hexagon3階","2022/4/5","35.672121","139.735834"
"202204","医療法人社団江仁会　赤坂レディースクリニック","東京都港区赤坂五丁目4番7号","The Hexagon4階","2022/4/5","35.672121","139.735834"
"202204","乃木坂ＡＣクリニック","東京都港区赤坂九丁目6番28号","アルベルゴ乃木坂408","2022/3/31","35.666545","139.728445"
"202204","Ｍａｓｔ　Ｂｅａｕｔｙ　クリニック　麻布十番","東京都港区麻布十番一丁目6番5号","ラミュウーズビル5階","2022/3/31","35.656378","139.734238"
"202204","表参道美容外科クリニック","東京都港区北青山三丁目10番9号","川島ビル8階","2022/3/31","35.664027","139.711113"
"202204","メンズプライドクリニックＭＩＴＡ","東京都港区芝五丁目32番3号","林ビル7階","2022/4/13","35.647283","139.74757"
"202204","東京プリンスホテル診療所","東京都港区芝公園三丁目3番1号","東京プリンス地下3階","2022/3/31","35.658962","139.748139"
"202204","ザ・プリンスパークタワー東京　医務室","東京都港区芝公園四丁目8番1号","地下2階","2022/3/31","35.655344","139.747082"
"202204","グランドプリンスホテル新高輪診療所","東京都港区高輪三丁目13番1号",,"2022/3/31","35.630667","139.734727"
"202204","品川プリンスホテル　医務室","東京都港区高輪四丁目10番30号","メインタワー6階641","2022/3/31","35.627534","139.736622"
"202204","ＴＨＥ　ＯＮＥ．","東京都港区虎ノ門四丁目3番10号","虎ノ門きよしビル3階","2022/3/31","35.664417","139.744191"
"202204","エイベックスビルクリニック","東京都港区南青山三丁目1番30号",,"2022/3/31","35.667696","139.715824"
"202205","医療法人社団福祉会　高須クリニック　東京院","東京都港区赤坂二丁目14番27号","国際新赤坂ビル東館12階","2022/4/30","35.672105","139.737022"
"202205","安藤・間診療所","東京都港区赤坂六丁目1番20号","国際新赤坂ビル西館16階","2022/4/28","35.671697","139.736055"
"202205","医療法人社団學風会　さいとうクリニック","東京都港区麻布十番二丁目14番6号","イイダビル1階","2022/4/30","35.654802","139.735729"
"202205","ＴＯＴＯ株式会社東京ヘルスケアセンター","東京都港区海岸一丁目2番20号","汐留ビル22階","2022/5/23","35.656822","139.759378"
"202205","品川ストリングスクリニック","東京都港区港南二丁目16番1号","品川イーストワンタワー307A","2022/4/30","35.627770","139.740900"
"202205","ＡＩＭ　ｂｅａｕｔｙ　ｍｅｄｉｃａｌ　ｃｌｉｎｉｃ","東京都港区高輪二丁目19番20号","財界二世学院ビル8階","2022/4/26","35.640009","139.741113"
"202205","川島医院","東京都港区虎ノ門一丁目8番14号","三昭ビル3階","2022/4/30","35.669322","139.750225"
"202205","パナソニック虎ノ門健康管理室","東京都港区虎ノ門三丁目4番10号","虎ノ門35森ビル2階","2022/5/15","35.665742","139.746642"
"202205","三田国際ビルクリニック","東京都港区三田一丁目4番28号","三田国際ビル3階","2022/4/30","35.652730","139.744309"
"202205","慶應義塾大学　三田健診診療所","東京都港区三田二丁目15番45号","慶應義塾大学 三田キャンパス","2022/5/10","35.648366","139.743172"
"202205","プレママクリニック表参道","東京都港区南青山三丁目18番17号","エイジービル5階","2022/5/19","35.665084","139.712866"
"202205","ＫＡＵＮＩＳ　ＣＬＩＮＩＣ","東京都港区南青山五丁目2番12号","Gビル南青山03A-3区画1階、2階","2022/4/30","35.663555","139.714147"
"202205","佐藤製薬株式会社　診療所","東京都港区元赤坂一丁目5番27号","AHCビル地下1階","2022/5/11","35.677670","139.733075"
"202206","プリモ麻布十番クリニック","東京都港区麻布十番一丁目7番11号","麻布井上ビル2階","2022/5/29","35.656315","139.734587"
"202206","東京タワーヴュークリニック麻布十番","東京都港区麻布十番二丁目1番8号","グランドメゾン麻布十番館904号室","2022/5/31","35.655402","139.736423"
