"介護サービス","事業所名","所在地","電話番号","緯度","経度"
"居宅介護支援","ケアマネステーション・あんしんサイト","東京都港区芝一丁目10番11号 コスモ金杉橋ビル9階","03-6435-0791","35.651349","139.754227"
"居宅介護支援","港ケア・メイト","東京都港区芝二丁目5番28号 芝公園住宅101","03-5765-5734","35.652711","139.750849"
"居宅介護支援","ポム","東京都港区芝二丁目27番8号 芝マンション403","03-6459-4730","35.650576","139.753329"
"居宅介護支援","あおぞら港事業所","東京都港区芝五丁目13番5号 F・D三田ビル1階","03-5484-1195","35.649423","139.745265"
"居宅介護支援","コスモスケアステーション","東京都港区新橋六丁目5番4号 DIKマンション新橋701","03-5405-1910","35.662105","139.754390"
"居宅介護支援","居宅介護支援事業所 さくら川","東京都港区新橋六丁目19番2号 福祉プラザさくら川","03-3433-0191","35.661359","139.753850"
"居宅介護支援","芝診療所　居宅介護支援事業所","東京都港区新橋六丁目19番21号 芝診療所5階","03-5777-2735","35.661053","139.753294"
"居宅介護支援","ケアプランみなと","東京都港区西新橋一丁目20番3号 虎ノ門法曹ビル地下1階","03-5501-2507","35.668040","139.752550"
"居宅介護支援","三田在宅診療クリニック付属　居宅介護支援事業所","東京都港区三田一丁目2番18号 TTD PLAZA7階","03-6400-5222","35.655056","139.740601"
"居宅介護支援","居宅介護支援事業所こめつつじ","東京都港区三田一丁目3番44号 ラクラス麻布十番1階002","03-6665-8920","35.654670","139.741931"
"居宅介護支援","居宅介護支援事業所　済生会三田訪問看護ステーション","東京都港区三田一丁目4番17号 東京都済生会中央病院北棟7階","03-3451-8936","35.653952","139.744086"
"居宅介護支援","マイ　トーキョータワー　クラブ","東京都港区三田二丁目10番6号 三田レオマビル3階","03-5730-3111","35.650582","139.744666"
"居宅介護支援","トータルケアサービス高輪事業所","東京都港区三田三丁目7番16号 御田八幡ビル1階","03-5427-5835","35.642825","139.741871"
"居宅介護支援","ケアプランセンター　くらしさ芝大門","東京都港区芝大門一丁目2番9号 ポートビル4階","03-6453-0623","35.659317","139.754368"
"居宅介護支援","ケアネスト","東京都港区芝大門一丁目11番9号 ライオンズマンション芝公園601","03-3433-0270","35.658281","139.752770"
"居宅介護支援","清水薬局　指定居宅介護支援事業者","東京都港区芝大門二丁目3番15号","03-3431-0877","35.656014","139.753785"
"居宅介護支援","グッドライフケア　港","東京都港区東麻布一丁目7番3号 第二渡邊ビル2階","03-6441-0895","35.657713","139.743549"
"居宅介護支援","港区あんしん介護センター","東京都港区麻布台三丁目4番10号 麻布誠工社ビル4階","03-3560-3322","35.660601","139.738878"
"居宅介護支援","アステイジ","東京都港区麻布十番二丁目16番11号 麻布十番2Aビル202","03-6809-6684","35.654098","139.735365"
"居宅介護支援","マスヤマケアセンター","東京都港区南麻布二丁目9番17号","03-3446-6652","35.648897","139.734537"
"居宅介護支援","居宅介護支援事業所　麻布","東京都港区南麻布二丁目10番21号","03-3455-8135","35.647968","139.735153"
"居宅介護支援","結ケアプランセンター広尾","東京都港区南麻布四丁目2番18号 南麻布四丁目テラス左","03-6450-4041","35.64909","139.72331"
"居宅介護支援","居宅介護支援事業所　洛和ヴィラ南麻布","東京都港区南麻布四丁目6番1号-北棟","03-6408-8674","35.650409","139.726798"
"居宅介護支援","麻布ケアサポート","東京都港区六本木三丁目9番5号-4階","03-3403-3637","35.663695","139.734028"
"居宅介護支援","マイ・ケアプランセンター東京","東京都港区六本木三丁目15番7号 ドミパルファンビル102","03-5549-2878","35.663024","139.736174"
"居宅介護支援","８８ケアサービス","東京都港区六本木三丁目16番35号 イースト六本木704","03-6434-5885","35.662720","139.736632"
"居宅介護支援","ケアデザイン　スマート","東京都港区六本木五丁目18番19号 グランメール六本木201","03-5114-6175","35.660718","139.737201"
"居宅介護支援","悠々ケア　六本木","東京都港区六本木六丁目5番25号ー3階","03-6447-5047","35.661298","139.731204"
"居宅介護支援","緑祥","東京都港区赤坂六丁目4番17号","03-3585-4467","35.670343","139.734507"
"居宅介護支援","アイム介護福祉支援センター","東京都港区赤坂七丁目10番9号 第四文成ビル701","03-6807-4881","35.669468","139.732372"
"居宅介護支援","あいハート","東京都港区赤坂九丁目6番28号-704","03-3408-8247","35.666545","139.728445"
"居宅介護支援","ハーツケアプランスペース","東京都港区南青山二丁目21番36号 南青山ガーデンコート201","03-5770-5179","35.669435","139.718382"
"居宅介護支援","やまぶきケア","東京都港区南青山二丁目27番8号-203","03-6432-9321","35.668980","139.717130"
"居宅介護支援","ケアプラン百満","東京都港区南青山三丁目7番5号 アルプスプラザ203","03-6804-1072","35.666758","139.716439"
"居宅介護支援","ケア２１　南青山","東京都港区南青山七丁目12番9号 スペース朱 102号室","03-6419-3721","35.658083","139.718488"
"居宅介護支援","ホスピタルケア白金高輪","東京都港区三田五丁目15番15号 志賀モールディング第4","03-6277-1187","35.646201","139.736602"
"居宅介護支援","榮光ライフケアサポート","東京都港区三田五丁目16番3号","03-3444-8802","35.645452","139.736413"
"居宅介護支援","たけのこ介護サービス　港","東京都港区高輪二丁目1番2号 高輪ハイツ601","03-6447-7541","35.640594","139.73792"
"居宅介護支援","居宅介護支援事業所 小池","東京都港区高輪二丁目4番13号 エスポワール高輪103","03-3447-0815","35.637363","139.733888"
"居宅介護支援","茜ケアステーション","東京都港区高輪二丁目14番9号 三愛ビル梅館201","03-5422-8971","35.63597","139.738199"
"居宅介護支援","居宅介護支援事業所　すばる","東京都港区高輪三丁目2番3号 T323プレイスビル2階","03-5789-2788","35.635561","139.732751"
"居宅介護支援","ＬＩＮＫＳ","東京都港区高輪三丁目6番15号-105","03-6456-2209","35.633492","139.732222"
"居宅介護支援","ワンダフルサポート居宅介護支援事業所","東京都港区高輪四丁目8番11号 高輪マンション303","03-5422-7591","35.629038","139.734900"
"居宅介護支援","ニチイケアセンターしろかね","東京都港区白金三丁目3番1号","03-5447-1574","35.646418","139.729099"
