区分,男女計／実数（千人、％）,男女計／前年（千人、％）,男女計／対前年／増減数（千人、ポイント）,男女計／対前年／増減率（％）,男／実数（千人、％）,男／前年（千人、％）,男／対前年／増減数（千人、ポイント）,男／対前年／増減率（％）,女／実数（千人、％）,女／前年（千人、％）,女／対前年／増減数（千人、ポイント）,女／対前年／増減率（％）
15歳以上人口,12343,12251,92,0.8,6040,6000,40,0.7,6303,6250,53,0.8
〔就業状態〕／労働力人口,8254,8133,121,1.5,4584,4542,42,0.9,3670,3591,79,2.2
〔就業状態〕／労働力人口／就業者数,8061,7922,139,1.8,4470,4418,52,1.2,3590,3504,86,2.5
〔就業状態〕／労働力人口／就業者数／自営業主数,608,584,24,4.1,425,405,20,4.9,183,180,3,1.7
〔就業状態〕／労働力人口／就業者数／家族従業者数,80,91,-11,-12.1,17,16,1,6.3,63,75,-12,-16
〔就業状態〕／労働力人口／就業者数／雇用者数,7312,7180,132,1.8,3997,3959,38,1,3315,3221,94,2.9
〔就業状態〕／労働力人口／就業者数／雇用者数／うち正規の職員・従業員,4397,4292,105,2.4,2784,2772,12,0.4,1614,1521,93,6.1
〔就業状態〕／労働力人口／就業者数／雇用者数／うち非正規の職員・従業員,2417,2386,31,1.3,839,814,25,3.1,1579,1572,7,0.4
〔就業状態〕／労働力人口／就業者数／雇用者数／うち非正規の職員・従業員／うちパート・アルバイト,1619,1622,-3,-0.2,462,462,0,0,1157,1160,-3,-0.3
〔就業状態〕／労働力人口／完全失業者数,193,211,-18,-8.5,113,123,-10,-8.1,80,87,-7,-8
〔就業状態〕／非労働力人口,4077,4110,-33,-0.8,1449,1456,-7,-0.5,2627,2654,-27,-1
〔就業者の活動状態別内訳〕／就業者数（再掲）,8061,7922,139,1.8,4470,4418,52,1.2,3590,3504,86,2.5
〔就業者の活動状態別内訳〕／就業者数（再掲）／従業者数,7813,7678,135,1.8,4385,4337,48,1.1,3428,3341,87,2.6
〔就業者の活動状態別内訳〕／就業者数（再掲）／従業者数／主に仕事,6620,6497,123,1.9,4151,4107,44,1.1,2469,2390,79,3.3
〔就業者の活動状態別内訳〕／就業者数（再掲）／従業者数／通学のかたわらに仕事,313,288,25,8.7,154,147,7,4.8,159,140,19,13.6
〔就業者の活動状態別内訳〕／就業者数（再掲）／従業者数／家事などのかたわらに仕事,880,893,-13,-1.5,80,82,-2,-2.4,800,811,-11,-1.4
〔就業者の活動状態別内訳〕／就業者数（再掲）／休業者数,248,244,4,1.6,86,81,5,6.2,162,163,-1,-0.6
〔就業者の主な産業別内訳〕／建設業,457,466,-9,-1.9,365,380,-15,-3.9,93,86,7,8.1
〔就業者の主な産業別内訳〕／製造業,728,691,37,5.4,509,496,13,2.6,220,196,24,12.2
〔就業者の主な産業別内訳〕／情報通信業,795,747,48,6.4,544,530,14,2.6,251,217,34,15.7
〔就業者の主な産業別内訳〕／運輸業，郵便業,355,377,-22,-5.8,278,298,-20,-6.7,77,78,-1,-1.3
〔就業者の主な産業別内訳〕／卸売業，小売業,1292,1304,-12,-0.9,644,659,-15,-2.3,648,645,3,0.5
〔就業者の主な産業別内訳〕／金融業，保険業,301,298,3,1,152,133,19,14.3,149,165,-16,-9.7
〔就業者の主な産業別内訳〕／不動産業，物品賃貸業,260,256,4,1.6,152,149,3,2,109,107,2,1.9
〔就業者の主な産業別内訳〕／学術研究，専門・技術サービス業,542,546,-4,-0.7,340,344,-4,-1.2,202,202,0,0
〔就業者の主な産業別内訳〕／宿泊業，飲食サービス業,540,567,-27,-4.8,251,258,-7,-2.7,289,310,-21,-6.8
〔就業者の主な産業別内訳〕／生活関連サービス業，娯楽業,298,285,13,4.6,122,106,16,15.1,176,178,-2,-1.1
