男女・年,西暦(年),建設業（千人）,製造業（千人）,情報通信業（千人）,運輸業，郵便業（千人）,卸売業，小売業（千人）,金融業，保険業（千人）,不動産業，物品賃貸業（千人）,学術研究，専門･技術ｻｰﾋﾞｽ業（千人）,宿泊業，飲食ｻｰﾋﾞｽ業（千人）,生活関連ｻｰﾋﾞｽ業，娯楽業（千人）,教育，学習支援業（千人）,医療，福祉（千人）,ｻｰﾋﾞｽ業（他に分類されないもの）（千人）,その他（左記以外のもの）（千人）
実数／男女計／平成27年平均,2015,501,714,677,369,1236,259,259,420,520,276,371,736,582,479
実数／男女計／平成28年平均,2016,446,731,693,356,1216,308,253,473,532,277,378,766,604,483
実数／男女計／平成29年平均,2017,434,716,724,367,1272,327,257,515,515,271,372,803,606,503
実数／男女計／平成30年平均,2018,466,691,747,377,1304,298,256,546,567,285,368,809,650,557
実数／男女計／平成31年・令和元年平均,2019,457,728,795,355,1292,301,260,542,540,298,408,819,703,564
実数／男／平成27年平均,2015,421,494,485,301,649,121,149,270,229,124,168,189,337,295
実数／男／平成28年平均,2016,377,498,492,284,631,161,152,295,246,124,173,209,344,302
実数／男／平成29年平均,2017,359,500,513,290,638,160,154,315,239,116,155,230,348,313
実数／男／平成30年平均,2018,380,496,530,298,659,133,149,344,258,106,155,218,370,321
実数／男／平成31年・令和元年平均,2019,365,509,544,278,644,152,152,340,251,122,169,212,405,330
実数／女／平成27年平均,2015,80,220,192,68,587,139,110,151,290,152,204,547,246,183
実数／女／平成28年平均,2016,69,233,201,72,585,147,101,178,286,153,205,557,260,182
実数／女／平成29年平均,2017,75,215,211,77,634,168,103,200,276,155,217,573,258,188
実数／女／平成30年平均,2018,86,196,217,78,645,165,107,202,310,178,213,592,280,237
実数／女／平成31年・令和元年平均,2019,93,220,251,77,648,149,109,202,289,176,239,607,298,234
対前年増減数／男女計／平成28年平均,2016,-55,17,16,-13,-20,49,-6,53,12,1,7,30,22,4
対前年増減数／男女計／平成29年平均,2017,-12,-15,31,11,56,19,4,42,-17,-6,-6,37,2,20
対前年増減数／男女計／平成30年平均,2018,32,-25,23,10,32,-29,-1,31,52,14,-4,6,44,54
対前年増減数／男女計／平成31年・令和元年平均,2019,-9,37,48,-22,-12,3,4,-4,-27,13,40,10,53,7
対前年増減数／男／平成28年平均,2016,-44,4,7,-17,-18,40,3,25,17,0,5,20,7,7
対前年増減数／男／平成29年平均,2017,-18,2,21,6,7,-1,2,20,-7,-8,-18,21,4,11
対前年増減数／男／平成30年平均,2018,21,-4,17,8,21,-27,-5,29,19,-10,0,-12,22,8
対前年増減数／男／平成31年・令和元年平均,2019,-15,13,14,-20,-15,19,3,-4,-7,16,14,-6,35,9
対前年増減数／女／平成28年平均,2016,-11,13,9,4,-2,8,-9,27,-4,1,1,10,14,-1
対前年増減数／女／平成29年平均,2017,6,-18,10,5,49,21,2,22,-10,2,12,16,-2,6
対前年増減数／女／平成30年平均,2018,11,-19,6,1,11,-3,4,2,34,23,-4,19,22,49
対前年増減数／女／平成31年・令和元年平均,2019,7,24,34,-1,3,-16,2,0,-21,-2,26,15,18,-3
,,,,,,,,,,,,,,,
東京の労働力統計データ（平成31年・令和元年平均）,,,,,,,,,,,,,,,
第４表　主な産業別就業者数,,,,,,,,,,,,,,,
