区分・年,西暦(年),実数／総数（千人、％）,実数／15～24歳（千人、％）,実数／25～34歳（千人、％）,実数／35～44歳（千人、％）,実数／45～54歳（千人、％）,実数／55～64歳（千人、％）,実数／65歳以上（千人、％）,対前年増減数／総数（千人、ポイント）,対前年増減数／15～24歳（千人、ポイント）,対前年増減数／25～34歳（千人、ポイント）,対前年増減数／35～44歳（千人、ポイント）,対前年増減数／45～54歳（千人、ポイント）,対前年増減数／55～64歳（千人、ポイント）,対前年増減数／65歳以上（千人、ポイント）,対前年増減率／総数（％）,対前年増減率／15～24歳（％）,対前年増減率／25～34歳（％）,対前年増減率／35～44歳（％）,対前年増減率／45～54歳（％）,対前年増減率／55～64歳（％）,対前年増減率／65歳以上（％）
15歳以上人口／平成21年平均,2009,5736,654,942,1045,757,838,1500,21,-20,-24,23,16,-20,47,0.4,-3,-2.5,2.3,2.2,-2.3,3.2
15歳以上人口／平成22年平均,2010,5753,632,921,1056,779,833,1531,17,-22,-21,11,22,-5,31,0.3,-3.4,-2.2,1.1,2.9,-0.6,2.1
15歳以上人口／平成23年平均,2011,5938,654,970,1108,819,840,1548,185,22,49,52,40,7,17,3.2,3.5,5.3,4.9,5.1,0.8,1.1
15歳以上人口／平成24年平均,2012,5962,644,954,1111,847,811,1595,24,-10,-16,3,28,-29,47,0.4,-1.5,-1.6,0.3,3.4,-3.5,3
15歳以上人口／平成25年平均,2013,5989,636,944,1106,881,773,1648,27,-8,-10,-5,34,-38,53,0.5,-1.2,-1,-0.5,4,-4.7,3.3
15歳以上人口／平成26年平均,2014,6026,630,937,1100,916,744,1699,37,-6,-7,-6,35,-29,51,0.6,-0.9,-0.7,-0.5,4,-3.8,3.1
15歳以上人口／平成27年平均,2015,6072,627,933,1093,951,727,1741,46,-3,-4,-7,35,-17,42,0.8,-0.5,-0.4,-0.6,3.8,-2.3,2.5
15歳以上人口／平成28年平均,2016,6144,672,921,1082,985,719,1766,72,45,-12,-11,34,-8,25,1.2,7.2,-1.3,-1,3.6,-1.1,1.4
15歳以上人口／平成29年平均,2017,6197,685,919,1063,1021,720,1789,53,13,-2,-19,36,1,23,0.9,1.9,-0.2,-1.8,3.7,0.1,1.3
15歳以上人口／平成30年平均,2018,6250,699,919,1042,1055,730,1805,53,14,0,-21,34,10,16,0.9,2,0,-2,3.3,1.4,0.9
15歳以上人口／平成31年・令和元年平均,2019,6303,705,927,1024,1082,748,1817,53,6,8,-18,27,18,12,0.8,0.9,0.9,-1.7,2.6,2.5,0.7
労働力人口／平成21年平均,2009,2917,294,704,700,544,456,220,33,-16,6,49,20,-25,-1,1.1,-5.2,0.9,7.5,3.8,-5.2,-0.5
労働力人口／平成22年平均,2010,2938,281,701,710,553,454,240,21,-13,-3,10,9,-2,20,0.7,-4.4,-0.4,1.4,1.7,-0.4,9.1
労働力人口／平成23年平均,2011,3084,290,739,746,584,467,260,146,9,38,36,31,13,20,5,3.2,5.4,5.1,5.6,2.9,8.3
労働力人口／平成24年平均,2012,3078,288,722,750,600,456,263,-6,-2,-17,4,16,-11,3,-0.2,-0.7,-2.3,0.5,2.7,-2.4,1.2
労働力人口／平成25年平均,2013,3160,296,730,775,639,441,278,82,8,8,25,39,-15,15,2.7,2.8,1.1,3.3,6.5,-3.3,5.7
労働力人口／平成26年平均,2014,3247,292,747,794,676,434,303,87,-4,17,19,37,-7,25,2.8,-1.4,2.3,2.5,5.8,-1.6,9
労働力人口／平成27年平均,2015,3274,286,734,791,720,438,306,27,-6,-13,-3,44,4,3,0.8,-2.1,-1.7,-0.4,6.5,0.9,1
労働力人口／平成28年平均,2016,3338,327,752,777,753,444,286,64,41,18,-14,33,6,-20,2,14.3,2.5,-1.8,4.6,1.4,-6.5
労働力人口／平成29年平均,2017,3442,339,758,780,784,464,316,104,12,6,3,31,20,30,3.1,3.7,0.8,0.4,4.1,4.5,10.5
労働力人口／平成30年平均,2018,3591,374,765,792,823,485,351,149,35,7,12,39,21,35,4.3,10.3,0.9,1.5,5,4.5,11.1
労働力人口／平成31年・令和元年平均,2019,3670,389,773,797,869,501,342,79,15,8,5,46,16,-9,2.2,4,1,0.6,5.6,3.3,-2.6
就業者数／平成21年平均,2009,2770,274,658,661,522,439,216,3,-17,-3,39,13,-29,0,0.1,-5.8,-0.5,6.3,2.6,-6.2,0
就業者数／平成22年平均,2010,2787,258,659,672,529,433,235,17,-16,1,11,7,-6,19,0.6,-5.8,0.2,1.7,1.3,-1.4,8.8
就業者数／平成23年平均,2011,2940,271,702,706,556,449,257,153,13,43,34,27,16,22,5.5,5,6.5,5.1,5.1,3.7,9.4
就業者数／平成24年平均,2012,2940,268,689,716,573,437,258,0,-3,-13,10,17,-12,1,0,-1.1,-1.9,1.4,3.1,-2.7,0.4
就業者数／平成25年平均,2013,3033,281,698,744,614,425,272,93,13,9,28,41,-12,14,3.2,4.9,1.3,3.9,7.2,-2.7,5.4
就業者数／平成26年平均,2014,3129,278,717,764,652,422,296,96,-3,19,20,38,-3,24,3.2,-1.1,2.7,2.7,6.2,-0.7,8.8
就業者数／平成27年平均,2015,3168,274,707,765,695,427,301,39,-4,-10,1,43,5,5,1.2,-1.4,-1.4,0.1,6.6,1.2,1.7
就業者数／平成28年平均,2016,3229,312,727,751,728,430,280,61,38,20,-14,33,3,-21,1.9,13.9,2.8,-1.8,4.7,0.7,-7
就業者数／平成29年平均,2017,3349,326,736,756,767,454,310,120,14,9,5,39,24,30,3.7,4.5,1.2,0.7,5.4,5.6,10.7
就業者数／平成30年平均,2018,3504,364,739,776,805,474,347,155,38,3,20,38,20,37,4.6,11.7,0.4,2.6,5,4.4,11.9
就業者数／平成31年・令和元年平均,2019,3590,375,751,781,852,494,338,86,11,12,5,47,20,-9,2.5,3,1.6,0.6,5.8,4.2,-2.6
完全失業者数／平成21年平均,2009,147,20,47,39,22,17,4,30,1,10,11,7,4,-1,25.6,5.3,27,39.3,46.7,30.8,-20
完全失業者数／平成22年平均,2010,151,22,41,38,24,21,5,4,2,-6,-1,2,4,1,2.7,10,-12.8,-2.6,9.1,23.5,25
完全失業者数／平成23年平均,2011,144,19,37,40,28,18,3,-7,-3,-4,2,4,-3,-2,-4.6,-13.6,-9.8,5.3,16.7,-14.3,-40
完全失業者数／平成24年平均,2012,138,20,33,34,27,18,5,-6,1,-4,-6,-1,0,2,-4.2,5.3,-10.8,-15,-3.6,0,66.7
完全失業者数／平成25年平均,2013,127,15,32,32,25,16,6,-11,-5,-1,-2,-2,-2,1,-8,-25,-3,-5.9,-7.4,-11.1,20
完全失業者数／平成26年平均,2014,117,14,30,30,24,12,7,-10,-1,-2,-2,-1,-4,1,-7.9,-6.7,-6.3,-6.3,-4,-25,16.7
完全失業者数／平成27年平均,2015,106,12,27,26,25,11,4,-11,-2,-3,-4,1,-1,-3,-9.4,-14.3,-10,-13.3,4.2,-8.3,-42.9
完全失業者数／平成28年平均,2016,110,15,25,26,24,14,6,4,3,-2,0,-1,3,2,3.8,25,-7.4,0,-4,27.3,50
完全失業者数／平成29年平均,2017,92,13,22,23,17,10,6,-18,-2,-3,-3,-7,-4,0,-16.4,-13.3,-12,-11.5,-29.2,-28.6,0
完全失業者数／平成30年平均,2018,87,11,26,16,19,11,5,-5,-2,4,-7,2,1,-1,-5.4,-15.4,18.2,-30.4,11.8,10,-16.7
完全失業者数／平成31年・令和元年平均,2019,80,14,21,16,17,7,5,-7,3,-5,0,-2,-4,0,-8,27.3,-19.2,0,-10.5,-36.4,0
非労働力人口／平成21年平均,2009,2816,359,237,345,213,382,1280,-13,-5,-32,-26,-4,4,48,-0.5,-1.4,-11.9,-7,-1.8,1.1,3.9
非労働力人口／平成22年平均,2010,2811,350,220,345,226,379,1291,-5,-9,-17,0,13,-3,11,-0.2,-2.5,-7.2,0,6.1,-0.8,0.9
非労働力人口／平成23年平均,2011,2853,364,230,362,235,373,1288,42,14,10,17,9,-6,-3,1.5,4,4.5,4.9,4,-1.6,-0.2
非労働力人口／平成24年平均,2012,2883,356,233,361,247,355,1332,30,-8,3,-1,12,-18,44,1.1,-2.2,1.3,-0.3,5.1,-4.8,3.4
非労働力人口／平成25年平均,2013,2826,340,213,329,242,332,1370,-57,-16,-20,-32,-5,-23,38,-2,-4.5,-8.6,-8.9,-2,-6.5,2.9
非労働力人口／平成26年平均,2014,2776,337,189,305,239,310,1395,-50,-3,-24,-24,-3,-22,25,-1.8,-0.9,-11.3,-7.3,-1.2,-6.6,1.8
非労働力人口／平成27年平均,2015,2796,341,199,301,231,288,1435,20,4,10,-4,-8,-22,40,0.7,1.2,5.3,-1.3,-3.3,-7.1,2.9
非労働力人口／平成28年平均,2016,2804,345,168,305,231,275,1480,8,4,-31,4,0,-13,45,0.3,1.2,-15.6,1.3,0,-4.5,3.1
非労働力人口／平成29年平均,2017,2750,346,160,282,236,255,1472,-54,1,-8,-23,5,-20,-8,-1.9,0.3,-4.8,-7.5,2.2,-7.3,-0.5
非労働力人口／平成30年平均,2018,2654,325,153,249,230,245,1453,-96,-21,-7,-33,-6,-10,-19,-3.5,-6.1,-4.4,-11.7,-2.5,-3.9,-1.3
非労働力人口／平成31年・令和元年平均,2019,2627,315,153,226,213,246,1474,-27,-10,0,-23,-17,1,21,-1,-3.1,0,-9.2,-7.4,0.4,1.4
労働力人口比率／平成21年平均,2009,50.9,45,74.7,67,71.9,54.4,14.7,0.4,-1,2.4,3.3,1.2,-1.7,-0.5,…,…,…,…,…,…,…
労働力人口比率／平成22年平均,2010,51.1,44.5,76.1,67.2,71,54.5,15.7,0.2,-0.5,1.4,0.2,-0.9,0.1,1,…,…,…,…,…,…,…
労働力人口比率／平成23年平均,2011,51.9,44.3,76.2,67.3,71.3,55.6,16.8,0.8,-0.2,0.1,0.1,0.3,1.1,1.1,…,…,…,…,…,…,…
労働力人口比率／平成24年平均,2012,51.6,44.7,75.7,67.5,70.8,56.2,16.5,-0.3,0.4,-0.5,0.2,-0.5,0.6,-0.3,…,…,…,…,…,…,…
労働力人口比率／平成25年平均,2013,52.8,46.5,77.3,70.1,72.5,57.1,16.9,1.2,1.8,1.6,2.6,1.7,0.9,0.4,…,…,…,…,…,…,…
労働力人口比率／平成26年平均,2014,53.9,46.3,79.7,72.2,73.8,58.3,17.8,1.1,-0.2,2.4,2.1,1.3,1.2,0.9,…,…,…,…,…,…,…
労働力人口比率／平成27年平均,2015,53.9,45.6,78.7,72.4,75.7,60.2,17.6,0,-0.7,-1,0.2,1.9,1.9,-0.2,…,…,…,…,…,…,…
労働力人口比率／平成28年平均,2016,54.3,48.7,81.7,71.8,76.4,61.8,16.2,0.4,3.1,3,-0.6,0.7,1.6,-1.4,…,…,…,…,…,…,…
労働力人口比率／平成29年平均,2017,55.5,49.5,82.5,73.4,76.8,64.4,17.7,1.2,0.8,0.8,1.6,0.4,2.6,1.5,…,…,…,…,…,…,…
労働力人口比率／平成30年平均,2018,57.5,53.5,83.2,76,78,66.4,19.4,2,4,0.7,2.6,1.2,2,1.7,…,…,…,…,…,…,…
労働力人口比率／平成31年・令和元年平均,2019,58.2,55.2,83.4,77.8,80.3,67,18.8,0.7,1.7,0.2,1.8,2.3,0.6,-0.6,…,…,…,…,…,…,…
就業率／平成21年平均,2009,48.3,41.9,69.9,63.3,69,52.4,14.4,-0.1,-1.3,1.5,2.4,0.3,-2.1,-0.5,…,…,…,…,…,…,…
就業率／平成22年平均,2010,48.4,40.8,71.6,63.6,67.9,52,15.3,0.1,-1.1,1.7,0.3,-1.1,-0.4,0.9,…,…,…,…,…,…,…
就業率／平成23年平均,2011,49.5,41.4,72.4,63.7,67.9,53.5,16.6,1.1,0.6,0.8,0.1,0,1.5,1.3,…,…,…,…,…,…,…
就業率／平成24年平均,2012,49.3,41.6,72.2,64.4,67.7,53.9,16.2,-0.2,0.2,-0.2,0.7,-0.2,0.4,-0.4,…,…,…,…,…,…,…
就業率／平成25年平均,2013,50.6,44.2,73.9,67.3,69.7,55,16.5,1.3,2.6,1.7,2.9,2,1.1,0.3,…,…,…,…,…,…,…
就業率／平成26年平均,2014,51.9,44.1,76.5,69.5,71.2,56.7,17.4,1.3,-0.1,2.6,2.2,1.5,1.7,0.9,…,…,…,…,…,…,…
就業率／平成27年平均,2015,52.2,43.7,75.8,70,73.1,58.7,17.3,0.3,-0.4,-0.7,0.5,1.9,2,-0.1,…,…,…,…,…,…,…
就業率／平成28年平均,2016,52.6,46.4,78.9,69.4,73.9,59.8,15.9,0.4,2.7,3.1,-0.6,0.8,1.1,-1.4,…,…,…,…,…,…,…
就業率／平成29年平均,2017,54,47.6,80.1,71.1,75.1,63.1,17.3,1.4,1.2,1.2,1.7,1.2,3.3,1.4,…,…,…,…,…,…,…
就業率／平成30年平均,2018,56.1,52.1,80.4,74.5,76.3,64.9,19.2,2.1,4.5,0.3,3.4,1.2,1.8,1.9,…,…,…,…,…,…,…
