年・期,西暦(年),四半期,建設業（千人）,製造業（千人）,情報通信業（千人）,運輸業，郵便業（千人）,卸売業，小売業（千人）,金融業，保険業（千人）,不動産業，物品賃貸業（千人）,学術研究，専門･技術ｻｰﾋﾞｽ業（千人）,宿泊業，飲食ｻｰﾋﾞｽ業（千人）,生活関連ｻｰﾋﾞｽ業，娯楽業（千人）,教育，学習支援業（千人）,医療，福祉（千人）,ｻｰﾋﾞｽ業（他に分類されないもの）（千人）
実数／男女計／平成29年平均,2017,,434,716,724,367,1272,327,257,515,515,271,372,803,606
実数／男女計／平成30年平均,2018,,466,691,747,377,1304,298,256,546,567,285,368,809,650
実数／男女計／平成31年・令和元年平均,2019,,457,728,795,355,1292,301,260,542,540,298,408,819,703
実数／男女計／平成29年７～９月平均,2017,07～09,467,718,727,367,1311,367,276,513,508,257,330,785,618
実数／男女計／平成29年10～12月平均,2017,10～12,419,690,708,368,1283,326,259,495,531,285,379,855,604
実数／男女計／平成30年１～３月平均,2018,01～03,475,749,746,339,1315,301,238,526,555,269,384,777,682
実数／男女計／平成30年４～６月平均,2018,04～06,468,698,775,413,1235,338,253,624,538,283,352,795,638
実数／男女計／平成30年７～９月平均,2018,07～09,464,637,727,393,1407,265,263,547,577,278,378,823,604
実数／男女計／平成30年10～12月平均,2018,10～12,456,682,738,362,1259,287,269,488,599,308,358,843,676
実数／男女計／平成31年・令和元年１～３月平均,2019,01～03,434,753,829,369,1257,256,274,516,488,276,404,815,746
実数／男女計／平成31年・令和元年４～６月平均,2019,04～06,444,786,748,357,1329,307,249,588,528,317,408,820,723
実数／男女計／平成31年・令和元年７～９月平均,2019,07～09,483,713,810,338,1301,293,259,526,584,291,428,815,692
実数／男女計／平成31年・令和元年10～12月平均,2019,10～12,468,662,793,354,1283,350,260,538,559,306,391,825,651
実数／男／平成29年平均,2017,,359,500,513,290,638,160,154,315,239,116,155,230,348
実数／男／平成30年平均,2018,,380,496,530,298,659,133,149,344,258,106,155,218,370
実数／男／平成31年・令和元年平均,2019,,365,509,544,278,644,152,152,340,251,122,169,212,405
実数／男／平成29年７～９月平均,2017,07～09,390,518,531,289,654,170,161,332,221,95,132,211,352
実数／男／平成29年10～12月平均,2017,10～12,338,467,496,294,659,169,155,298,262,113,159,225,347
実数／男／平成30年１～３月平均,2018,01～03,381,532,528,268,629,130,133,321,253,108,171,223,396
実数／男／平成30年４～６月平均,2018,04～06,383,503,544,326,640,154,159,377,233,111,131,208,358
実数／男／平成30年７～９月平均,2018,07～09,392,472,510,307,730,123,152,367,266,92,145,208,334
実数／男／平成30年10～12月平均,2018,10～12,365,476,536,292,636,126,151,312,278,114,172,233,393
実数／男／平成31年・令和元年１～３月平均,2019,01～03,334,536,568,292,631,99,166,310,237,106,155,208,430
実数／男／平成31年・令和元年４～６月平均,2019,04～06,354,537,500,276,652,161,143,372,238,142,168,210,425
実数／男／平成31年・令和元年７～９月平均,2019,07～09,389,509,553,264,645,156,157,338,275,114,166,212,407
実数／男／平成31年・令和元年10～12月平均,2019,10～12,382,452,558,278,647,192,140,340,255,124,187,218,356
実数／女／平成29年平均,2017,,75,215,211,77,634,168,103,200,276,155,217,573,258
実数／女／平成30年平均,2018,,86,196,217,78,645,165,107,202,310,178,213,592,280
実数／女／平成31年・令和元年平均,2019,,93,220,251,77,648,149,109,202,289,176,239,607,298
実数／女／平成29年７～９月平均,2017,07～09,77,200,197,79,657,197,116,181,287,162,198,573,266
実数／女／平成29年10～12月平均,2017,10～12,81,223,212,74,623,158,103,198,269,172,220,630,257
実数／女／平成30年１～３月平均,2018,01～03,94,217,218,71,686,171,105,205,302,161,212,554,286
実数／女／平成30年４～６月平均,2018,04～06,85,195,231,87,594,185,94,246,306,171,220,587,280
実数／女／平成30年７～９月平均,2018,07～09,73,165,217,85,676,142,111,180,311,186,233,616,270
実数／女／平成30年10～12月平均,2018,10～12,90,206,202,70,623,161,117,176,321,194,185,610,283
実数／女／平成31年・令和元年１～３月平均,2019,01～03,100,217,262,77,625,157,107,207,251,170,249,607,316
実数／女／平成31年・令和元年４～６月平均,2019,04～06,90,249,249,81,676,146,106,216,290,175,240,610,297
実数／女／平成31年・令和元年７～９月平均,2019,07～09,93,204,257,74,656,137,102,188,309,177,261,604,284
実数／女／平成31年・令和元年10～12月平均,2019,10～12,86,209,235,76,635,158,120,198,305,182,204,608,295
対前年・対前年同期増減数／男女計／平成29年平均,2017,,-12,-15,31,11,56,19,4,42,-17,-6,-6,37,2
対前年・対前年同期増減数／男女計／平成30年平均,2018,,32,-25,23,10,32,-29,-1,31,52,14,-4,6,44
対前年・対前年同期増減数／男女計／平成31年・令和元年平均,2019,,-9,37,48,-22,-12,3,4,-4,-27,13,40,10,53
対前年・対前年同期増減数／男女計／平成29年７～９月平均,2017,07～09,-7,-37,17,14,147,46,19,3,-17,8,-35,7,-24
対前年・対前年同期増減数／男女計／平成29年10～12月平均,2017,10～12,-9,-5,13,-6,8,4,-27,31,-43,-16,8,92,38
対前年・対前年同期増減数／男女計／平成30年１～３月平均,2018,01～03,54,50,56,-38,57,20,-23,42,38,1,-7,-2,29
