区分,男女計／実数（千人、％）,男女計／前年同期（千人、％）,男女計／対前年同期／増減数（千人、ポイント）,男女計／対前年同期／増減率（％）,男／実数（千人、％）,男／前年同期（千人、％）,男／対前年同期／増減数（千人、ポイント）,男／対前年同期／増減率（％）,女／実数（千人、％）,女／前年同期（千人、％）,女／対前年同期／増減数（千人、ポイント）,女／対前年同期／増減率（％）
15歳以上人口,12359,12262,97,0.8,6047,6006,41,0.7,6312,6256,56,0.9
〔就業状態〕／労働力人口,8235,8098,137,1.7,4591,4542,49,1.1,3644,3556,88,2.5
〔就業状態〕／労働力人口／就業者数,8053,7899,154,1.9,4480,4412,68,1.5,3573,3487,86,2.5
〔就業状態〕／労働力人口／就業者数／自営業主数,527,549,-22,-4,380,375,5,1.3,147,174,-27,-15.5
〔就業状態〕／労働力人口／就業者数／家族従業者数,82,85,-3,-3.5,17,16,1,6.3,65,69,-4,-5.8
〔就業状態〕／労働力人口／就業者数／雇用者数,7396,7190,206,2.9,4060,3977,83,2.1,3336,3213,123,3.8
〔就業状態〕／労働力人口／就業者数／雇用者数／うち正規の職員・従業員,4428,4340,88,2,2780,2822,-42,-1.5,1649,1518,131,8.6
〔就業状態〕／労働力人口／就業者数／雇用者数／うち非正規の職員・従業員,2411,2361,50,2.1,855,788,67,8.5,1556,1572,-16,-1
〔就業状態〕／労働力人口／就業者数／雇用者数／うち非正規の職員・従業員／うちパート・アルバイト,1595,1624,-29,-1.8,470,455,15,3.3,1126,1169,-43,-3.7
〔就業状態〕／労働力人口／完全失業者数,182,198,-16,-8.1,111,130,-19,-14.6,71,69,2,2.9
〔就業状態〕／非労働力人口,4116,4154,-38,-0.9,1451,1460,-9,-0.6,2665,2694,-29,-1.1
〔就業者の活動状況別内訳〕／就業者数（再掲）,8053,7899,154,1.9,4480,4412,68,1.5,3573,3487,86,2.5
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数,7781,7605,176,2.3,4388,4313,75,1.7,3393,3293,100,3
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／主に仕事,6605,6421,184,2.9,4125,4092,33,0.8,2480,2330,150,6.4
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／通学のかたわらに仕事,315,295,20,6.8,159,149,10,6.7,156,146,10,6.8
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／家事などのかたわらに仕事,861,889,-28,-3.1,104,72,32,44.4,757,817,-60,-7.3
〔就業者の活動状況別内訳〕／就業者数（再掲）／休業者数,272,294,-22,-7.5,92,99,-7,-7.1,180,195,-15,-7.7
〔就業者の主な産業別内訳〕／建設業,483,464,19,4.1,389,392,-3,-0.8,93,73,20,27.4
〔就業者の主な産業別内訳〕／製造業,713,637,76,11.9,509,472,37,7.8,204,165,39,23.6
〔就業者の主な産業別内訳〕／情報通信業,810,727,83,11.4,553,510,43,8.4,257,217,40,18.4
〔就業者の主な産業別内訳〕／運輸業，郵便業,338,393,-55,-14,264,307,-43,-14,74,85,-11,-12.9
〔就業者の主な産業別内訳〕／卸売業，小売業,1301,1407,-106,-7.5,645,730,-85,-11.6,656,676,-20,-3
〔就業者の主な産業別内訳〕／金融業，保険業,293,265,28,10.6,156,123,33,26.8,137,142,-5,-3.5
〔就業者の主な産業別内訳〕／不動産業，物品賃貸業,259,263,-4,-1.5,157,152,5,3.3,102,111,-9,-8.1
〔就業者の主な産業別内訳〕／学術研究，専門・技術サービス業,526,547,-21,-3.8,338,367,-29,-7.9,188,180,8,4.4
〔就業者の主な産業別内訳〕／宿泊業，飲食サービス業,584,577,7,1.2,275,266,9,3.4,309,311,-2,-0.6
〔就業者の主な産業別内訳〕／生活関連サービス業，娯楽業,291,278,13,4.7,114,92,22,23.9,177,186,-9,-4.8
〔就業者の主な産業別内訳〕／教育，学習支援業,428,378,50,13.2,166,145,21,14.5,261,233,28,12
〔就業者の主な産業別内訳〕／医療，福祉,815,823,-8,-1,212,208,4,1.9,604,616,-12,-1.9
〔就業者の主な産業別内訳〕／サービス業（他に分類されないもの）,692,604,88,14.6,407,334,73,21.9,284,270,14,5.2
〔雇用者の主な産業別内訳〕／建設業,407,408,-1,-0.2,323,338,-15,-4.4,84,70,14,20
〔雇用者の主な産業別内訳〕／製造業,692,611,81,13.3,495,456,39,8.6,197,156,41,26.3
〔雇用者の主な産業別内訳〕／情報通信業,770,695,75,10.8,522,487,35,7.2,247,208,39,18.8
〔雇用者の主な産業別内訳〕／運輸業，郵便業,322,368,-46,-12.5,249,282,-33,-11.7,73,85,-12,-14.1
〔雇用者の主な産業別内訳〕／卸売業，小売業,1245,1326,-81,-6.1,610,679,-69,-10.2,634,647,-13,-2
〔雇用者の主な産業別内訳〕／金融業，保険業,290,265,25,9.4,154,123,31,25.2,136,142,-6,-4.2
〔雇用者の主な産業別内訳〕／不動産業，物品賃貸業,229,230,-1,-0.4,135,135,0,0,95,95,0,0
〔雇用者の主な産業別内訳〕／学術研究，専門・技術サービス業,404,418,-14,-3.3,263,280,-17,-6.1,142,138,4,2.9
