年・期,西暦(年),四半期,建設業（千人）,製造業（千人）,情報通信業（千人）,運輸業，郵便業（千人）,卸売業，小売業（千人）,金融業，保険業（千人）,不動産業，物品賃貸業（千人）,学術研究，専門･技術ｻｰﾋﾞｽ業（千人）,宿泊業，飲食ｻｰﾋﾞｽ業（千人）,生活関連ｻｰﾋﾞｽ業，娯楽業（千人）,教育，学習支援業（千人）,医療，福祉（千人）,ｻｰﾋﾞｽ業（他に分類されないもの）（千人）
実数／男女計／平成29年平均,2017,,374,683,689,345,1194,325,230,381,455,212,338,761,563
実数／男女計／平成30年平均,2018,,401,662,707,350,1233,296,227,400,498,228,330,773,601
実数／男女計／平成31年・令和元年平均,2019,,387,666,761,330,1239,300,229,413,479,237,373,780,638
実数／男女計／平成29年７～９月平均,2017,07～09,391,685,693,350,1221,366,248,378,453,197,303,743,580
実数／男女計／平成29年10～12月平均,2017,10～12,374,662,680,346,1224,324,218,386,452,227,348,802,554
実数／男女計／平成30年１～３月平均,2018,01～03,397,715,712,316,1248,300,209,375,488,223,343,737,629
実数／男女計／平成30年４～６月平均,2018,04～06,409,671,730,383,1176,338,219,436,464,227,317,752,583
実数／男女計／平成30年７～９月平均,2018,07～09,408,611,695,368,1326,265,230,418,520,212,336,790,566
実数／男女計／平成30年10～12月平均,2018,10～12,391,650,691,334,1183,282,249,370,522,250,325,814,626
実数／男女計／平成31年・令和元年１～３月平均,2019,01～03,366,687,790,344,1202,254,238,400,429,223,364,770,675
実数／男女計／平成31年・令和元年４～６月平均,2019,04～06,373,651,725,336,1284,305,212,436,447,246,366,784,618
実数／男女計／平成31年・令和元年７～９月平均,2019,07～09,407,692,770,322,1245,290,229,404,525,239,391,780,655
実数／男女計／平成31年・令和元年10～12月平均,2019,10～12,400,634,758,318,1226,350,237,410,513,240,370,784,604
実数／男／平成29年平均,2017,,303,482,488,269,594,159,139,232,207,88,145,204,319
実数／男／平成30年平均,2018,,322,477,502,272,617,132,135,249,222,84,147,195,338
実数／男／平成31年・令和元年平均,2019,,301,471,516,254,612,151,132,258,214,93,162,186,363
実数／男／平成29年７～９月平均,2017,07～09,321,501,510,271,597,170,142,244,195,68,129,185,327
実数／男／平成29年10～12月平均,2017,10～12,295,452,481,272,624,168,135,227,216,88,145,197,312
実数／男／平成30年１～３月平均,2018,01～03,312,512,505,246,593,129,121,233,220,90,162,196,357
