区分,男女計／実数（千人、％）,男女計／前年同期（千人、％）,男女計／対前年同期／増減数（千人、ポイント）,男女計／対前年同期／増減率（％）,男／実数（千人、％）,男／前年同期（千人、％）,男／対前年同期／増減数（千人、ポイント）,男／対前年同期／増減率（％）,女／実数（千人、％）,女／前年同期（千人、％）,女／対前年同期／増減数（千人、ポイント）,女／対前年同期／増減率（％）
15歳以上人口,12372,12279,93,0.8,6054,6012,42,0.7,6319,6267,52,0.8
〔就業状態〕／労働力人口,8184,8136,48,0.6,4550,4537,13,0.3,3633,3599,34,0.9
〔就業状態〕／労働力人口／就業者数,7985,7946,39,0.5,4432,4435,-3,-0.1,3553,3511,42,1.2
〔就業状態〕／労働力人口／就業者数／自営業主数,537,565,-28,-5,403,400,3,0.8,133,165,-32,-19.4
〔就業状態〕／労働力人口／就業者数／家族従業者数,86,102,-16,-15.7,22,28,-6,-21.4,64,75,-11,-14.7
〔就業状態〕／労働力人口／就業者数／雇用者数,7308,7202,106,1.5,3977,3966,11,0.3,3331,3235,96,3
〔就業状態〕／労働力人口／就業者数／雇用者数／うち正規の職員・従業員,4422,4279,143,3.3,2790,2755,35,1.3,1631,1523,108,7.1
〔就業状態〕／労働力人口／就業者数／雇用者数／うち非正規の職員・従業員,2442,2451,-9,-0.4,846,844,2,0.2,1597,1608,-11,-0.7
〔就業状態〕／労働力人口／就業者数／雇用者数／うち非正規の職員・従業員／うちパート・アルバイト,1654,1702,-48,-2.8,458,503,-45,-8.9,1195,1199,-4,-0.3
〔就業状態〕／労働力人口／完全失業者数,198,190,8,4.2,118,102,16,15.7,80,88,-8,-9.1
〔就業状態〕／非労働力人口,4180,4139,41,1,1497,1475,22,1.5,2683,2665,18,0.7
〔就業者の活動状況別内訳〕／就業者数（再掲）,7985,7946,39,0.5,4432,4435,-3,-0.1,3553,3511,42,1.2
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数,7753,7713,40,0.5,4349,4361,-12,-0.3,3404,3352,52,1.6
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／主に仕事,6559,6488,71,1.1,4090,4088,2,0,2469,2401,68,2.8
