区分,男女計／実数（千人、％）,男女計／前年同期（千人、％）,男女計／対前年同期／増減数（千人、ポイント）,男女計／対前年同期／増減率（％）,男／実数（千人、％）,男／前年同期（千人、％）,男／対前年同期／増減数（千人、ポイント）,男／対前年同期／増減率（％）,女／実数（千人、％）,女／前年同期（千人、％）,女／対前年同期／増減数（千人、ポイント）,女／対前年同期／増減率（％）
15歳以上人口,12291,12197,94,0.8,6017,5978,39,0.7,6274,6219,55,0.9
〔就業状態〕／労働力人口,8244,8094,150,1.9,4568,4501,67,1.5,3675,3593,82,2.3
〔就業状態〕／労働力人口／就業者数,8051,7875,176,2.2,4461,4376,85,1.9,3591,3499,92,2.6
〔就業状態〕／労働力人口／就業者数／自営業主数,608,590,18,3.1,420,396,24,6.1,188,194,-6,-3.1
〔就業状態〕／労働力人口／就業者数／家族従業者数,77,86,-9,-10.5,17,12,5,41.7,60,74,-14,-18.9
〔就業状態〕／労働力人口／就業者数／雇用者数,7279,7152,127,1.8,3978,3941,37,0.9,3301,3211,90,2.8
〔就業状態〕／労働力人口／就業者数／雇用者数／うち正規の職員・従業員,4374,4228,146,3.5,2825,2742,83,3,1550,1486,64,4.3
〔就業状態〕／労働力人口／就業者数／雇用者数／うち非正規の職員・従業員,2449,2430,19,0.8,820,834,-14,-1.7,1629,1597,32,2
〔就業状態〕／労働力人口／就業者数／雇用者数／うち非正規の職員・従業員／うちパート・アルバイト,1629,1608,21,1.3,452,450,2,0.4,1177,1158,19,1.6
〔就業状態〕／労働力人口／完全失業者数,193,218,-25,-11.5,108,125,-17,-13.6,85,94,-9,-9.6
〔就業状態〕／非労働力人口,4023,4099,-76,-1.9,1437,1476,-39,-2.6,2586,2623,-37,-1.4
〔就業者の活動状況別内訳〕／就業者数（再掲）,8051,7875,176,2.2,4461,4376,85,1.9,3591,3499,92,2.6
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数,7766,7619,147,1.9,4358,4293,65,1.5,3407,3326,81,2.4
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／主に仕事,6591,6455,136,2.1,4172,4070,102,2.5,2418,2384,34,1.4
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／通学のかたわらに仕事,259,283,-24,-8.5,121,146,-25,-17.1,138,138,0,0
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／家事などのかたわらに仕事,916,881,35,4,66,77,-11,-14.3,851,804,47,5.8
〔就業者の活動状況別内訳〕／就業者数（再掲）／休業者数,285,256,29,11.3,102,83,19,22.9,183,173,10,5.8
〔就業者の主な産業別内訳〕／建設業,434,475,-41,-8.6,334,381,-47,-12.3,100,94,6,6.4
