年・期,西暦(年),四半期,東京都／男女計（％、ポイント）,東京都／男（％、ポイント）,東京都／女（％、ポイント）,南関東／男女計（％、ポイント）,南関東／男（％、ポイント）,南関東／女（％、ポイント）,全国／男女計（％、ポイント）,全国／男（％、ポイント）,全国／女（％、ポイント）
完全失業率／平成24年平均,2012,,4.5,4.6,4.5,4.4,4.5,4.3,4.3,4.6,4
完全失業率／平成25年平均,2013,,4.2,4.3,4,4.1,4.2,3.9,4,4.3,3.7
完全失業率／平成26年平均,2014,,3.8,3.9,3.6,3.5,3.6,3.4,3.6,3.7,3.4
完全失業率／平成27年平均,2015,,3.6,3.8,3.2,3.3,3.5,3.1,3.4,3.6,3.1
完全失業率／平成28年平均,2016,,3.2,3.2,3.3,3.2,3.3,3.1,3.1,3.3,2.8
完全失業率／平成29年平均,2017,,2.9,3,2.7,2.9,3,2.8,2.8,3,2.7
完全失業率／平成30年平均,2018,,2.6,2.7,2.4,2.5,2.6,2.3,2.4,2.6,2.2
完全失業率／平成25年10～12月平均,2013,10～12,3.8,3.8,3.9,3.7,3.7,3.8,3.7,3.9,3.5
完全失業率／平成26年１～３月平均,2014,01～03,3.6,3.7,3.6,3.5,3.7,3.3,3.7,3.9,3.4
完全失業率／平成26年４～６月平均,2014,04～06,3.8,4,3.5,3.8,3.8,3.7,3.7,3.8,3.6
完全失業率／平成26年７～９月平均,2014,07～09,4,3.8,4.2,3.5,3.5,3.4,3.6,3.8,3.4
完全失業率／平成26年10～12月平均,2014,10～12,3.7,4.2,3.2,3.3,3.5,3,3.3,3.6,3
完全失業率／平成27年１～３月平均,2015,01～03,3.8,3.9,3.6,3.4,3.6,3.1,3.5,3.7,3.1
完全失業率／平成27年４～６月平均,2015,04～06,3.5,3.7,3.3,3.5,3.6,3.5,3.4,3.5,3.3
完全失業率／平成27年７～９月平均,2015,07～09,3.3,3.7,2.8,3.3,3.4,3,3.4,3.6,3.1
完全失業率／平成27年10～12月平均,2015,10～12,3.7,4.1,3.3,3.1,3.4,2.7,3.1,3.4,2.8
完全失業率／平成28年１～３月平均,2016,01～03,3.5,3.2,3.9,3.3,3.4,3.2,3.2,3.5,2.8
完全失業率／平成28年４～６月平均,2016,04～06,3.5,3.3,3.6,3.3,3.2,3.4,3.2,3.3,3.2
完全失業率／平成28年７～９月平均,2016,07～09,2.7,2.8,2.6,3.1,3.3,2.8,3.1,3.3,2.7
完全失業率／平成28年10～12月平均,2016,10～12,3.3,3.5,3,3.2,3.4,2.8,2.9,3.2,2.6
完全失業率／平成29年１～３月平均,2017,01～03,3,3,3,3,3,2.9,2.9,3.1,2.6
完全失業率／平成29年４～６月平均,2017,04～06,2.9,3,2.7,3.1,3.1,3.2,3,3,3
完全失業率／平成29年７～９月平均,2017,07～09,2.7,2.8,2.5,2.8,3,2.6,2.8,3,2.6
完全失業率／平成29年10～12月平均,2017,10～12,2.9,3.2,2.5,2.8,2.9,2.6,2.6,2.8,2.5
完全失業率／平成30年１～３月平均,2018,01～03,2.7,2.8,2.6,2.5,2.6,2.4,2.5,2.6,2.3
完全失業率／平成30年４～６月平均,2018,04～06,2.9,3,2.7,2.6,2.7,2.5,2.5,2.6,2.3
完全失業率／平成30年７～９月平均,2018,07～09,2.4,2.9,1.9,2.5,2.7,2.1,2.5,2.6,2.3
完全失業率／平成30年10～12月平均,2018,10～12,2.3,2.2,2.4,2.3,2.4,2.1,2.4,2.6,2.1
完全失業率／平成31年・令和元年１～３月平均,2019,01～03,2.3,2.4,2.3,2.4,2.5,2.3,2.4,2.6,2.2
完全失業率／平成31年・令和元年４～６月平均,2019,04～06,2.4,2.5,2.2,2.4,2.5,2.3,2.4,2.5,2.3
対前年・対前年同期増減数／平成24年平均,2012,,-0.3,-0.3,-0.2,-0.2,-0.2,-0.2,-0.3,-0.3,-0.2
対前年・対前年同期増減数／平成25年平均,2013,,-0.3,-0.3,-0.5,-0.3,-0.3,-0.4,-0.3,-0.3,-0.3
対前年・対前年同期増減数／平成26年平均,2014,,-0.4,-0.4,-0.4,-0.6,-0.6,-0.5,-0.4,-0.6,-0.3
