区分,男女計／実数（千人、％）,男女計／前年同期（千人、％）,男女計／対前年同期／増減数（千人、ポイント）,男女計／対前年同期／増減率（％）,男／実数（千人、％）,男／前年同期（千人、％）,男／対前年同期／増減数（千人、ポイント）,男／対前年同期／増減率（％）,女／実数（千人、％）,女／前年同期（千人、％）,女／対前年同期／増減数（千人、ポイント）,女／対前年同期／増減率（％）
15歳以上人口,12348,12264,84,0.7,6041,6005,36,0.6,6307,6258,49,0.8
〔就業状態〕／労働力人口,8352,8202,150,1.8,4625,4587,38,0.8,3728,3615,113,3.1
〔就業状態〕／労働力人口／就業者数,8153,7966,187,2.3,4508,4449,59,1.3,3644,3517,127,3.6
〔就業状態〕／労働力人口／就業者数／自営業主数,760,632,128,20.3,497,448,49,10.9,263,185,78,42.2
〔就業状態〕／労働力人口／就業者数／家族従業者数,75,90,-15,-16.7,12,9,3,33.3,63,81,-18,-22.2
〔就業状態〕／労働力人口／就業者数／雇用者数,7263,7175,88,1.2,3972,3952,20,0.5,3291,3223,68,2.1
〔就業状態〕／労働力人口／就業者数／雇用者数／うち正規の職員・従業員,4365,4322,43,1,2740,2767,-27,-1,1625,1555,70,4.5
〔就業状態〕／労働力人口／就業者数／雇用者数／うち非正規の職員・従業員,2365,2302,63,2.7,833,792,41,5.2,1532,1511,21,1.4
〔就業状態〕／労働力人口／就業者数／雇用者数／うち非正規の職員・従業員／うちパート・アルバイト,1597,1554,43,2.8,469,439,30,6.8,1129,1115,14,1.3
〔就業状態〕／労働力人口／完全失業者数,200,236,-36,-15.3,117,138,-21,-15.2,83,98,-15,-15.3
〔就業状態〕／非労働力人口,3988,4049,-61,-1.5,1413,1415,-2,-0.1,2576,2634,-58,-2.2
〔就業者の活動状況別内訳〕／就業者数（再掲）,8153,7966,187,2.3,4508,4449,59,1.3,3644,3517,127,3.6
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数,7950,7774,176,2.3,4443,4380,63,1.4,3507,3394,113,3.3
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／主に仕事,6725,6623,102,1.5,4216,4178,38,0.9,2509,2446,63,2.6
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／通学のかたわらに仕事,312,241,71,29.5,147,112,35,31.3,165,129,36,27.9
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／家事などのかたわらに仕事,914,909,5,0.6,80,90,-10,-11.1,834,819,15,1.8
〔就業者の活動状況別内訳〕／就業者数（再掲）／休業者数,202,193,9,4.7,65,69,-4,-5.8,137,123,14,11.4
〔就業者の主な産業別内訳〕／建設業,444,468,-24,-5.1,354,383,-29,-7.6,90,85,5,5.9
〔就業者の主な産業別内訳〕／製造業,786,698,88,12.6,537,503,34,6.8,249,195,54,27.7
〔就業者の主な産業別内訳〕／情報通信業,748,775,-27,-3.5,500,544,-44,-8.1,249,231,18,7.8
〔就業者の主な産業別内訳〕／運輸業，郵便業,357,413,-56,-13.6,276,326,-50,-15.3,81,87,-6,-6.9
〔就業者の主な産業別内訳〕／卸売業，小売業,1329,1235,94,7.6,652,640,12,1.9,676,594,82,13.8
〔就業者の主な産業別内訳〕／金融業，保険業,307,338,-31,-9.2,161,154,7,4.5,146,185,-39,-21.1
〔就業者の主な産業別内訳〕／不動産業，物品賃貸業,249,253,-4,-1.6,143,159,-16,-10.1,106,94,12,12.8
〔就業者の主な産業別内訳〕／学術研究，専門・技術サービス業,588,624,-36,-5.8,372,377,-5,-1.3,216,246,-30,-12.2
〔就業者の主な産業別内訳〕／宿泊業，飲食サービス業,528,538,-10,-1.9,238,233,5,2.1,290,306,-16,-5.2
〔就業者の主な産業別内訳〕／生活関連サービス業，娯楽業,317,283,34,12,142,111,31,27.9,175,171,4,2.3
〔就業者の主な産業別内訳〕／教育，学習支援業,408,352,56,15.9,168,131,37,28.2,240,220,20,9.1
〔就業者の主な産業別内訳〕／医療，福祉,820,795,25,3.1,210,208,2,1,610,587,23,3.9
〔就業者の主な産業別内訳〕／サービス業（他に分類されないもの）,723,638,85,13.3,425,358,67,18.7,297,280,17,6.1
〔雇用者の主な産業別内訳〕／建設業,373,409,-36,-8.8,288,328,-40,-12.2,85,81,4,4.9
〔雇用者の主な産業別内訳〕／製造業,651,671,-20,-3,461,486,-25,-5.1,190,185,5,2.7
〔雇用者の主な産業別内訳〕／情報通信業,725,730,-5,-0.7,478,511,-33,-6.5,246,220,26,11.8
〔雇用者の主な産業別内訳〕／運輸業，郵便業,336,383,-47,-12.3,255,295,-40,-13.6,81,87,-6,-6.9
〔雇用者の主な産業別内訳〕／卸売業，小売業,1284,1176,108,9.2,625,607,18,3,659,569,90,15.8
〔雇用者の主な産業別内訳〕／金融業，保険業,305,338,-33,-9.8,160,153,7,4.6,145,185,-40,-21.6
〔雇用者の主な産業別内訳〕／不動産業，物品賃貸業,212,219,-7,-3.2,123,138,-15,-10.9,88,81,7,8.6
〔雇用者の主な産業別内訳〕／学術研究，専門・技術サービス業,436,436,0,0,276,253,23,9.1,160,183,-23,-12.6
〔雇用者の主な産業別内訳〕／宿泊業，飲食サービス業,447,464,-17,-3.7,190,195,-5,-2.6,256,269,-13,-4.8
〔雇用者の主な産業別内訳〕／生活関連サービス業，娯楽業,246,227,19,8.4,110,90,20,22.2,137,137,0,0
〔雇用者の主な産業別内訳〕／教育，学習支援業,366,317,49,15.5,164,122,42,34.4,202,195,7,3.6
〔雇用者の主な産業別内訳〕／医療，福祉,784,752,32,4.3,185,186,-1,-0.5,599,566,33,5.8
〔雇用者の主な産業別内訳〕／サービス業（他に分類されないもの）,618,583,35,6,361,321,40,12.5,257,262,-5,-1.9
〔非農林業雇用者の従業者規模別内訳〕／総数,7253,7171,82,1.1,3968,3949,19,0.5,3285,3222,63,2
〔非農林業雇用者の従業者規模別内訳〕／総数／１～29人規模,1738,1778,-40,-2.2,933,988,-55,-5.6,805,791,14,1.8
〔非農林業雇用者の従業者規模別内訳〕／総数／30～499人規模,2257,2158,99,4.6,1226,1145,81,7.1,1031,1014,17,1.7
〔非農林業雇用者の従業者規模別内訳〕／総数／500人以上規模,2679,2668,11,0.4,1497,1531,-34,-2.2,1182,1138,44,3.9
〔完全失業率（年齢階級別）(%)〕／総数,2.4,2.9,-0.5,…,2.5,3,-0.5,…,2.2,2.7,-0.5,…
〔完全失業率（年齢階級別）(%)〕／総数／15～24歳,4.7,4,0.7,…,3.9,3.7,0.2,…,5.3,4.2,1.1,…
〔完全失業率（年齢階級別）(%)〕／総数／25～34歳,2.8,3.6,-0.8,…,3,4,-1,…,2.6,3.1,-0.5,…
〔完全失業率（年齢階級別）(%)〕／総数／35～44歳,2.2,2.4,-0.2,…,2.5,2.7,-0.2,…,1.8,2.1,-0.3,…
〔完全失業率（年齢階級別）(%)〕／総数／45～54歳,1.8,2.3,-0.5,…,1.7,2,-0.3,…,2.1,2.6,-0.5,…
〔完全失業率（年齢階級別）(%)〕／総数／55～64歳,2.3,3,-0.7,…,3,3.4,-0.4,…,1.2,2.5,-1.3,…
〔完全失業率（年齢階級別）(%)〕／総数／65歳以上,1.4,2.5,-1.1,…,2,3,-1,…,0.8,1.9,-1.1,…
〔就業率（%）〕／総数,66,65,1,…,74.6,74.1,0.5,…,57.8,56.2,1.6,…
〔労働力人口比率(%)〕／総数,67.6,66.9,0.7,…,76.6,76.4,0.2,…,59.1,57.8,1.3,…
,,,,,,,,,,,,
東京の労働力統計データ（平成31年・令和元年4～6月期平均）,,,,,,,,,,,,
第１表　就業状態別15歳以上人口、産業別就業者数及び完全失業者数,,,,,,,,,,,,
平成31年・令和元年4～6月期平均,,,,,,,,,,,,
注)非農林業雇用者の従業者規模別内訳の総数には官公・従業者規模不詳を含んでいるため、内訳の合計とは一致しない。,,,,,,,,,,,,
