番号,項目,回答数（人）,回答数（％）
1,感染したら怖い,315 ,24.2 
2,自分は感染しないと思う,72 ,5.5 
3,若者だけが感染を拡大させているように言われ残念（不快）である,238 ,18.3 
4,感染対策を行っており、今後も続けていきたい,327 ,25.2 
5,変異株が（感染力が強いようで）怖い,319 ,24.5 
6,コロナ禍（がいつまで続くのか）の見通しが不明で不安に思う,399 ,30.7 
7,医療関係者への感謝があり、できるだけ負担をかけることは避けるべきだと思う,282 ,21.7 
8,医療体制のひっ迫が不安,330 ,25.4 
9,家族、友人への迷惑は避けたい,390 ,30.0 
10,親世代を含む年配の方への影響が気になる,168 ,12.9 
11,後遺症（脱毛・味覚嗅覚異常・倦怠感等）が残る可能性があるかもしれない,198 ,15.2 
12,死ぬかもしれない,162 ,12.5 
13,かかると差別を受けるかもしれない,159 ,12.2 
14,若者だけが感染を広げているように思う,67 ,5.2 
15,感染対策を行う必要はあまりないと思う,62 ,4.8 
16,感染への不安・恐怖感は少ない,106 ,8.2 
17,ニュース等を見ると不安になる,132 ,10.2 
18,コロナに関してはニュース等で情報を積極的に取るようにしている,139 ,10.7 
19,その他,35 ,2.7 
全体,,1300 ,100.0 
