措置区分,行政（平成27年）,行政（平成28年）,定例（平成29年）,財援（平成29年）,行政(企画提案)（平成29年）,各会計歳入歳出決算審査（平成29年）,定例（平成30年）,工事（平成30年）,財援（平成30年）,行政(指定管理)（平成30年）,行政(システム)（平成30年）,計
ア　返還・戻入等（是正・改善措置）※措置区分のうち主なものを１つ選定した場合の数値,,,,,,,,,10,,,10
ア　返還・戻入等（是正・改善措置）※措置区分のうち主なものを全て選定した場合の数値,,,,,,,,1,10,,,11
イ　財産・物品管理（是正・改善措置）※措置区分のうち主なものを１つ選定した場合の数値,1,,,,,,2,1,4,,,8
イ　財産・物品管理（是正・改善措置）※措置区分のうち主なものを全て選定した場合の数値,1,,,,,,2,1,4,,,8
ウ　会計処理（是正・改善措置）※措置区分のうち主なものを１つ選定した場合の数値,,,,,,1,1,,,,,2
ウ　会計処理（是正・改善措置）※措置区分のうち主なものを全て選定した場合の数値,,,,,,1,1,,,,,2
エ　事務処理等（是正・改善措置）※措置区分のうち主なものを１つ選定した場合の数値,1,1,,,,,6,2,13,4,4,31
エ　事務処理等（是正・改善措置）※措置区分のうち主なものを全て選定した場合の数値,1,1,,1,,,10,4,19,5,4,45
小計※措置区分のうち主なものを１つ選定した場合の数値,2,1,,,,1,9,3,27,4,4,51
小計※措置区分のうち主なものを全て選定した場合の数値,2,1,,1,,1,13,6,33,5,4,66
ア　要綱等の制定・改正※措置区分のうち主なものを１つ選定した場合の数値,,,,2,,,2,1,1,2,,8
ア　要綱等の制定・改正※措置区分のうち主なものを全て選定した場合の数値,,,,2,,,2,1,2,2,1,10
イ　契約・仕様等の見直し※措置区分のうち主なものを１つ選定した場合の数値,,,1,,1,,6,1,4,,,13
イ　契約・仕様等の見直し※措置区分のうち主なものを全て選定した場合の数値,2,,1,1,1,,7,1,11,,,24
ウ　ルール・体制の構築※措置区分のうち主なものを１つ選定した場合の数値,,,,1,,,3,24,5,6,,39
ウ　ルール・体制の構築※措置区分のうち主なものを全て選定した場合の数値,,1,,1,,,7,28,21,7,,65
エ　研修等の実施※措置区分のうち主なものを１つ選定した場合の数値,,,,,,,4,,10,,,14
エ　研修等の実施※措置区分のうち主なものを全て選定した場合の数値,,1,1,,,1,16,29,31,5,,84
小計※措置区分のうち主なものを１つ選定した場合の数値,,,1,3,1,,15,26,20,8,,74
小計※措置区分のうち主なものを全て選定した場合の数値,2,2,2,4,1,1,32,59,65,14,1,183
合計※措置区分のうち主なものを１つ選定した場合の数値,2,1,1,3,1,1,24,29,47,12,4,125
合計※措置区分のうち主なものを全て選定した場合の数値,4,3,2,5,1,2,45,65,98,19,5,249
