監査種別,監査実施期間,結果内訳,措置対象,措置済,今回通知,改善率,改善中
平成24年行政監査（土地及び建物の運用・管理について）,平成24.9.18～平成25.1.31,指摘,16,15,,93.8,1
平成24年行政監査（土地及び建物の運用・管理について）,平成24.9.18～平成25.1.31,意見・要望,,,,,
平成24年行政監査（土地及び建物の運用・管理について）,平成24.9.18～平成25.1.31,計,16,15,,93.8,1
平成27年行政監査（庁舎及び都民利用施設における都民サービスについて）,平成27.9.25～平成28.2.4,指摘,24,23,1,100,0
平成27年行政監査（庁舎及び都民利用施設における都民サービスについて）,平成27.9.25～平成28.2.4,意見・要望,11,10,1,100,0
平成27年行政監査（庁舎及び都民利用施設における都民サービスについて）,平成27.9.25～平成28.2.4,計,35,33,2,100,0
平成28年財政援助団体等監査,平成28.9.1～平成29.1.26,指摘,83,82,,98.8,1
平成28年財政援助団体等監査,平成28.9.1～平成29.1.26,意見・要望,5,5,,100,0
平成28年財政援助団体等監査,平成28.9.1～平成29.1.26,計,88,87,,98.9,1
平成28年行政監査（財務に関する事務の内部統制について）,平成28.9.1～平成29.1.26,指摘,,,,,
平成28年行政監査（財務に関する事務の内部統制について）,平成28.9.1～平成29.1.26,意見・要望,7,6,1,100,0
平成28年行政監査（財務に関する事務の内部統制について）,平成28.9.1～平成29.1.26,計,7,6,1,100,0
平成29年定例監査（平成28年度執行分）,平成29.1.10～平成29.8.31,指摘,143,142,1,100,0
平成29年定例監査（平成28年度執行分）,平成29.1.10～平成29.8.31,意見・要望,10,10,,100,0
平成29年定例監査（平成28年度執行分）,平成29.1.10～平成29.8.31,計,153,152,1,100,0
平成29年財政援助団体等監査,平成29.9.6～平成30.1.25,指摘,52,51,1,100,0
平成29年財政援助団体等監査,平成29.9.6～平成30.1.25,意見・要望,9,5,2,77.8,2
平成29年財政援助団体等監査,平成29.9.6～平成30.1.25,計,61,56,3,96.7,2
平成29年行政監査（システム投資の有効性について）,平成29.10.11～平成30.2.1,指摘,3,3,,100,0
平成29年行政監査（システム投資の有効性について）,平成29.10.11～平成30.2.1,意見・要望,1,,,0,1
平成29年行政監査（システム投資の有効性について）,平成29.10.11～平成30.2.1,計,4,3,,75,1
平成29年行政監査（企画提案方式等による契約及び業務委託契約について）,平成29.9.28～平成30.2.1,指摘,29,28,1,100,0
平成29年行政監査（企画提案方式等による契約及び業務委託契約について）,平成29.9.28～平成30.2.1,意見・要望,5,5,,100,0
平成29年行政監査（企画提案方式等による契約及び業務委託契約について）,平成29.9.28～平成30.2.1,計,34,33,1,100,0
平成29年各会計歳入歳出決算審査,平成30.7.12～平成30.8.30,指摘,11,10,1,100,0
平成29年各会計歳入歳出決算審査,平成30.7.12～平成30.8.30,意見・要望,,,,,
平成29年各会計歳入歳出決算審査,平成30.7.12～平成30.8.30,計,11,10,1,100,0
平成29年公営企業各会計決算審査,平成30.6.1～平成30.8.30,指摘,2,1,,50,1
平成29年公営企業各会計決算審査,平成30.6.1～平成30.8.30,意見・要望,,,,,
平成29年公営企業各会計決算審査,平成30.6.1～平成30.8.30,計,2,1,,50,1
平成30年定例監査（平成29年度執行分）,平成30.1.10～平成30.8.30,指摘,111,76,22,88.3,13
平成30年定例監査（平成29年度執行分）,平成30.1.10～平成30.8.30,意見・要望,4,2,2,100,0
平成30年定例監査（平成29年度執行分）,平成30.1.10～平成30.8.30,計,115,78,24,88.7,13
平成30年工事監査,平成30.1.15～平成31.1.17,指摘,29,,29,100,0
平成30年工事監査,平成30.1.15～平成31.1.17,意見・要望,,,,,
平成30年工事監査,平成30.1.15～平成31.1.17,計,29,,29,100,0
平成30年財政援助団体等監査,平成30.9.3～平成31.1.31,指摘,68,,47,69.1,21
平成30年財政援助団体等監査,平成30.9.3～平成31.1.31,意見・要望,4,,,0,4
平成30年財政援助団体等監査,平成30.9.3～平成31.1.31,計,72,,47,65.3,25
平成30年行政監査（公の施設の指定管理について）,平成30.7.17～平成31.1.31,指摘,,,,,
平成30年行政監査（公の施設の指定管理について）,平成30.7.17～平成31.1.31,意見・要望,29,,12,41.4,17
平成30年行政監査（公の施設の指定管理について）,平成30.7.17～平成31.1.31,計,29,,12,41.4,17
平成30年行政監査（情報システムの効率的かつ効果的な運用について）,平成30.10.9～平成31.1.31,指摘,11,,4,36.4,7
平成30年行政監査（情報システムの効率的かつ効果的な運用について）,平成30.10.9～平成31.1.31,意見・要望,,,,,
平成30年行政監査（情報システムの効率的かつ効果的な運用について）,平成30.10.9～平成31.1.31,計,11,,4,36.4,7
