年次・月次コード,年次・月次,西暦（年）,月,都平均,第1階層,第2階層,第3階層,第4階層,第5階層,第6階層,第7階層
nen,平成23年平均,2011,,30.2,32.1,29.8,33.3,34.9,28.1,29.3,26.7
nen,平成24年平均,2012,,29.6,30.8,31.3,35.2,30.8,29.4,27,26.5
nen,平成25年平均,2013,,30,30.2,33,34,29.5,28.6,29.8,27.2
nen,平成26年平均,2014,,28.7,29,27.3,29.7,29,29.8,32,24.8
nen,平成27年平均,2015,,29.6,30,33.2,32,32.2,29,28.3,26.1
nen,平成28年平均,2016,,29.9,27.8,29.9,33.8,30.2,30.7,31.9,26.5
nen,平成29年平均,2017,,28.7,28.9,27.9,27.8,27.7,31.4,29.4,27.8
tuki,平成28年12月,2016,12,25,19.9,29.9,26.6,30.2,24.6,20.7,23.3
tuki,平成29年1月,2017,1,27.7,25.3,32.4,29.1,24.4,28.2,25.6,29.2
tuki,平成29年2月,2017,2,34.7,31.2,30.7,25.7,30.8,49,33.8,33.5
tuki,平成29年3月,2017,3,25.4,23.9,29,24.2,20.8,29.3,23.2,27.1
tuki,平成29年4月,2017,4,40.2,30.8,34.2,37.7,30,40,45.7,50.1
tuki,平成29年5月,2017,5,25,24.5,16.6,26.4,23,30.4,31.1,26.4
tuki,平成29年6月,2017,6,26.2,31.1,26.8,32.7,26.4,23.8,24.8,23
tuki,平成29年7月,2017,7,25.1,33.7,28.3,28.6,26.8,23.2,19,23.2
tuki,平成29年8月,2017,8,24.8,25.6,20,30.1,24.2,30.1,20.2,24.7
tuki,平成29年9月,2017,9,31,31.8,30,28.9,37.5,27.5,36.7,27.3
tuki,平成29年10月,2017,10,32.3,32.1,27.5,32.1,37.4,26.9,26,38.4
tuki,平成29年11月,2017,11,26,30.6,27.7,25.2,26.7,26.9,21.8,25.7
tuki,平成29年12月,2017,12,23.9,26.5,28.1,24.3,22.1,24,27.3,17.7
,,,,,,,,,,,
東京都生計分析調査　平成29年12月,,,,,,,,,,,
主要指標５　―勤労者世帯，勤め先収入７分位階層別―,,,,,,,,,,,
公共的料金負担率〔＝（公共的料金÷消費支出）×１００〕,,,,,,,,,,,
