年次・月次コード,年次・月次,西暦（年）,月,都平均,第1階層,第2階層,第3階層,第4階層,第5階層,第6階層,第7階層
nen,平成22年平均,2010,,28.4,28.5,34.5,31.3,30.9,26.8,27.8,23.3
nen,平成23年平均,2011,,30.2,32.1,29.8,33.3,34.9,28.1,29.3,26.7
nen,平成24年平均,2012,,29.6,30.8,31.3,35.2,30.8,29.4,27,26.5
nen,平成25年平均,2013,,30,30.2,33,34,29.5,28.6,29.8,27.2
nen,平成26年平均,2014,,28.7,29,27.3,29.7,29,29.8,32,24.8
nen,平成27年平均,2015,,29.6,30,33.2,32,32.2,29,28.3,26.1
nen,平成28年平均,2016,,29.9,27.8,29.9,33.8,30.2,30.7,31.9,26.5
tuki,平成28年8月,2016,8,25.5,23.6,24.9,32.7,31.6,24.8,28.1,18.4
tuki,平成28年9月,2016,9,33.8,28.8,34.7,32.3,35.9,31.6,35.9,35.2
tuki,平成28年10月,2016,10,31.6,33.5,29.7,35.8,29.5,28.2,31.3,32.6
tuki,平成28年11月,2016,11,27,25.7,29,28.5,29.2,26.6,26,25.4
tuki,平成28年12月,2016,12,25,19.9,29.9,26.6,30.2,24.6,20.7,23.3
tuki,平成29年1月,2017,1,27.7,25.3,32.4,29.1,24.4,28.2,25.6,29.2
tuki,平成29年2月,2017,2,34.7,31.2,30.7,25.7,30.8,49,33.8,33.5
tuki,平成29年3月,2017,3,25.4,23.9,29,24.2,20.8,29.3,23.2,27.1
tuki,平成29年4月,2017,4,40.2,30.8,34.2,37.7,30,40,45.7,50.1
tuki,平成29年5月,2017,5,25,24.5,16.6,26.4,23,30.4,31.1,26.4
tuki,平成29年6月,2017,6,26.2,31.1,26.8,32.7,26.4,23.8,24.8,23
tuki,平成29年7月,2017,7,25.1,33.7,28.3,28.6,26.8,23.2,19,23.2
tuki,平成29年8月,2017,8,24.8,25.6,20,30.1,24.2,30.1,20.2,24.7
,,,,,,,,,,,
東京都生計分析調査　平成29年8月,,,,,,,,,,,
主要指標５　―勤労者世帯，勤め先収入７分位階層別―,,,,,,,,,,,
公共的料金負担率〔＝（公共的料金÷消費支出）×１００〕,,,,,,,,,,,
