項目,階層,項目名,都平均／実数（円）,都平均／負担率（％）,都平均／対前年同月増加率（％）,第1階層／実数（円）,第1階層／負担率（％）,第2階層／実数（円）,第2階層／負担率（％）,第3階層／実数（円）,第3階層／負担率（％）,第4階層／実数（円）,第4階層／負担率（％）,第5階層／実数（円）,第5階層／負担率（％）,第6階層／実数（円）,第6階層／負担率（％）,第7階層／実数（円）,第7階層／負担率（％）
0,0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
0,0,調査世帯数,712,-,-,98,-,99,-,105,-,101,-,101,-,107,-,101,-
0,0,世帯人員,2.9,-,-,2.73,-,2.68,-,2.8,-,2.76,-,2.78,-,3.2,-,3.37,-
0,0,有業人員,1.31,-,-,1.15,-,1.15,-,1.24,-,1.05,-,1.39,-,1.57,-,1.63,-
0,0,世帯主平均年齢,60.8,-,-,65.8,-,62.2,-,62.5,-,63.6,-,57.2,-,59.4,-,55.2,-
0,0,消費支出,360867,-,1.7,131230,-,209703,-,258376,-,305316,-,367096,-,455372,-,795386,-
0,0,公共的料金,82942,23,0.6,34600,26.4,56905,27.1,67668,26.2,72072,23.6,89595,24.4,96057,21.1,162993,20.5
1,0,公共料金等,55985,15.5,7.6,27673,21.1,40420,19.3,47658,18.4,51804,17,57896,15.8,74843,16.4,91264,11.5
1,1,米,1906,0.5,11.5,1685,1.3,1803,0.9,1955,0.8,1996,0.7,1777,0.5,2281,0.5,1847,0.2
1,1,食塩,42,0,27.3,25,0,40,0,34,0,43,0,43,0,46,0,62,0
1,1,学校給食,782,0.2,-14.7,93,0.1,453,0.2,554,0.2,732,0.2,706,0.2,1268,0.3,1660,0.2
1,1,公営家賃,472,0.1,-35.5,391,0.3,365,0.2,420,0.2,263,0.1,1498,0.4,361,0.1,-,-
1,1,電気代,9921,2.7,12.6,7005,5.3,10002,4.8,9519,3.7,9592,3.1,8607,2.3,11435,2.5,13266,1.7
1,1,都市ガス,6206,1.7,15.1,4402,3.4,5907,2.8,6027,2.3,5739,1.9,6348,1.7,7198,1.6,7803,1
1,1,上下水道料,4994,1.4,-0.4,3509,2.7,5044,2.4,5064,2,4299,1.4,5327,1.5,5402,1.2,6298,0.8
1,1,医科診療代,3684,1,5.3,1403,1.1,2674,1.3,4279,1.7,5466,1.8,2573,0.7,4612,1,4789,0.6
1,1,歯科診療代,2082,0.6,94.8,139,0.1,463,0.2,1959,0.8,1155,0.4,4203,1.1,4054,0.9,2569,0.3
1,1,出産入院料,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,1,他の入院料,2769,0.8,439.8,-,-,-,-,1010,0.4,1469,0.5,1190,0.3,6222,1.4,9438,1.2
1,1,鉄道運賃,3743,1,-0.9,485,0.4,1042,0.5,1795,0.7,2498,0.8,4717,1.3,5624,1.2,9977,1.3
1,1,鉄道通学定期代,115,0,-50.9,-,-,134,0.1,35,0,-,-,49,0,157,0,427,0.1
1,1,鉄道通勤定期代,677,0.2,-36.6,-,-,142,0.1,314,0.1,825,0.3,1682,0.5,1256,0.3,514,0.1
1,1,バス代,355,0.1,-4.6,101,0.1,156,0.1,248,0.1,503,0.2,509,0.1,455,0.1,513,0.1
1,1,バス通学定期代,26,0,-16.1,-,-,-,-,-,-,-,-,-,-,50,0,131,0
1,1,バス通勤定期代,44,0,158.8,-,-,-,-,7,0,14,0,13,0,27,0,248,0
1,1,タクシー代,843,0.2,-15.5,400,0.3,234,0.1,787,0.3,936,0.3,683,0.2,1397,0.3,1457,0.2
1,1,航空運賃,597,0.2,-46.3,-,-,-,-,-,-,267,0.1,1674,0.5,-,-,2223,0.3
1,1,郵便料,2248,0.6,0.9,695,0.5,1288,0.6,1927,0.7,2036,0.7,2740,0.7,3091,0.7,3940,0.5
1,1,固定電話通信料,1721,0.5,-7,1570,1.2,2015,1,1523,0.6,1531,0.5,1377,0.4,1642,0.4,2382,0.3
1,1,移動電話通信料,8703,2.4,3,3626,2.8,5908,2.8,7132,2.8,8343,2.7,8111,2.2,12220,2.7,15524,2
1,1,ＮＨＫ放送受信料,1513,0.4,-1.1,900,0.7,1412,0.7,964,0.4,1898,0.6,1813,0.5,1538,0.3,2063,0.3
1,1,ケーブルテレビ放送受信料,1376,0.4,32.2,680,0.5,744,0.4,1102,0.4,1142,0.4,1481,0.4,2105,0.5,2364,0.3
1,1,他の放送受信料,138,0,-20.7,99,0.1,39,0,11,0,65,0,227,0.1,256,0.1,270,0
1,1,国公立小学校,95,0,-52.5,72,0.1,80,0,91,0,47,0,40,0,164,0,174,0
1,1,国公立中学校,207,0.1,-1.4,-,-,54,0,-,-,120,0,36,0,811,0.2,429,0.1
