年次・月次コード,年次・月次,西暦（年）,月,都平均,第1階層,第2階層,第3階層,第4階層,第5階層,第6階層,第7階層
nen,平成23年平均,2011,,48.1,26.2,33.2,38.8,42.2,45.3,50.7,59.6
nen,平成24年平均,2012,,48.8,28.4,33.4,38.7,41.7,46.3,51.7,60.4
nen,平成25年平均,2013,,48.2,26.6,34.1,38.5,41.6,46.4,51.1,58.5
nen,平成26年平均,2014,,47.2,26,31.7,37.5,41.9,45.8,49.2,57.9
nen,平成27年平均,2015,,45.4,23.7,29.6,34.2,37.7,42,47.8,57.8
nen,平成28年平均,2016,,45.8,22.4,30.1,35,38.2,42,47.4,58.4
nen,平成29年平均,2017,,46.1,23.5,31.2,33.8,38.5,42.1,47.8,58.7
tuki,平成28年12月,2016,12,44,21.8,29.7,33.4,38.6,45,46.9,54.1
tuki,平成29年1月,2017,1,45.6,20.8,31,32.5,35,44.6,45.6,59.4
tuki,平成29年2月,2017,2,44.2,17.7,30.8,31.1,38,37.3,46.3,56.7
tuki,平成29年3月,2017,3,45.8,24.2,28.8,31.9,41.3,43.7,48.6,56.8
tuki,平成29年4月,2017,4,53,22.6,31.3,38.2,39.6,44.5,49.1,71.1
tuki,平成29年5月,2017,5,47.5,29.6,32.3,36.9,40.6,44.3,47.2,59
tuki,平成29年6月,2017,6,45,24.9,31.1,34.4,39.8,43,47,56.2
tuki,平成29年7月,2017,7,45.8,23.2,30.7,33.5,39,42.8,48.2,56.7
tuki,平成29年8月,2017,8,46,22.7,29.5,36.3,40.8,43,49.6,56.4
tuki,平成29年9月,2017,9,45.7,22.9,29.9,33.8,36.7,42.4,49.7,56.1
tuki,平成29年10月,2017,10,47.4,23.7,32.9,31.9,38.8,39.7,48.5,62
tuki,平成29年11月,2017,11,43.1,23.6,32.8,34,36.1,42.6,46.4,52.4
tuki,平成29年12月,2017,12,43.4,23.5,30.7,32,35.2,39.8,43.9,58.2
,,,,,,,,,,,
東京都生計分析調査　平成29年12月,,,,,,,,,,,
主要指標４　―全世帯，生計支出７分位階層別―,,,,,,,,,,,
選択的支出係数〔＝（選択的支出÷消費支出）×１００〕,,,,,,,,,,,
