年次・月次コード,年次・月次,西暦（年）,月,都平均,第1階層,第2階層,第3階層,第4階層,第5階層,第6階層,第7階層
nen,平成23年平均,2011,,54.6,44.4,46.5,51,53.4,56,60.6,61.1
nen,平成24年平均,2012,,55.6,47.9,46,48.4,54,58.2,59.1,64.5
nen,平成25年平均,2013,,54.5,48.1,46.2,47.4,52.5,56.3,60.9,61.2
nen,平成26年平均,2014,,53.9,44.3,47,50.3,54.7,55.2,58.3,59.9
nen,平成27年平均,2015,,52.2,42.8,43.7,46.4,51.8,52.6,56.6,60.9
nen,平成28年平均,2016,,53,48,47.7,45.4,52.4,53.5,57.7,59
nen,平成29年平均,2017,,54,41.7,45.6,45.9,54.1,56.9,61.4,61.8
tuki,平成28年12月,2016,12,51.9,36.8,53.7,48,50.9,55.4,52.5,59.9
tuki,平成29年1月,2017,1,54.6,48.9,49.4,48.8,53.9,49,59.4,64.4
tuki,平成29年2月,2017,2,52.9,41.7,32.4,41.2,49.5,64.2,56.2,66.6
tuki,平成29年3月,2017,3,54,44.7,46.6,49.3,52.7,54,61.5,61
tuki,平成29年4月,2017,4,60.5,42.3,57.5,49.2,53.2,60.5,67.5,74.9
tuki,平成29年5月,2017,5,52.7,44.7,43.8,47.6,56.3,57.1,58.8,59.3
tuki,平成29年6月,2017,6,51.7,33.4,52.9,40.4,54.8,55.7,58.9,54.8
tuki,平成29年7月,2017,7,56,45.7,40.9,45.3,59.8,57.3,66.1,62.2
tuki,平成29年8月,2017,8,52.7,44,42.9,47.1,58.2,50.6,61.4,58.4
tuki,平成29年9月,2017,9,54.9,40.1,44.8,46,54.4,55.8,57.8,66.9
tuki,平成29年10月,2017,10,54.5,42.1,37.5,44.2,46.9,65.5,58.2,66.5
tuki,平成29年11月,2017,11,50.7,43.5,40.4,46.7,51.6,51.9,57.7,55.1
tuki,平成29年12月,2017,12,51.7,35.2,35.1,49.9,59.5,53.6,57.4,56.2
,,,,,,,,,,,
東京都生計分析調査　平成29年12月,,,,,,,,,,,
主要指標５　―勤労者世帯，勤め先収入７分位階層別―,,,,,,,,,,,
選択的支出係数〔＝（選択的支出÷消費支出）×１００〕,,,,,,,,,,,
