項目,階層,項目名,都平均／実数（円）,都平均／負担率（％）,都平均／対前年同月増加率（％）,第1階層／実数（円）,第1階層／負担率（％）,第2階層／実数（円）,第2階層／負担率（％）,第3階層／実数（円）,第3階層／負担率（％）,第4階層／実数（円）,第4階層／負担率（％）,第5階層／実数（円）,第5階層／負担率（％）,第6階層／実数（円）,第6階層／負担率（％）,第7階層／実数（円）,第7階層／負担率（％）
0,0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
0,0,調査世帯数,362,-,-,54,-,49,-,55,-,52,-,48,-,49,-,55,-
0,0,世帯人員,3.34,-,-,3.13,-,2.95,-,3.17,-,3.55,-,3.53,-,3.49,-,3.54,-
0,0,有業人員,1.64,-,-,1.71,-,1.44,-,1.56,-,1.52,-,1.67,-,1.73,-,1.87,-
0,0,世帯主平均年齢,49.1,-,-,54.4,-,52.3,-,47.1,-,46.1,-,46.6,-,47.7,-,49.9,-
0,0,消費支出,379706,-,7.3,221071,-,573008,-,285384,-,356671,-,362138,-,425364,-,430582,-
0,0,公共的料金,94783,25,-9.3,54059,24.5,95077,16.6,75449,26.4,82042,23,110058,30.4,132367,31.1,113506,26.4
1,0,公共料金等,62177,16.4,-0.5,45120,20.4,58887,10.3,47756,16.7,57264,16.1,72360,20,75041,17.6,78261,18.2
1,1,米,1798,0.5,-12.4,1547,0.7,1525,0.3,1865,0.7,1690,0.5,1847,0.5,2133,0.5,1977,0.5
1,1,食塩,27,0,-27,45,0,9,0,14,0,26,0,5,0,66,0,25,0
1,1,学校給食,2101,0.6,6.3,1896,0.9,1076,0.2,1865,0.7,2247,0.6,3535,1,2011,0.5,2055,0.5
1,1,公営家賃,651,0.2,-70,187,0.1,2844,0.5,1519,0.5,-,-,-,-,-,-,-,-
1,1,電気代,8211,2.2,1.9,7396,3.3,7859,1.4,7211,2.5,7816,2.2,7681,2.1,9615,2.3,9884,2.3
1,1,都市ガス,6090,1.6,0.4,5345,2.4,6539,1.1,5216,1.8,6265,1.8,6544,1.8,6165,1.4,6527,1.5
1,1,上下水道料,4993,1.3,-10.5,3811,1.7,6091,1.1,3997,1.4,4998,1.4,4708,1.3,4963,1.2,6350,1.5
1,1,医科診療代,2414,0.6,-2.9,2469,1.1,3083,0.5,1808,0.6,2215,0.6,2917,0.8,1984,0.5,2403,0.6
1,1,歯科診療代,2025,0.5,103.9,271,0.1,1558,0.3,1265,0.4,947,0.3,1228,0.3,5976,1.4,2929,0.7
1,1,出産入院料,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,1,他の入院料,262,0.1,-35.3,-,-,-,-,-,-,-,-,-,-,1602,0.4,238,0.1
1,1,鉄道運賃,3559,0.9,6.9,1888,0.9,3005,0.5,1557,0.5,3833,1.1,3187,0.9,3881,0.9,7509,1.7
1,1,鉄道通学定期代,154,0,-77,67,0,102,0,224,0.1,231,0.1,-,-,-,-,455,0.1
1,1,鉄道通勤定期代,3151,0.8,12.2,760,0.3,2265,0.4,2475,0.9,2489,0.7,7055,1.9,1506,0.4,5374,1.2
1,1,バス代,564,0.1,6.8,191,0.1,308,0.1,321,0.1,702,0.2,513,0.1,911,0.2,999,0.2
1,1,バス通学定期代,111,0,76.2,-,-,-,-,-,-,166,0,-,-,57,0,547,0.1
1,1,バス通勤定期代,14,0,-86.5,-,-,-,-,45,0,-,-,52,0,-,-,-,-
1,1,タクシー代,664,0.2,-42.3,1452,0.7,546,0.1,426,0.1,105,0,561,0.2,773,0.2,798,0.2
1,1,航空運賃,1413,0.4,71.3,-,-,1579,0.3,266,0.1,371,0.1,1810,0.5,5877,1.4,-,-
1,1,郵便料,128,0,0.8,162,0.1,37,0,130,0,214,0.1,90,0,67,0,196,0
1,1,固定電話通信料,1632,0.4,-10.5,1980,0.9,1500,0.3,853,0.3,2151,0.6,1177,0.3,2268,0.5,1514,0.4
1,1,移動電話通信料,14697,3.9,7.8,10604,4.8,14490,2.5,11419,4,14405,4,15631,4.3,17297,4.1,18922,4.4
1,1,ＮＨＫ放送受信料,607,0.2,-34.7,565,0.3,503,0.1,1156,0.4,310,0.1,456,0.1,663,0.2,599,0.1
1,1,ケーブルテレビ放送受信料,1226,0.3,21.5,1078,0.5,993,0.2,575,0.2,727,0.2,1737,0.5,1591,0.4,1865,0.4
1,1,他の放送受信料,158,0,-3.1,22,0,128,0,341,0.1,135,0,86,0,124,0,271,0.1
1,1,国公立小学校,1120,0.3,95.8,1245,0.6,406,0.1,1070,0.4,1247,0.3,2161,0.6,834,0.2,868,0.2
1,1,国公立中学校,669,0.2,-2,235,0.1,10,0,149,0.1,1280,0.4,1657,0.5,529,0.1,800,0.2
1,1,国公立高校,1798,0.5,117.7,1372,0.6,636,0.1,-,-,1695,0.5,2316,0.6,2854,0.7,3688,0.9
