項目,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年同月増加率（％）,第1階層／実数（円）,第1階層／構成比（％）,第2階層／実数（円）,第2階層／構成比（％）,第3階層／実数（円）,第3階層／構成比（％）,第4階層／実数（円）,第4階層／構成比（％）,第5階層／実数（円）,第5階層／構成比（％）,第6階層／実数（円）,第6階層／構成比（％）,第7階層／実数（円）,第7階層／構成比（％）
0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
0,調査世帯数,722,-,-,99,-,106,-,99,-,110,-,108,-,104,-,96,-
0,世帯人員,2.93,-,-,2.58,-,2.75,-,2.76,-,2.85,-,3.01,-,3.14,-,3.39,-
0,有業人員,1.28,-,-,0.97,-,1.21,-,1.09,-,1.2,-,1.43,-,1.51,-,1.51,-
0,世帯主平均年齢,61,-,-,65.8,-,62.5,-,62.8,-,62,-,61.4,-,55.8,-,56.4,-
0,消費支出,320871,100,-6.1,102852,100,158546,100,200436,100,254217,100,314680,100,399111,100,814241,100
2,基礎的支出,168900,52.6,-3.7,78484,76.3,106313,67.1,136419,68.1,155601,61.2,189850,60.3,205423,51.5,309340,38
3,選択的支出,151971,47.4,-8.7,24368,23.7,52233,32.9,64016,31.9,98616,38.8,124829,39.7,193688,48.5,504901,62
1,食料,86857,27.1,-2.7,49128,47.8,64679,40.8,77943,38.9,84120,33.1,94921,30.2,109218,27.4,127631,15.7
2,基礎的支出,67369,21,-1.3,42991,41.8,54181,34.2,64697,32.3,66978,26.3,74487,23.7,78822,19.7,89205,11
3,選択的支出,19487,6.1,-7.2,6137,6,10498,6.6,13245,6.6,17141,6.7,20434,6.5,30396,7.6,38426,4.7
1,住居,25519,8,-15.5,1564,1.5,7076,4.5,15015,7.5,12275,4.8,21620,6.9,39382,9.9,81435,10
2,基礎的支出,23896,7.4,-17,1375,1.3,6968,4.4,14537,7.3,11461,4.5,20018,6.4,35059,8.8,77611,9.5
3,選択的支出,1623,0.5,14.1,189,0.2,108,0.1,479,0.2,814,0.3,1602,0.5,4322,1.1,3824,0.5
1,光熱・水道,17797,5.5,3.8,13450,13.1,14811,9.3,15342,7.7,18561,7.3,19327,6.1,20015,5,23037,2.8
2,基礎的支出,17797,5.5,3.8,13450,13.1,14811,9.3,15342,7.7,18561,7.3,19327,6.1,20015,5,23037,2.8
3,選択的支出,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,家具・家事用品,9448,2.9,-16.3,4022,3.9,6117,3.9,5690,2.8,8082,3.2,8333,2.6,16813,4.2,17019,2.1
2,基礎的支出,6703,2.1,-16,3431,3.3,4306,2.7,4633,2.3,6431,2.5,6663,2.1,10268,2.6,11160,1.4
3,選択的支出,2744,0.9,-17,591,0.6,1811,1.1,1057,0.5,1651,0.6,1670,0.5,6545,1.6,5858,0.7
1,被服及び履物,14602,4.6,-17.5,3715,3.6,6397,4,7248,3.6,12913,5.1,16892,5.4,19621,4.9,35323,4.3
2,基礎的支出,971,0.3,9,368,0.4,867,0.5,668,0.3,834,0.3,1271,0.4,1041,0.3,1742,0.2
3,選択的支出,13631,4.2,-18.9,3347,3.3,5530,3.5,6581,3.3,12079,4.8,15621,5,18580,4.7,33581,4.1
1,保健医療,15782,4.9,-2.5,5891,5.7,7073,4.5,10841,5.4,16126,6.3,23971,7.6,16213,4.1,30259,3.7
2,基礎的支出,13079,4.1,-2.8,5447,5.3,5988,3.8,9771,4.9,12296,4.8,20687,6.6,11810,3,25469,3.1
3,選択的支出,2703,0.8,-1.2,444,0.4,1085,0.7,1070,0.5,3830,1.5,3285,1,4402,1.1,4791,0.6
1,交通・通信,36109,11.3,-23.6,8218,8,13968,8.8,18576,9.3,29150,11.5,33195,10.5,45079,11.3,104341,12.8
2,基礎的支出,9516,3,-5.5,3509,3.4,5354,3.4,6099,3,11927,4.7,11469,3.6,12515,3.1,15702,1.9
3,選択的支出,26593,8.3,-28.5,4709,4.6,8614,5.4,12477,6.2,17223,6.8,21726,6.9,32565,8.2,88639,10.9
1,教育,26565,8.3,44.7,651,0.6,2280,1.4,2751,1.4,4443,1.7,4175,1.3,18049,4.5,153424,18.8
2,基礎的支出,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,選択的支出,26565,8.3,44.7,651,0.6,2280,1.4,2751,1.4,4443,1.7,4175,1.3,18049,4.5,153424,18.8
1,教養娯楽,36691,11.4,0.8,7512,7.3,17251,10.9,20911,10.4,29709,11.7,33957,10.8,50744,12.7,96498,11.9
2,基礎的支出,7135,2.2,-0.3,3341,3.2,5179,3.3,5977,3,7480,2.9,8350,2.7,9360,2.3,10228,1.3
3,選択的支出,29555,9.2,1.1,4171,4.1,12072,7.6,14934,7.5,22229,8.7,25607,8.1,41383,10.4,86270,10.6
1,その他の消費支出,51502,16.1,-11.2,8701,8.5,18895,11.9,26117,13,38838,15.3,58290,18.5,63978,16,145274,17.8
2,基礎的支出,22432,7,3.9,4572,4.4,8660,5.5,14695,7.3,19632,7.7,27580,8.8,26532,6.6,55186,6.8
3,選択的支出,29070,9.1,-20.2,4129,4,10235,6.5,11422,5.7,19206,7.6,30710,9.8,37446,9.4,90088,11.1
,,,,,,,,,,,,,,,,,,
東京都生計分析調査　平成29年10月,,,,,,,,,,,,,,,,,,
第１５表　生計支出７分位階層別１世帯当たり１か月間の基礎的・選択的支出　―全世帯―,,,,,,,,,,,,,,,,,,
項目（0：世帯数等　1：品目　2：基礎的支出　3：選択的支出）,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
