項目,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年同月増加率（％）,第1階層／実数（円）,第1階層／構成比（％）,第2階層／実数（円）,第2階層／構成比（％）,第3階層／実数（円）,第3階層／構成比（％）,第4階層／実数（円）,第4階層／構成比（％）,第5階層／実数（円）,第5階層／構成比（％）,第6階層／実数（円）,第6階層／構成比（％）,第7階層／実数（円）,第7階層／構成比（％）
0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
0,調査世帯数,709,-,-,101,-,97,-,107,-,102,-,105,-,95,-,102,-
0,世帯人員,2.94,-,-,2.49,-,2.76,-,2.95,-,2.8,-,3.16,-,3.34,-,3.08,-
0,有業人員,1.31,-,-,0.88,-,1.21,-,1.23,-,1.28,-,1.47,-,1.59,-,1.54,-
0,世帯主平均年齢,60.9,-,-,67.2,-,62.3,-,62.6,-,62.2,-,58.1,-,56.2,-,57.6,-
0,消費支出,299426,100,-4.3,107338,100,167016,100,206947,100,250426,100,307339,100,389235,100,662265,100
2,基礎的支出,170472,56.9,-2.2,82031,76.4,112312,67.2,136525,66,160084,63.9,176340,57.4,208503,53.6,315278,47.6
3,選択的支出,128954,43.1,-6.8,25308,23.6,54703,32.8,70422,34,90342,36.1,130999,42.6,180732,46.4,346987,52.4
1,食料,89954,30,4.5,52602,49,63463,38,80346,38.8,91243,36.4,96686,31.5,108421,27.9,136117,20.6
2,基礎的支出,68778,23,3.1,47227,44,52717,31.6,64821,31.3,72785,29.1,73485,23.9,76452,19.6,93494,14.1
3,選択的支出,21177,7.1,9.1,5374,5,10746,6.4,15524,7.5,18459,7.4,23201,7.5,31969,8.2,42623,6.4
1,住居,21685,7.2,-23.4,1626,1.5,8727,5.2,10935,5.3,11175,4.5,21988,7.2,27093,7,69562,10.5
2,基礎的支出,19826,6.6,-24.4,1626,1.5,8480,5.1,10297,5,10304,4.1,18467,6,26446,6.8,62566,9.4
3,選択的支出,1859,0.6,-10.9,-,-,247,0.1,638,0.3,871,0.3,3521,1.1,647,0.2,6996,1.1
1,光熱・水道,19130,6.4,10.1,11842,11,16707,10,17268,8.3,21290,8.5,20222,6.6,22545,5.8,23957,3.6
2,基礎的支出,19130,6.4,10.1,11842,11,16707,10,17268,8.3,21290,8.5,20222,6.6,22545,5.8,23957,3.6
3,選択的支出,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,家具・家事用品,12665,4.2,-1.5,5559,5.2,6248,3.7,10221,4.9,8726,3.5,9878,3.2,17033,4.4,30742,4.6
2,基礎的支出,8366,2.8,0.3,3583,3.3,4926,2.9,8297,4,7246,2.9,6657,2.2,11113,2.9,16626,2.5
3,選択的支出,4299,1.4,-4.9,1976,1.8,1321,0.8,1924,0.9,1480,0.6,3220,1,5920,1.5,14116,2.1
1,被服及び履物,17482,5.8,0.9,2560,2.4,7784,4.7,9015,4.4,12428,5,15769,5.1,24816,6.4,49558,7.5
2,基礎的支出,956,0.3,-15.5,363,0.3,651,0.4,1284,0.6,786,0.3,606,0.2,1200,0.3,1792,0.3
3,選択的支出,16526,5.5,2.1,2197,2,7133,4.3,7731,3.7,11642,4.6,15162,4.9,23617,6.1,47766,7.2
1,保健医療,15856,5.3,-5.7,5270,4.9,9273,5.6,10632,5.1,13667,5.5,15217,5,23679,6.1,33013,5
2,基礎的支出,12554,4.2,-9,4711,4.4,8323,5,9118,4.4,12128,4.8,11839,3.9,17760,4.6,23846,3.6
3,選択的支出,3302,1.1,9.6,559,0.5,949,0.6,1514,0.7,1539,0.6,3378,1.1,5919,1.5,9168,1.4
1,交通・通信,29582,9.9,-11.4,7649,7.1,14434,8.6,18106,8.7,24420,9.8,30412,9.9,47026,12.1,64512,9.7
2,基礎的支出,10133,3.4,-8.8,3904,3.6,5129,3.1,6532,3.2,10322,4.1,10614,3.5,15501,4,18793,2.8
3,選択的支出,19449,6.5,-12.7,3745,3.5,9305,5.6,11574,5.6,14098,5.6,19797,6.4,31525,8.1,45719,6.9
1,教育,8198,2.7,-34.4,160,0.1,1136,0.7,3227,1.6,3769,1.5,6579,2.1,11654,3,30547,4.6
2,基礎的支出,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,選択的支出,8198,2.7,-34.4,160,0.1,1136,0.7,3227,1.6,3769,1.5,6579,2.1,11654,3,30547,4.6
1,教養娯楽,34724,11.6,-7.8,9059,8.4,17939,10.7,18090,8.7,28189,11.3,35394,11.5,42029,10.8,91542,13.8
2,基礎的支出,6238,2.1,0.4,3465,3.2,5738,3.4,4211,2,6858,2.7,7918,2.6,6754,1.7,8681,1.3
3,選択的支出,28486,9.5,-9.4,5593,5.2,12202,7.3,13879,6.7,21332,8.5,27476,8.9,35275,9.1,82862,12.5
1,その他の消費支出,50150,16.7,-0.6,11012,10.3,21305,12.8,29106,14.1,35518,14.2,55195,18,64937,16.7,132715,20
2,基礎的支出,24490,8.2,4.3,5309,4.9,9641,5.8,14696,7.1,18366,7.3,26531,8.6,30731,7.9,65523,9.9
3,選択的支出,25660,8.6,-4.8,5703,5.3,11664,7,14410,7,17152,6.8,28663,9.3,34206,8.8,67192,10.1
,,,,,,,,,,,,,,,,,,
東京都生計分析調査　平成29年11月,,,,,,,,,,,,,,,,,,
第１５表　生計支出７分位階層別１世帯当たり１か月間の基礎的・選択的支出　―全世帯―,,,,,,,,,,,,,,,,,,
項目（0：世帯数等　1：品目　2：基礎的支出　3：選択的支出）,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
