項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,夫婦のみの世帯／実数（円）,夫婦のみの世帯／構成比（％）,夫婦と未婚の子供から成る世帯／実数（円）,夫婦と未婚の子供から成る世帯／構成比（％）,一人親と未婚の子供から成る世帯／実数（円）,一人親と未婚の子供から成る世帯／構成比（％）,一人親と未婚の子供から成る世帯／母親と20歳未満の子供のみの世帯／実数（円）,一人親と未婚の子供から成る世帯／母親と20歳未満の子供のみの世帯／構成比（％）,その他／実数（円）,その他／構成比（％）,（再掲）夫婦共働き世帯／実数（円）,（再掲）夫婦共働き世帯／構成比（％）
0,0,0,0,0,世帯数分布,10000,-,1901,-,6951,-,413,-,150,-,735,-,4374,-
0,0,0,0,0,調査世帯数,358,-,67,-,250,-,14,-,5,-,27,-,161,-
0,0,0,0,0,世帯人員,3.4,-,2,-,3.79,-,2.5,-,3.01,-,3.75,-,3.42,-
0,0,0,0,0,有業人員,1.64,-,1.52,-,1.68,-,1.59,-,1,-,1.67,-,2.14,-
0,0,0,0,0,世帯主平均年齢,48.6,-,55.8,-,45.8,-,51.7,-,45.1,-,55.5,-,47.2,-
1,0,0,0,0,受取,1084011,-,980139,-,1149207,-,776965,-,850697,-,908873,-,1232336,-
1,1,0,0,0,実収入,527544,100,472137,100,562555,100,354299,100,424378,100,437226,100,609162,100
1,2,0,0,0,経常収入,513396,97.3,445730,94.4,549530,97.7,354229,100,424186,100,436229,99.8,594178,97.5
1,3,0,0,0,勤め先収入,500808,94.9,427972,90.6,538133,95.7,341339,96.3,388714,91.6,425929,97.4,583987,95.9
1,4,0,0,0,世帯主収入,445255,84.4,370806,78.5,480590,85.4,339536,95.8,388714,91.6,363136,83.1,463850,76.1
1,6,0,0,0,うち男,414564,78.6,309581,65.6,474334,84.3,123924,35,-,-,284361,65,442987,72.7
1,5,0,0,0,定期収入,427374,81,365279,77.4,460971,81.9,336380,94.9,388714,91.6,321464,73.5,444282,72.9
1,5,0,0,0,臨時収入,5757,1.1,5526,1.2,4132,0.7,3156,0.9,-,-,23176,5.3,6141,1
1,5,0,0,0,賞与,12124,2.3,-,-,15487,2.8,-,-,-,-,18496,4.2,13427,2.2
1,4,0,0,0,世帯主の配偶者の収入,50497,9.6,57166,12.1,53799,9.6,-,-,-,-,30436,7,115440,19
1,6,0,0,0,うち女,46950,8.9,49173,10.4,50881,9,-,-,-,-,30436,7,107331,17.6
1,4,0,0,0,他の世帯員収入,5056,1,-,-,3744,0.7,1803,0.5,-,-,32356,7.4,4697,0.8
1,3,0,0,0,事業・内職収入,5839,1.1,9734,2.1,4790,0.9,-,-,-,-,8964,2.1,7774,1.3
1,4,0,0,0,家賃収入,2879,0.5,8936,1.9,751,0.1,-,-,-,-,8964,2.1,2452,0.4
1,4,0,0,0,他の事業収入,2328,0.4,-,-,3350,0.6,-,-,-,-,-,-,5322,0.9
1,4,0,0,0,内職収入,631,0.1,798,0.2,690,0.1,-,-,-,-,-,-,-,-
1,3,0,0,0,他の経常収入,6749,1.3,8024,1.7,6608,1.2,12890,3.6,35473,8.4,1336,0.3,2417,0.4
1,4,0,0,0,財産収入,1189,0.2,5011,1.1,340,0.1,-,-,-,-,-,-,42,0
1,4,0,0,0,社会保障給付,4506,0.9,1445,0.3,5931,1.1,268,0.1,737,0.2,1336,0.3,1581,0.3
1,5,0,0,0,公的年金給付,275,0.1,1445,0.3,-,-,-,-,-,-,-,-,-,-
1,5,0,0,0,他の社会保障給付,4232,0.8,-,-,5931,1.1,268,0.1,737,0.2,1336,0.3,1581,0.3
1,4,0,0,0,仕送り金,1054,0.2,1569,0.3,337,0.1,12623,3.6,34736,8.2,-,-,794,0.1
1,2,0,0,0,特別収入,14148,2.7,26407,5.6,13024,2.3,70,0,192,0,997,0.2,14985,2.5
1,3,0,0,0,受贈金,6681,1.3,13678,2.9,5796,1,-,-,-,-,717,0.2,9878,1.6
1,3,0,0,0,他の特別収入,7467,1.4,12730,2.7,7228,1.3,70,0,192,0,280,0.1,5107,0.8
1,1,0,0,0,実収入以外の受取(繰入金を除く),476356,-,410836,-,509826,-,334555,-,322311,-,409072,-,540905,-
1,2,0,0,0,預貯金引出,387791,-,325603,-,415071,-,259393,-,272041,-,362864,-,443659,-
1,2,0,0,0,保険金,4882,-,11036,-,4006,-,-,-,-,-,-,-,2455,-
1,3,0,0,0,個人・企業年金保険金,1711,-,-,-,2461,-,-,-,-,-,-,-,-,-
1,3,0,0,0,他の保険金,3171,-,11036,-,1545,-,-,-,-,-,-,-,2455,-
1,2,0,0,0,有価証券売却,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2,0,0,0,土地家屋借入金,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2,0,0,0,他の借入金,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2,0,0,0,分割払購入借入金,867,-,-,-,1142,-,1613,-,4439,-,90,-,288,-
1,2,0,0,0,一括払購入借入金,82469,-,74198,-,89107,-,73550,-,45831,-,46118,-,94034,-
