項目,階層,項目名,都平均／実数（円）,都平均／負担率（％）,都平均／対前年同月増加率（％）,第1階層／実数（円）,第1階層／負担率（％）,第2階層／実数（円）,第2階層／負担率（％）,第3階層／実数（円）,第3階層／負担率（％）,第4階層／実数（円）,第4階層／負担率（％）,第5階層／実数（円）,第5階層／負担率（％）,第6階層／実数（円）,第6階層／負担率（％）,第7階層／実数（円）,第7階層／負担率（％）
0,0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
0,0,調査世帯数,338,-,-,54,-,48,-,43,-,50,-,50,-,49,-,44,-
0,0,世帯人員,3.31,-,-,3.05,-,2.91,-,3.07,-,3.68,-,3.29,-,3.44,-,3.7,-
0,0,有業人員,1.73,-,-,1.56,-,1.66,-,1.7,-,1.84,-,1.55,-,1.8,-,1.97,-
0,0,世帯主平均年齢,50.7,-,-,55.1,-,55.3,-,50.8,-,47.3,-,48.4,-,48.5,-,49.3,-
0,0,消費支出,311693,-,-8.4,245240,-,249888,-,267616,-,302080,-,290825,-,364920,-,458718,-
0,0,公共的料金,81171,26,-11.8,75073,30.6,69218,27.7,67453,25.2,80550,26.7,78131,26.9,79534,21.8,117790,25.7
1,0,公共料金等,55186,17.7,-1.4,51215,20.9,50386,20.2,45995,17.2,53049,17.6,56194,19.3,58366,16,70897,15.5
1,1,米,1864,0.6,19.4,2118,0.9,1568,0.6,1335,0.5,1540,0.5,1776,0.6,1894,0.5,2810,0.6
1,1,食塩,33,0,-19.5,38,0,14,0,65,0,16,0,10,0,36,0,50,0
1,1,学校給食,1493,0.5,-9.7,2413,1,778,0.3,1245,0.5,1361,0.5,1396,0.5,2174,0.6,1088,0.2
1,1,公営家賃,710,0.2,-51,-,-,2691,1.1,-,-,-,-,2301,0.8,-,-,-,-
1,1,電気代,8122,2.6,9.9,8057,3.3,6747,2.7,7187,2.7,8333,2.8,6672,2.3,8864,2.4,10956,2.4
1,1,都市ガス,4963,1.6,36.2,4485,1.8,4282,1.7,4858,1.8,4723,1.6,5086,1.7,4535,1.2,6740,1.5
1,1,上下水道料,5262,1.7,12.9,3783,1.5,5403,2.2,3908,1.5,6714,2.2,6375,2.2,5432,1.5,5236,1.1
1,1,医科診療代,3069,1,27.6,2785,1.1,3753,1.5,2096,0.8,4054,1.3,3908,1.3,3117,0.9,1808,0.4
1,1,歯科診療代,1431,0.5,-54.5,1527,0.6,659,0.3,920,0.3,1008,0.3,2223,0.8,1763,0.5,1904,0.4
1,1,出産入院料,905,0.3,...,-,-,-,-,-,-,1950,0.6,-,-,-,-,4356,0.9
1,1,他の入院料,827,0.3,98.3,-,-,1275,0.5,-,-,87,0,-,-,2155,0.6,2259,0.5
1,1,鉄道運賃,3147,1,-16.2,3984,1.6,689,0.3,4043,1.5,3211,1.1,2931,1,2479,0.7,4646,1
1,1,鉄道通学定期代,51,0,-85.8,-,-,-,-,-,-,153,0.1,-,-,204,0.1,-,-
1,1,鉄道通勤定期代,3041,1,35.3,1622,0.7,1922,0.8,4510,1.7,1806,0.6,6434,2.2,4572,1.3,385,0.1
1,1,バス代,242,0.1,-51,44,0,122,0,213,0.1,287,0.1,357,0.1,264,0.1,405,0.1
1,1,バス通学定期代,23,0,-91.9,-,-,-,-,-,-,106,0,57,0,-,-,-,-
1,1,バス通勤定期代,243,0.1,...,-,-,144,0.1,-,-,1410,0.5,-,-,165,0,-,-
1,1,タクシー代,518,0.2,-30.7,78,0,1498,0.6,362,0.1,188,0.1,244,0.1,272,0.1,984,0.2
1,1,航空運賃,437,0.1,-62.2,-,-,-,-,1499,0.6,-,-,-,-,-,-,1528,0.3
1,1,郵便料,863,0.3,-24.1,261,0.1,901,0.4,940,0.4,852,0.3,303,0.1,1125,0.3,1646,0.4
1,1,固定電話通信料,1397,0.4,-6.6,1234,0.5,1767,0.7,1055,0.4,1140,0.4,1171,0.4,1447,0.4,1961,0.4
1,1,移動電話通信料,12806,4.1,6.8,11018,4.5,13590,5.4,8361,3.1,12190,4,13060,4.5,13465,3.7,17935,3.9
1,1,ＮＨＫ放送受信料,548,0.2,-16.5,1068,0.4,326,0.1,34,0,262,0.1,164,0.1,862,0.2,1117,0.2
1,1,ケーブルテレビ放送受信料,1226,0.4,-5.5,563,0.2,1482,0.6,1111,0.4,1052,0.3,1456,0.5,1251,0.3,1661,0.4
1,1,他の放送受信料,124,0,-31.1,85,0,30,0,24,0,82,0,-,-,194,0.1,452,0.1
1,1,国公立小学校,202,0.1,-50.6,205,0.1,169,0.1,317,0.1,212,0.1,75,0,431,0.1,3,0
1,1,国公立中学校,320,0.1,4.6,376,0.2,-,-,363,0.1,143,0,10,0,1346,0.4,-,-
1,1,国公立高校,61,0,-92.3,429,0.2,-,-,-,-,-,-,-,-,-,-,-,-
1,1,国公立大学,543,0.2,-63.8,3827,1.6,-,-,-,-,-,-,-,-,-,-,-,-
1,1,たばこ,713,0.2,-7,1215,0.5,575,0.2,1547,0.6,169,0.1,188,0.1,319,0.1,967,0.2
2,0,準公共料金等,25986,8.3,-27.9,23858,9.7,18832,7.5,21458,8,27502,9.1,21937,7.5,21169,5.8,46893,10.2
2,1,牛乳,1310,0.4,8.2,1215,0.5,989,0.4,919,0.3,1173,0.4,1454,0.5,1206,0.3,2205,0.5
2,1,灯油,164,0.1,-42.7,183,0.1,157,0.1,141,0.1,203,0.1,148,0.1,192,0.1,129,0
2,1,プロパンガス,303,0.1,0.3,374,0.2,694,0.3,301,0.1,521,0.2,136,0,-,-,105,0
2,1,理髪料,328,0.1,4.1,272,0.1,200,0.1,207,0.1,345,0.1,122,0,606,0.2,542,0.1
2,1,パーマネント代,199,0.1,-11.9,193,0.1,-,-,-,-,139,0,262,0.1,260,0.1,533,0.1
2,1,洗濯代,864,0.3,-17.2,427,0.2,774,0.3,1277,0.5,731,0.2,1104,0.4,484,0.1,1238,0.3
2,1,新聞,1863,0.6,-12.9,1821,0.7,2217,0.9,1667,0.6,1303,0.4,1728,0.6,2163,0.6,2143,0.5
2,1,私立小学校,394,0.1,-58.2,782,0.3,-,-,-,-,-,-,-,-,-,-,1960,0.4
2,1,私立中学校,178,0.1,-48.1,-,-,-,-,-,-,-,-,-,-,425,0.1,813,0.2
2,1,私立高校,2269,0.7,33.4,-,-,-,-,-,-,4210,1.4,4387,1.5,722,0.2,6517,1.4
2,1,私立大学,-,-,-100,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,1,幼児教育費用,3438,1.1,-45.4,2222,0.9,2680,1.1,1938,0.7,6143,2,5309,1.8,3898,1.1,1915,0.4
2,1,民営家賃,14402,4.6,-28.4,16368,6.7,10274,4.1,15009,5.6,12734,4.2,6904,2.4,11213,3.1,28125,6.1
2,1,地代,271,0.1,-67.8,-,-,846,0.3,-,-,-,-,384,0.1,-,-,667,0.1
,,,,,,,,,,,,,,,,,,,
東京都生計分析調査　平成29年11月,,,,,,,,,,,,,,,,,,,
第１２表　勤め先収入７分位階層別１世帯当たり１か月間の公共的料金支出　―勤労者世帯―,,,,,,,,,,,,,,,,,,,
項目（0：世帯数等　1：公共料金等　2：準公共料金等）,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
