実数・増加率,年次・四半期・月次コード,年次・四半期・月次,西暦（年）,月,調査世帯数（世帯）,世帯人員（人）,有業人員（人）,世帯主平均年齢（歳）,実収入（円）,実収入／経常収入（円）,実収入／経常収入／勤め先収入（円）,実収入／経常収入／勤め先収入／世帯主の定期収入（円）,実収入／経常収入／勤め先収入／世帯主の臨時収入・賞与（円）,実収入／経常収入／勤め先収入／配偶者・他の世帯員収入（円）,実収入／経常収入／事業・内職収入（円）,実収入／経常収入／他の経常収入（円）,実収入／特別収入（円）,実収入以外の受取(繰入金を除く)（円）,繰入金（円）,可処分所得（円）,貯蓄純増（円）,平均消費性向（％）,実支出（円）,実支出／生計支出（円）,実支出／生計支出／消費支出（円）,実支出／生計支出／消費支出／食料（円）,実支出／生計支出／消費支出／住居（円）,実支出／生計支出／消費支出／光熱・水道（円）,実支出／生計支出／消費支出／家具・家事用品（円）,実支出／生計支出／消費支出／被服及び履物（円）,実支出／生計支出／消費支出／保健医療（円）,実支出／生計支出／消費支出／交通・通信（円）,実支出／生計支出／消費支出／教育（円）,実支出／生計支出／消費支出／教養娯楽（円）,実支出／生計支出／消費支出／その他の消費支出（円）,実支出／生計支出／土地家屋購入（円）,実支出／その他の実支出（円）,実支出以外の支払(繰越金を除く)（円）,繰越金（円）
jissu,nen,実数_平成25年平均,2013,,384,3.37,1.64,47.1,578628,570606,549846,408351,74067,67428,2811,17949,8022,473520,76044,465083,72068,78.2,500147,386602,363721,83196,33120,22869,11908,18206,14311,47836,27464,40441,64369,22881,113545,564863,63181
jissu,nen,実数_平成26年平均,2014,,361,3.35,1.62,48.4,585636,576120,553922,414967,79231,59724,4654,17544,9516,446197,74365,465913,90951,75.8,476753,357031,353261,83860,29430,22907,13005,18629,13153,46330,25194,41353,59400,3770,119723,567144,62301
jissu,nen,実数_平成27年平均,2015,,373,3.31,1.64,48.5,574733,567024,542219,404193,77147,60879,3756,21049,7709,451924,75434,459901,86788,77,478111,363280,354241,86581,28009,22241,11957,18319,13403,42397,30224,40164,60946,9039,114831,556590,67390
jissu,nen,実数_平成28年平均,2016,,365,3.38,1.68,48.3,605530,599434,572681,412007,80996,79678,5040,21713,6096,440672,100160,483888,112360,73.7,480773,359130,356829,88441,26752,19634,12297,18337,13802,39450,34188,41175,62752,2301,121642,573961,91629
jissu,sihan,実数_平成28年7～9月,2016,7～9,365,3.38,1.69,48.5,572862,568023,547678,409506,58597,79576,5096,15249,4839,420288,110800,461305,104345,74.7,462168,350611,344574,87561,26053,16136,12776,14819,13658,39838,30071,43267,60396,6037,111557,540871,100912
jissu,sihan,実数_平成29年10～12月,2017,10～12,359,3.37,1.66,48.4,697862,687618,652747,419773,153507,79468,5878,28993,10243,446133,92646,568532,184833,63.7,493718,364388,362432,91589,30880,17476,13517,21316,15344,40899,27604,40581,63226,1955,129330,652854,90068
jissu,sihan,実数_平成29年1～3月,2017,1～3,359,3.38,1.65,48.7,525666,515206,493033,"423,966","9,772","59,295","5,491","16,682","10,460","467,311","89,072","428,437","43,316",87.2,"470,816","373,588",373588,"86,193","28,727","24,273","13,127","18,624","13,666","49,190","36,144","40,006","63,637",-,"97,229","535,793","75,439"
jissu,sihan,実数_平成29年4～6月,2017,4～6,362,3.34,1.64,49.2,576376,570739,541873,"396,753","83,733","61,387","2,382","26,484","5,636","488,206","79,850","455,592","67,931",82.8,"522,672","401,888",377347,"87,014","33,396","20,179","10,618","16,606","13,381","46,953","44,264","44,679","60,257","24,541","120,783","556,104","65,655"
jissu,sihan,実数_平成29年7～9月,2017,7～9,340,3.3,1.68,50,544384,541664,524295,"401,689","58,567","64,039","3,396","13,972","2,721","442,663","78,617","440,325","85,373",79.8,"455,241","351,181",351181,"87,446","24,324","18,131","13,344","15,174","14,266","48,217","25,165","44,664","60,450",-,"104,060","546,174","64,250"
jissu,tuki,実数_平成28年11月,2016,11,363,3.36,1.64,48.2,495942,491614,483814,"414,064","11,036","58,713","5,112","2,688","4,327","410,113","80,461","401,101","49,958",84.8,"440,916","346,075",340209,"84,693","32,788","16,306","14,820","21,518","15,776","35,839","19,045","39,794","59,630","5,866","94,841","475,516","70,083"
jissu,tuki,実数_平成28年12月,2016,12,356,3.38,1.66,48.3,1043137,1020590,985178,"425,636","443,431","116,112","5,604","29,808","22,546","489,541","83,275","850,311","422,206",46.9,"591,656","398,830",398830,"101,493","33,834","19,613","13,868","19,803","14,259","43,989","29,721","44,487","77,763",-,"192,826","929,514","94,783"
jissu,tuki,実数_平成29年1月,2017,1,358,3.34,1.66,48.7,517600,505232,497990,"426,169","8,546","63,276","5,487","1,755","12,368","458,129","103,397","419,163","39,313",88.5,"469,200","370,763",370763,"87,183","23,785","22,968","20,050","20,544","12,253","51,692","27,909","40,932","63,446",-,"98,438","529,494","80,431"
jissu,tuki,実数_平成29年2月,2017,2,361,3.4,1.64,48.8,531854,526991,480301,"418,356","2,890","59,055","5,148","41,542","4,863","467,447","83,708","437,706","49,335",83.3,"458,674","364,527",364527,"81,646","31,128","25,796","10,446","12,808","13,663","47,455","52,877","33,332","55,376",-,"94,148","547,334",77000
jissu,tuki,実数_平成29年3月,2017,3,358,3.4,1.64,48.6,527544,513396,500808,"427,374","17,881","55,553","5,839","6,749","14,148","476,356","80,111","428,443","41,300",90,"484,574","385,473",385473,"89,750","31,267","24,056","8,885","22,521","15,082","48,423","27,646","45,753","72,089",-,"99,101","530,552","68,885"
jissu,tuki,実数_平成29年4月,2017,4,367,3.36,1.65,49.1,512393,501832,471191,"405,556","11,661","53,974","2,866","27,774","10,561","561,415","93,940","425,079","3,329",99.9,"585,531","498,218",424595,"87,152","28,244","23,088","9,354","17,601","15,186","42,604","92,054","44,762","64,551","73,623","87,313","509,367",72848
jissu,tuki,実数_平成29年5月,2017,5,362,3.34,1.64,49.1,457636,454243,447236,"388,792","3,869","54,576","2,306","4,700","3,393","472,374","74,020","358,947","-28,589",105.8,"478,396","379,706",379706,"91,258","43,467","19,707","12,169","17,505","12,455","61,306","21,723","39,979","60,136",-,"98,689","468,639","56,994"
jissu,tuki,実数_平成29年6月,2017,6,357,3.33,1.64,49.3,759098,756143,707191,"395,911","235,669","75,611","1,973","46,979","2,955","430,828","71,591","582,749","229,054",56.2,"504,088","327,740",327740,"82,631","28,478","17,741","10,332","14,713","12,502","36,948","19,015","49,297","56,084",-,"176,348","690,307",67122
jissu,tuki,実数_平成29年7月,2017,7,342,3.32,1.63,49.7,611050,608603,600871,"407,683","132,198","60,990","3,514","4,217","2,447","473,179","78,888","493,663","121,509",74.8,"486,664","369,276",369276,"89,138","25,431","17,192","16,439","17,872","15,210","60,924","22,495","44,534","60,042",-,"117,388","613,321",63132
