年次・月次コード,年次・月次,西暦（年）,月,都平均,第1階層,第2階層,第3階層,第4階層,第5階層,第6階層,第7階層
nen,平成22年平均,2010,,22.2,26.4,23.5,22.1,23.8,21.3,20.8,19.9
nen,平成23年平均,2011,,23.6,25.7,27.4,24.7,23.4,23.3,22.3,21.2
nen,平成24年平均,2012,,23,26.5,25.8,24,23.2,23.4,20.7,20.8
nen,平成25年平均,2013,,22.9,25.9,25.1,24.5,23.7,22.9,20.9,20.3
nen,平成26年平均,2014,,23.7,26.5,24.9,25.3,24.4,22.8,22.5,22
nen,平成27年平均,2015,,24.4,30.1,26.5,25.8,24.7,23.8,22.5,21.6
nen,平成28年平均,2016,,24.8,28.9,26.5,26.9,25.6,24.5,23,21.6
tuki,平成28年6月,2016,6,25.7,30,28.6,29.5,26.4,27.3,23.4,21
tuki,平成28年7月,2016,7,25.7,28.8,28.7,28.3,28,26.5,22.8,21.8
tuki,平成28年8月,2016,8,25.7,29.4,27.8,27.1,27.7,24.5,24,23
tuki,平成28年9月,2016,9,24.8,26.1,27.6,27.9,26.8,24.2,22.7,22
tuki,平成28年10月,2016,10,25.4,26.8,27,26.6,27,27.2,26.1,21
tuki,平成28年11月,2016,11,24.9,25.3,26.5,25.5,24.3,26.1,26.7,21.6
tuki,平成28年12月,2016,12,25.4,27.9,23.9,27.6,25.7,24.3,26.9,23.2
tuki,平成29年1月,2017,1,23.5,27.8,25.7,23.5,23.5,27.1,21,20
tuki,平成29年2月,2017,2,22.4,30.7,24.3,23.9,26.4,17,21.7,20
tuki,平成29年3月,2017,3,23.3,30.6,24.7,26.4,20.4,21.6,20.8,23.2
tuki,平成29年4月,2017,4,20.5,22.2,22.4,24,24.9,22.5,17.1,16.5
tuki,平成29年5月,2017,5,24,33.4,15.1,28.1,24.7,26.2,23.1,27
tuki,平成29年6月,2017,6,25.2,27.1,28.1,32.1,24.3,22.6,22.7,24.1
,,,,,,,,,,,
東京都生計分析調査　平成29年6月,,,,,,,,,,,
主要指標５　―勤労者世帯，勤め先収入７分位階層別―,,,,,,,,,,,
エンゲル係数〔＝（食料費÷消費支出）×１００〕,,,,,,,,,,,
