項目,階層,項目名,都平均／実数（円）,都平均／負担率（％）,都平均／対前年同月増加率（％）,第1階層／実数（円）,第1階層／負担率（％）,第2階層／実数（円）,第2階層／負担率（％）,第3階層／実数（円）,第3階層／負担率（％）,第4階層／実数（円）,第4階層／負担率（％）,第5階層／実数（円）,第5階層／負担率（％）,第6階層／実数（円）,第6階層／負担率（％）,第7階層／実数（円）,第7階層／負担率（％）
0,0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
0,0,調査世帯数,733,-,-,103,-,102,-,112,-,111,-,101,-,104,-,100,-
0,0,世帯人員,2.94,-,-,2.47,-,2.67,-,2.83,-,2.91,-,3.18,-,3.41,-,3.11,-
0,0,有業人員,1.23,-,-,0.94,-,0.99,-,1.25,-,1.2,-,1.35,-,1.49,-,1.37,-
0,0,世帯主平均年齢,60.4,-,-,67,-,64.6,-,63,-,61,-,56.4,-,54.2,-,56.8,-
0,0,消費支出,331018,-,8.2,99097,-,164044,-,211393,-,262790,-,323488,-,426940,-,826096,-
0,0,公共的料金,81414,24.6,10.4,24927,25.2,47368,28.9,58103,27.5,70781,26.9,94022,29.1,107276,25.1,166813,20.2
1,0,公共料金等,54069,16.3,10.5,20519,20.7,31775,19.4,41926,19.8,49042,18.7,58922,18.2,68116,16,107782,13
1,1,米,1756,0.5,-1.2,1316,1.3,1449,0.9,2023,1,1612,0.6,1897,0.6,1989,0.5,2004,0.2
1,1,食塩,46,0,-17.9,23,0,44,0,28,0,30,0,88,0,43,0,64,0
1,1,学校給食,870,0.3,0.3,125,0.1,377,0.2,689,0.3,821,0.3,1049,0.3,1667,0.4,1359,0.2
1,1,公営家賃,450,0.1,-61.7,-,-,160,0.1,91,0,469,0.2,1649,0.5,694,0.2,88,0
1,1,電気代,7928,2.4,10.2,5218,5.3,6523,4,7351,3.5,8198,3.1,8277,2.6,10252,2.4,9656,1.2
1,1,都市ガス,3879,1.2,6.1,2430,2.5,3285,2,3766,1.8,3641,1.4,4657,1.4,4340,1,5026,0.6
1,1,上下水道料,5289,1.6,16.4,2571,2.6,4148,2.5,6223,2.9,5286,2,5132,1.6,6614,1.5,7035,0.9
1,1,医科診療代,3111,0.9,-15.5,2059,2.1,1884,1.1,2901,1.4,3211,1.2,3050,0.9,3988,0.9,4668,0.6
1,1,歯科診療代,4837,1.5,265.9,358,0.4,490,0.3,1588,0.8,1224,0.5,1549,0.5,3095,0.7,25445,3.1
1,1,出産入院料,-,-,-100,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,1,他の入院料,795,0.2,-52.8,-,-,-,-,650,0.3,1256,0.5,1177,0.4,841,0.2,1630,0.2
1,1,鉄道運賃,4116,1.2,83.8,346,0.3,1381,0.8,1512,0.7,3152,1.2,4448,1.4,6743,1.6,11177,1.4
1,1,鉄道通学定期代,645,0.2,43.3,-,-,554,0.3,151,0.1,397,0.2,599,0.2,1553,0.4,1261,0.2
1,1,鉄道通勤定期代,1437,0.4,-38.3,25,0,244,0.1,112,0.1,1206,0.5,3225,1,2732,0.6,2502,0.3
1,1,バス代,373,0.1,-18,26,0,99,0.1,288,0.1,626,0.2,145,0,494,0.1,926,0.1
1,1,バス通学定期代,84,0,-54.6,-,-,-,-,-,-,189,0.1,93,0,259,0.1,47,0
1,1,バス通勤定期代,119,0,-61.2,-,-,-,-,-,-,-,-,459,0.1,356,0.1,21,0
1,1,タクシー代,698,0.2,-21.8,381,0.4,213,0.1,558,0.3,589,0.2,963,0.3,707,0.2,1467,0.2
1,1,航空運賃,873,0.3,-9.3,-,-,541,0.3,-,-,-,-,730,0.2,789,0.2,4040,0.5
1,1,郵便料,162,0,-1.2,46,0,79,0,134,0.1,143,0.1,187,0.1,153,0,390,0
1,1,固定電話通信料,1943,0.6,0.1,1297,1.3,1794,1.1,2193,1,1897,0.7,1972,0.6,1807,0.4,2636,0.3
1,1,移動電話通信料,9819,3,9.6,3152,3.2,5472,3.3,7589,3.6,9858,3.8,13585,4.2,13841,3.2,15178,1.8
1,1,ＮＨＫ放送受信料,831,0.3,-2.8,203,0.2,992,0.6,679,0.3,1300,0.5,832,0.3,838,0.2,967,0.1
1,1,ケーブルテレビ放送受信料,1159,0.4,6,613,0.6,620,0.4,1389,0.7,1509,0.6,1218,0.4,1175,0.3,1576,0.2
1,1,他の放送受信料,215,0.1,85.3,27,0,104,0.1,153,0.1,255,0.1,355,0.1,520,0.1,89,0
1,1,国公立小学校,163,0,-56.3,55,0.1,81,0,260,0.1,109,0,36,0,66,0,535,0.1
1,1,国公立中学校,380,0.1,-13.8,-,-,22,0,263,0.1,276,0.1,277,0.1,1427,0.3,392,0
1,1,国公立高校,211,0.1,-40.9,-,-,-,-,405,0.2,-,-,407,0.1,143,0,519,0.1
1,1,国公立大学,761,0.2,...,-,-,-,-,-,-,-,-,-,-,-,-,5305,0.6
1,1,たばこ,1118,0.3,39.9,250,0.3,1218,0.7,931,0.4,1789,0.7,865,0.3,987,0.2,1777,0.2
2,0,準公共料金等,27345,8.3,10.3,4408,4.4,15592,9.5,16177,7.7,21740,8.3,35099,10.9,39160,9.2,59031,7.1
2,1,牛乳,1493,0.5,1.4,1157,1.2,1389,0.8,1534,0.7,1382,0.5,1570,0.5,1707,0.4,1713,0.2
2,1,灯油,17,0,183.3,-,-,-,-,-,-,77,0,-,-,42,0,-,-
2,1,プロパンガス,291,0.1,-20.9,254,0.3,294,0.2,605,0.3,377,0.1,124,0,177,0,208,0
2,1,理髪料,495,0.1,6.9,240,0.2,294,0.2,437,0.2,350,0.1,720,0.2,746,0.2,673,0.1
2,1,パーマネント代,209,0.1,-41.3,188,0.2,249,0.2,294,0.1,472,0.2,72,0,126,0,58,0
2,1,洗濯代,780,0.2,-14.5,139,0.1,216,0.1,252,0.1,635,0.2,848,0.3,920,0.2,2439,0.3
2,1,新聞,2792,0.8,-0.5,2139,2.2,2661,1.6,2980,1.4,2620,1,2760,0.9,2990,0.7,3393,0.4
2,1,私立小学校,-,-,-100,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,1,私立中学校,342,0.1,-75.4,-,-,-,-,-,-,-,-,-,-,39,0,2342,0.3
2,1,私立高校,2522,0.8,147.5,-,-,-,-,-,-,39,0,1454,0.4,3737,0.9,12372,1.5
2,1,私立大学,1979,0.6,...,-,-,-,-,-,-,116,0,298,0.1,221,0.1,13159,1.6
2,1,幼児教育費用,2127,0.6,-8.6,164,0.2,902,0.5,1781,0.8,2790,1.1,3486,1.1,3812,0.9,1940,0.2
2,1,民営家賃,12843,3.9,7.1,-,-,7872,4.8,7569,3.6,12579,4.8,19859,6.1,21519,5,20425,2.5
2,1,地代,1456,0.4,97.3,126,0.1,1715,1,725,0.3,303,0.1,3908,1.2,3125,0.7,308,0
,,,,,,,,,,,,,,,,,,,
東京都生計分析調査　平成29年7月,,,,,,,,,,,,,,,,,,,
第１１表　生計支出７分位階層別１世帯当たり１か月間の公共的料金支出　―全世帯―,,,,,,,,,,,,,,,,,,,
項目（0：世帯数等　1：公共料金等　2：準公共料金等）,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
