項目,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年同月増加率（％）,第1階層／実数（円）,第1階層／構成比（％）,第2階層／実数（円）,第2階層／構成比（％）,第3階層／実数（円）,第3階層／構成比（％）,第4階層／実数（円）,第4階層／構成比（％）,第5階層／実数（円）,第5階層／構成比（％）,第6階層／実数（円）,第6階層／構成比（％）,第7階層／実数（円）,第7階層／構成比（％）
0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
0,調査世帯数,712,-,-,98,-,99,-,105,-,101,-,101,-,107,-,101,-
0,世帯人員,2.9,-,-,2.73,-,2.68,-,2.8,-,2.76,-,2.78,-,3.2,-,3.37,-
0,有業人員,1.31,-,-,1.15,-,1.15,-,1.24,-,1.05,-,1.39,-,1.57,-,1.63,-
0,世帯主平均年齢,60.8,-,-,65.8,-,62.2,-,62.5,-,63.6,-,57.2,-,59.4,-,55.2,-
0,消費支出,360867,100,1.7,131230,100,209703,100,258376,100,305316,100,367096,100,455372,100,795386,100
2,基礎的支出,204192,56.6,2.8,100389,76.5,145276,69.3,175634,68,197863,64.8,220908,60.2,255249,56.1,332822,41.8
3,選択的支出,156675,43.4,0.3,30841,23.5,64427,30.7,82742,32,107453,35.2,146189,39.8,200122,43.9,462564,58.2
1,食料,116711,32.3,5.8,65143,49.6,90123,43,100750,39,118590,38.8,127813,34.8,142980,31.4,171055,21.5
2,基礎的支出,91314,25.3,6.1,57864,44.1,74899,35.7,81876,31.7,96298,31.5,98931,26.9,108611,23.9,120441,15.1
3,選択的支出,25396,7,4.8,7278,5.5,15223,7.3,18874,7.3,22291,7.3,28882,7.9,34369,7.5,50614,6.4
1,住居,20116,5.6,-26.1,2306,1.8,9767,4.7,13033,5,15901,5.2,25718,7,20716,4.5,53080,6.7
2,基礎的支出,17770,4.9,-27.5,2306,1.8,9546,4.6,12094,4.7,15069,4.9,23484,6.4,16896,3.7,44759,5.6
3,選択的支出,2346,0.7,-14.1,-,-,222,0.1,939,0.4,833,0.3,2233,0.6,3820,0.8,8322,1
1,光熱・水道,22267,6.2,9.6,15951,12.2,22085,10.5,22019,8.5,21030,6.9,21766,5.9,24981,5.5,27986,3.5
2,基礎的支出,22267,6.2,9.6,15951,12.2,22085,10.5,22019,8.5,21030,6.9,21766,5.9,24981,5.5,27986,3.5
3,選択的支出,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,家具・家事用品,13984,3.9,-8.7,5235,4,8335,4,11216,4.3,11350,3.7,14971,4.1,22926,5,23736,3
2,基礎的支出,9573,2.7,-1.2,4060,3.1,6802,3.2,8237,3.2,8288,2.7,8840,2.4,15780,3.5,14944,1.9
3,選択的支出,4411,1.2,-21.7,1176,0.9,1534,0.7,2979,1.2,3062,1,6130,1.7,7146,1.6,8792,1.1
1,被服及び履物,17125,4.7,1.9,3856,2.9,5827,2.8,9444,3.7,12931,4.2,16040,4.4,24183,5.3,47357,6
2,基礎的支出,1180,0.3,-9.4,437,0.3,454,0.2,986,0.4,1135,0.4,1052,0.3,2168,0.5,2017,0.3
3,選択的支出,15946,4.4,2.8,3419,2.6,5373,2.6,8457,3.3,11796,3.9,14988,4.1,22015,4.8,45340,5.7
1,保健医療,17642,4.9,17.1,4849,3.7,8724,4.2,14293,5.5,17032,5.6,16719,4.6,26976,5.9,34753,4.4
2,基礎的支出,14885,4.1,29.8,4384,3.3,7245,3.5,13081,5.1,15071,4.9,14326,3.9,23457,5.2,26523,3.3
3,選択的支出,2757,0.8,-23.4,465,0.4,1480,0.7,1212,0.5,1961,0.6,2393,0.7,3519,0.8,8230,1
1,交通・通信,38334,10.6,11.7,9441,7.2,14880,7.1,23156,9,26158,8.6,37301,10.2,43476,9.5,113342,14.2
2,基礎的支出,12660,3.5,2.2,4833,3.7,7219,3.4,10563,4.1,11066,3.6,13355,3.6,16426,3.6,25047,3.1
3,選択的支出,25674,7.1,17,4608,3.5,7661,3.7,12593,4.9,15092,4.9,23946,6.5,27051,5.9,88295,11.1
1,教育,12469,3.5,-22.7,1100,0.8,3035,1.4,4895,1.9,3288,1.1,4953,1.3,7900,1.7,61792,7.8
2,基礎的支出,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,選択的支出,12469,3.5,-22.7,1100,0.8,3035,1.4,4895,1.9,3288,1.1,4953,1.3,7900,1.7,61792,7.8
1,教養娯楽,42560,11.8,3.1,11664,8.9,21962,10.5,26403,10.2,34348,11.2,39072,10.6,55965,12.3,108002,13.6
2,基礎的支出,8026,2.2,-0.1,4505,3.4,5631,2.7,7342,2.8,7325,2.4,8269,2.3,10829,2.4,12238,1.5
3,選択的支出,34533,9.6,3.9,7158,5.5,16330,7.8,19061,7.4,27023,8.9,30802,8.4,45136,9.9,95764,12
1,その他の消費支出,59659,16.5,2.7,11686,8.9,24965,11.9,33166,12.8,44689,14.6,62742,17.1,85269,18.7,154281,19.4
2,基礎的支出,26517,7.3,6.6,6049,4.6,11396,5.4,19436,7.5,22582,7.4,30883,8.4,36102,7.9,58867,7.4
3,選択的支出,33142,9.2,-0.2,5636,4.3,13569,6.5,13730,5.3,22107,7.2,31859,8.7,49167,10.8,95413,12
,,,,,,,,,,,,,,,,,,
東京都生計分析調査　平成29年12月,,,,,,,,,,,,,,,,,,
第１５表　生計支出７分位階層別１世帯当たり１か月間の基礎的・選択的支出　―全世帯―,,,,,,,,,,,,,,,,,,
項目（0：世帯数等　1：品目　2：基礎的支出　3：選択的支出）,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
