教育機関_学校コード,教育機関_学校種,教育機関_都道府県番号,教育機関_設置区分,教育機関_設置者情報,教育機関_本分校,教育機関_本校学校コード,教育機関_本校学校名,教育機関_学校名,教育機関_学校名カナ表記,教育機関_学校略称,教育機関_学校所在地（市区町村）,教育機関_学校所在地（町字）,教育機関_学校所在地（番地以下）,教育機関_郵便番号,教育機関_緯度,教育機関_経度,教育機関_連絡先名称,教育機関_連絡先電話番号,教育機関_属性情報設定年月日,教育機関_属性情報廃止年月日,教育機関_旧学校調査番号,教育機関_移行後の学校コード
C113220900012,C1,13,2,町田市,,,,町田第一中学校,マチダダイイチチュウガッコウ,,町田市,中町1丁目,27-5,1940021,35.55108,139.445976,,(042)722-2420,2020/12/22,,134191,
C113220900021,C1,13,2,町田市,,,,町田第二中学校,マチダダイニチュウガッコウ,,町田市,南大谷１丁目,9-1,1940031,35.549541,139.455328,,(042)722-1101,2020/12/22,,134192,
C113220900030,C1,13,2,町田市,,,,町田第三中学校,マチダダイサンチュウガッコウ,,町田市,本町田,1853,1940032,35.561541,139.432107,,(042)722-6095,2020/12/22,,134197,
C113220900101,C1,13,2,町田市,,,,南大谷中学校,ミナミオオヤチュウガッコウ,,町田市,南大谷６丁目,17-1,1940031,35.550837,139.463419,,(042)723-5567,2020/12/22,,134200,
C113220900049,C1,13,2,町田市,,,,南中学校,ミナミチュウガッコウ,,町田市,金森3丁目,27-1,1940012,35.527009,139.462233,,(042)796-2248,2020/12/22,,134193,
C113220900110,C1,13,2,町田市,,,,つくし野中学校,ツクシノチュウガッコウ,,町田市,南つくし野2丁目,14-2,1940002,35.518569,139.477012,,(042)795-0323,2020/12/22,,134377,
C113220900129,C1,13,2,町田市,,,,成瀬台中学校,ナルセダイチュウガッコウ,,町田市,成瀬台2丁目,5-1,1940043,35.550578,139.476987,,(042)728-6030,2020/12/22,,134383,
C113220900156,C1,13,2,町田市,,,,南成瀬中学校,ミナミナルセチュウガッコウ,,町田市,南成瀬7丁目,7-1,1940045,35.533667,139.482134,,(042)729-3441,2020/12/22,,134391,
C113220900067,C1,13,2,町田市,,,,鶴川中学校,ツルカワチュウガッコウ,,町田市,小野路町,1905-1,1950064,35.593719,139.453777,,(042)735-2405,2020/12/22,,134194,
C113220900094,C1,13,2,町田市,,,,鶴川第二中学校,ツルカワダイニチュウガッコウ,,町田市,鶴川6丁目,4,1950061,35.590065,139.4753,,(042)734-4343,2020/12/22,,134199,
C113220900058,C1,13,2,町田市,,,,薬師中学校,ヤクシチュウガッコウ,,町田市,金井1丁目,20-1,1950072,35.575869,139.44919,,(042)725-5002,2020/12/22,,134198,
C113220900147,C1,13,2,町田市,,,,真光寺中学校,シンコウジチュウガッコウ,,町田市,真光寺3丁目,8-1,1950057,35.597531,139.464621,,(042)734-4605,2020/12/22,,134387,
C113220900192,C1,13,2,町田市,,,,金井中学校,カナイチュウガッコウ,,町田市,金井6丁目,15-1,1950072,35.576438,139.462481,,(042)734-0259,2020/12/22,,134279,
C113220900076,C1,13,2,町田市,,,,忠生中学校,タダオチュウガッコウ,,町田市,忠生3丁目,14-1,1940035,35.578047,139.415613,,(042)791-0821,2020/12/22,,134195,
C113220900138,C1,13,2,町田市,,,,山崎中学校,ヤマサキチュウガッコウ,,町田市,山崎町,1445,1950074,35.577575,139.432181,,(042)793-1021,2020/12/22,,134384,
C113220900174,C1,13,2,町田市,,,,木曽中学校,キソチュウガッコウ,,町田市,木曽西2丁目,4-9,1940037,35.568661,139.413324,,(042)792-3081,2020/12/22,,134398,
C113220900183,C1,13,2,町田市,,,,小山田中学校,オヤマダチュウガッコウ,,町田市,小山田桜台1丁目,12,1940204,35.587547,139.404091,,(042)797-4545,2020/12/22,,134278,
C113220900209,C1,13,2,町田市,,,,小山中学校,オヤマチュウガッコウ,,町田市,小山ヶ丘1丁目,2-4,1940215,35.595217,139.385981,,(042)798-1251,2020/12/22,,134190,
C113220900085,C1,13,2,町田市,,,,堺中学校,サカイチュウガッコウ,,町田市,相原町,752,1940211,35.604624,139.336621,,(042)771-2348,2020/12/22,,134196,
C113220900165,C1,13,2,町田市,,,,小中一貫ゆくのき学園（武蔵岡中学校）,ショウチュウイッカンユクノキガクエン（ムサシオカチュウガッコウ）,,町田市,相原町,3865,1940211,35.609682,139.303062,,(042)782-9155,2020/12/22,,134397,
