教育機関_学校コード,教育機関_学校種,教育機関_都道府県番号,教育機関_設置区分,教育機関_設置者情報,教育機関_本分校,教育機関_本校学校コード,教育機関_本校学校名,教育機関_学校名,教育機関_学校名カナ表記,教育機関_学校略称,教育機関_学校所在地（市区町村）,教育機関_学校所在地（町字）,教育機関_学校所在地（番地以下）,教育機関_郵便番号,教育機関_緯度,教育機関_経度,教育機関_連絡先名称,教育機関_連絡先電話番号,教育機関_属性情報設定年月日,教育機関_属性情報廃止年月日,教育機関_旧学校調査番号,教育機関_移行後の学校コード
B113220900014,B1,13,2,町田市,,,,町田第一小学校,マチダダイイチショウガッコウ,,町田市,中町1丁目,20-30,1940021,35.548047,139.44666,,(042)722-3105,2020/12/22,,131301,
B113220900023,B1,13,2,町田市,,,,町田第二小学校,マチダダイニショウガッコウ,,町田市,原町田4丁目,26-40,1940013,35.54581,139.453012,,(042)722-3316,2020/12/22,,131302,
B113220900032,B1,13,2,町田市,,,,町田第三小学校,マチダダイサンショウガッコウ,,町田市,本町田,1212,1940032,35.564172,139.445943,,(042)722-3329,2020/12/22,,131303,
B113220900041,B1,13,2,町田市,,,,町田第四小学校,マチダダイヨンショウガッコウ,,町田市,森野2丁目,21-28,1940022,35.549898,139.438304,,(042)722-3727,2020/12/22,,131304,
B113220900050,B1,13,2,町田市,,,,町田第五小学校,マチダダイゴショウガッコウ,,町田市,玉川学園4丁目,14-7,1940041,35.564701,139.456834,,(042)725-8178,2020/12/22,,131305,
B113220900069,B1,13,2,町田市,,,,町田第六小学校,マチダダイロクショウガッコウ,,町田市,南大谷７丁目,3-1,1940031,35.54924,139.46054,,(042)722-3659,2020/12/22,,131306,
B113220900238,B1,13,2,町田市,,,,南大谷小学校,ミナミオオヤショウガッコウ,,町田市,南大谷6丁目,16-1,1940031,35.551925,139.463315,,(042)725-2551,2020/12/22,,131329,
B113220900229,B1,13,2,町田市,,,,藤の台小学校,フジノダイショウガッコウ,,町田市,藤の台3丁目,1-1,1950039,35.572722,139.451739,,(042)726-1005,2020/12/22,,131328,
B113220900078,B1,13,2,町田市,,,,本町田東小学校,ホンマチダヒガシショウガッコウ,,町田市,本町田,3350,1940032,35.569578,139.443889,,(042)722-8193,2020/12/22,,131323,
B113220900381,B1,13,2,町田市,,,,本町田小学校,ホンマチダショウガッコウ,,町田市,本町田,2032,1940032,35.56336,139.437043,,(042)721-5561,2020/12/22,,131729,
B113220900087,B1,13,2,町田市,,,,南第一小学校,ミナミダイイチショウガッコウ,,町田市,南町田1丁目,10-1,1940005,35.521826,139.46778,,(042)795-2274,2020/12/22,,131307,
B113220900096,B1,13,2,町田市,,,,南第二小学校,ミナミダイニショウガッコウ,,町田市,成瀬7丁目,11-1,1940044,35.539229,139.478219,,(042)727-0805,2020/12/22,,131308,
B113220900103,B1,13,2,町田市,,,,南第三小学校,ミナミダイサンショウガッコウ,,町田市,金森東1丁目,2-1,1940015,35.536809,139.457904,,(042)722-2663,2020/12/22,,131309,
B113220900112,B1,13,2,町田市,,,,南第四小学校,ミナミダイヨンショウガッコウ,,町田市,金森東3丁目,21-1,1940015,35.5329,139.46644,,(042)796-1326,2020/12/22,,131310,
B113220900210,B1,13,2,町田市,,,,つくし野小学校,ツクシノショウガッコウ,,町田市,つくし野2丁目,21-11,1940001,35.525744,139.482079,,(042)795-3295,2020/12/22,,131326,
B113220900256,B1,13,2,町田市,,,,小川小学校,オガワショウガッコウ,,町田市,小川3丁目,10-1,1940003,35.527129,139.471054,,(042)795-0002,2020/12/22,,131484,
