"職種","職層別現員 係長[人]","職層別現員 主査[人]","職層別現員 主任[人]","職層別現員 主事[人]","職層別現員 校・園長[人]","職層別現員 副校･園長[人]","職層別現員 主幹教諭[人]","職層別現員 主任教諭[人]","職層別現員 教諭[人]","所属別現員 教育委[人]","所属別現員 中学校[人]","所属別現員 小学校[人]","所属別現員 幼稚園[人]","定数外 自治法上派遣[人]","定数外 休職、結核休養[人]","定数外 育休、公務災害休養[人]","定数外 配偶者同行休業[人]"
"事務","0","0","8","5","0","0","0","0","0","0","8","5","0","0","0","2","0"
"Ⅰ自動車運転","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"Ⅱ警備","0","0","3","1","0","0","0","0","0","0","0","4","0","0","0","0","0"
"Ⅱ作業Ⅰ","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"Ⅲ調理","1","0","31","8","0","0","0","0","0","0","3","36","1","0","0","0","0"
"Ⅲ用務","2","0","27","9","0","0","0","0","0","0","10","24","4","0","0","0","0"
"Ⅲ作業Ⅱ","0","0","4","1","0","0","0","0","0","0","0","5","0","0","0","0","0"
"幼稚園教育職員","0","0","0","0","11","5","0","13","45","1","0","0","73","0","0","10","0"
"新指導主事","0","0","0","0","2","1","3","0","0","6","0","0","0","0","0","0","0"
"(2)学校関係計","3","0","75","24","13","6","3","13","45","7","22","75","78","0","0","12","0"

"平成30年度港区行政資料集　学校関係職員（常勤職員）","Ver201804",,,,,,,,,,,,,,,,
