"年月[西暦]","調査項目","設問","選択肢","件数[人]","(全体)[%]","(除不)[%]"
"202003","本人について","Q4. 港区での居住年数は何年くらいですか。（○は１つ）","1年未満","20","1.0","1.0"
"202003","本人について","Q4. 港区での居住年数は何年くらいですか。（○は１つ）","1年以上3年未満","44","2.1","2.2"
"202003","本人について","Q4. 港区での居住年数は何年くらいですか。（○は１つ）","3年以上5年未満","60","2.9","2.9"
"202003","本人について","Q4. 港区での居住年数は何年くらいですか。（○は１つ）","5年以上10年未満","148","7.2","7.3"
"202003","本人について","Q4. 港区での居住年数は何年くらいですか。（○は１つ）","10年以上20年未満","314","15.2","15.4"
"202003","本人について","Q4. 港区での居住年数は何年くらいですか。（○は１つ）","20年以上30年未満","184","8.9","9.0"
"202003","本人について","Q4. 港区での居住年数は何年くらいですか。（○は１つ）","30年以上40年未満","195","9.4","9.6"
"202003","本人について","Q4. 港区での居住年数は何年くらいですか。（○は１つ）","40年以上50年未満","326","15.8","16.0"
"202003","本人について","Q4. 港区での居住年数は何年くらいですか。（○は１つ）","50年以上","750","36.2","36.7"
"202003","本人について","Q4. 港区での居住年数は何年くらいですか。（○は１つ）","無回答","28","1.4",

"港区保健福祉基礎調査（高齢者）・単純集計表・本人についてQ4","Ver202003",,,,,
