"年月[西暦]","収受日","業態","届出種類","施設名称","施設所在地","施設方書","施設電話番号","許可番号","許可開始日","緯度","経度"
"202306","2023/5/15","店舗販売業","新規","ドラッグインキムラヤ新橋日比谷口店","東京都港区新橋二丁目17番35号",,"03-3569-0200","5港み生薬第7号","2023/6/1","35.667339","139.757867"
"202306","2023/5/25","店舗販売業","新規","博厚堂","東京都港区新橋四丁目7番4号","STトミタ","03-3459-8341","5港み生薬第9号","2023/6/16","35.664623","139.755402"
"202308","2023/7/14","店舗販売業","新規","トモズ虎ノ門ヒルズステーションタワー店","東京都港区虎ノ門二丁目6番3号","虎ノ門ヒルズステーションタワー地下1F",,"5港み生薬第19号","2023/8/1","35.666953","139.749203"
"202308","2023/7/26","店舗販売業","新規","どらっぐぱぱす　神谷町店","東京都港区虎ノ門三丁目17番1号","TOKYU REIT虎ノ門ビル1階","03-6435-6923","5港み生薬第20号","2023/8/15","35.664043","139.746454"
"202311","2023/8/10","店舗販売業","新規","薬の志村","東京都港区高輪四丁目5番10号","ランパール高輪2F",,"5港み生薬第21号","2023/11/28","35.627064","139.733170"
"202311","2023/11/9","店舗販売業","新規","漢方保和堂","東京都港区六本木三丁目4番5号","コープ野村六本木2　103室","03-5544-8483","5港み生薬第43号","2023/11/28","35.664680","139.736662"
"202402","2024/1/18","店舗販売業","新規","薬店　フューチャーラボ","東京都港区赤坂八丁目5番32号","田中駒ビル4階","03-6406-8933","5港み生薬第58号","2024/2/6","35.671947","139.726372"
"202402","2024/2/16","店舗販売業","新規","意一堂日本株式会社","東京都港区三田五丁目1番2号",,"03-6441-3750","5港み生薬第63号","2024/2/28","35.648330","139.737441"

"医薬品販売業（店舗販売業）新規許可一覧(令和6年2月29日現在)","Ver202402",,,,,,,,,,
