"年月[西暦]","施設名称","施設所在地","施設方書","施設電話番号","施設開設日","診療科目名称","緯度","経度"
"202110","えいとスポーツ整骨院","東京都港区芝五丁目13番13号","つるやビル6階",,"2021/9/28","柔道整復","35.648956","139.744905"
"202111","ボディセラピー浜松町整骨院","東京都港区浜松町一丁目17番8号","佐藤ビル101","03-6658-5570","2021/11/1","柔道整復","35.658070","139.756312"
"202112","白金ザ・スカイタワー前接骨院","東京都港区白金一丁目10番7号","ウメジム中2階","03-3449-3160","2021/12/20","柔道整復","35.646059","139.733139"
"202112","ＳＳＡＢ（ザブ）整骨院","東京都港区東麻布三丁目8番10号","バーリータワーズ8F 801","03-6230-9479","2021/12/1","柔道整復","35.656485","139.737491"
"202201","ととのい整骨院","東京都港区赤坂二丁目17番46号","グローヴビルB1",,"2022/1/26","柔道整復","35.669498","139.738658"
"202201","乃木坂整骨院","東京都港区南青山一丁目20番15号","Rock1st101",,"2022/1/27","柔道整復","35.667326","139.725823"
"202201","ＬＯＯＰＬＥ（ループル）整骨院南麻布","東京都港区南麻布二丁目5番21号","イデア南麻布1階","03-6435-0625","2022/1/7","柔道整復","35.650020","139.737024"
"202202","麻布ネップス整骨院","東京都港区麻布十番二丁目11番3号","ドエル麻布101","03-6275-1630","2022/2/1","柔道整復","35.654157","139.734527"
"202202","整骨院Ｓｕｇａｒ","東京都港区白金台五丁目5番8号","ISOLETTA4F","03-6277-3218","2022/2/1","柔道整復","35.640429","139.722275"
"202203","太公堂整骨院","東京都港区高輪一丁目27番17号",,"03-3443-2233","2022/3/1","柔道整復","35.637031","139.73333"
"202203","薮下整骨院","東京都港区南青山三丁目12番12号","南青山312ビル604","03-6804-6447","2022/3/14","柔道整復","35.666126","139.713823"

"施術所（柔整）開設一覧(令和4年3月31日現在)","Ver202203",,,,,,,
