"50音","品名","種別","粗大ごみ収集手数料[円]","説明"
"あ","アイロン","粗大ごみ、不燃ごみ","400","最大辺が30cm以上のものは粗大ごみへ"
"あ","アイロン台","粗大ごみ","400",
"あ","アコーディオンカーテン","粗大ごみ","900",
"あ","アルバム（金属付）","不燃ごみ",,
"あ","アルバム（紙製）","可燃ごみ",,
"あ","アルミホイル・アルミ箔","不燃ごみ",,
"あ","アンテナ（BSアンテナ・CSアンテナ等）","粗大ごみ","400",
"あ","雨具（カッパ）","可燃ごみ",,
"あ","油（食用）","可燃ごみ",,"拠点回収もしています。集積所に出すときは、必ず固めてから出してください。"
"あ","油の容器（プラスチック製）","可燃ごみ",,
"あ","油の容器（金属・ガラス製）","不燃ごみ",,
"い","椅子（ソファーを除く。）","粗大ごみ","400",
"い","インクカートリッジ（プリンター用）","可燃ごみ",,"なるべく販売店等の回収ボックスへ"
"い","衣装箱","粗大ごみ","400",
"い","衣類","可燃ごみ、その他",,"再度身に着けることが可能なものに限り、拠点回収もしています。"
"い","衣類乾燥機","不可",,"購入店または、家電リサイクル受付センターへお問い合わせください。"
"い","医療系廃棄物","その他",,"在宅医療に伴い排出される廃棄物は分別してください。注射針については処方した医療機関（病院・診療所）、調剤薬局等へ返却してください。"
"い","一斗缶","不燃ごみ",,"最大辺が30cmを超えていても不燃ごみです。"
"い","入れ歯","その他",,"不要になった入れ歯は、リサイクルし社会福祉に役立てることができます。詳しくは、港区社会福祉協議会へ"
"い","板類一束（ガラス板・鉄板類除く。）","粗大ごみ","400",
"う","ウォシュレット・簡易便座","粗大ごみ","400",
"う","ウッドカーペット（6畳以上のもの）","粗大ごみ","1300",
"う","ウッドカーペット（6畳未満のもの）","粗大ごみ","900",
"う","植木","粗大ごみ","400","土は回収できませんので、必ず取り除いてください。なお、土の処分については、処理業者へお問い合わせください。"
"う","植木鉢・プランター（土を除く。）（プラスチック）","資源プラスチック、粗大ごみ","400","最大辺が30cm以上のものは粗大ごみへ　土は回収できませんので、必ず取り除いてください。なお、土の処分については、処理業者へお問い合わせください。"
"う","植木鉢・プランター（土を除く。）（陶磁器）","不燃ごみ、粗大ごみ","400","最大辺が30cm以上のものは粗大ごみへ　土は回収できませんので、必ず取り除いてください。なお、土の処分については、処理業者へお問い合わせください。"
"う","腕時計","不燃ごみ",,
"え","ＡＣアダプター","不燃ごみ",,"拠点回収もしています。"
"え","エアコン","不可",,"購入店または、家電リサイクル受付センターへお問い合わせください。"
"え","延長コード","不燃ごみ",,"拠点回収もしています。"
"お","ＯＡ用紙（その他の再生可能紙）","資源（ペットボトル・びん・かん・古紙）",,
"お","オーディオ機器（単体のもの。ステレオセット・スピーカーを除く。）","粗大ごみ","400",
"お","オートバイ","不可",,"二輪車リサイクルコールセンターまたは、公益財団法人自動車リサイクル促進センターへお問い合わせください。"
"お","オーブン・オーブンレンジ","粗大ごみ","400",
"お","おもちゃ（プラスチック製）","資源プラスチック、粗大ごみ","400","最大辺が30cm以上のものは粗大ごみへ"
"お","おもちゃ（モーターや電池付）","不燃ごみ、粗大ごみ","400","最大辺が30cm以上のものは粗大ごみへ（電池は抜いて出してください。）"
"お","オルガン・電子ピアノ（アコースティックピアノを除く。）","粗大ごみ","2300",
"お","温風器（電気温風ヒーター）","粗大ごみ","900",
"か","カーテン","粗大ごみ",,"サイズを確認して「敷物・ホットカーペット」としてお申し込みください。"
"か","カーテンレール","粗大ごみ","400",
"か","カーペット","粗大ごみ",,"サイズを確認して「敷物・ホットカーペット」としてお申し込みください。"
"か","カイロ（使い捨て）","不燃ごみ",,
"か","かご（水きりかご、自転車かご等）","粗大ごみ","400",
"か","ガステーブル（ガスこんろ）","粗大ごみ","400",
"か","カセットコンロ（卓上用）","不燃ごみ、粗大ごみ","400","最大辺が30cm以上のものは粗大ごみへ　「カセットボンベ」の捨て方を併せてご確認ください。"
"か","カセットテープ","可燃ごみ",,
"か","カセットボンベ","不燃ごみ",,"できるだけ使い切って中身を空にし、「キケン」と袋に書いて、他の不燃ごみとは別の袋で出してください。"
"か","かばん","粗大ごみ、可燃ごみ","400",
"か","かみそり","不燃ごみ",,"新聞紙等に包んで「キケン」と書いて、他の不燃ごみとは別の袋で出してください。"
"か","カメラ","不燃ごみ",,"デジタルカメラは拠点回収もしています。"
"か","ガラス板（一束）","粗大ごみ","400",
"か","加湿器","粗大ごみ","400",
"か","懐中電灯","不燃ごみ",,"電池は抜いて出してください。"
"か","革製品（かばん 等）","可燃ごみ、粗大ごみ",,"最大辺が30cm以上のものは粗大ごみへ"
"か","楽器類（アコースティックピアノ、オルガン、電子ピアノ、シンセサイザー、ギターを除く）","粗大ごみ","400",
"か","額縁","粗大ごみ","400",
"か","乾燥剤","可燃ごみ",,
