対象局,実地監査期間,対象件数(件),抽出件数(件),対象金額(百万円),抽出金額(百万円)
財務局,R2.10.12～R2.10.16,490,89(18.2%),"417,446","228,527(54.7%)"
オリンピック・パラリンピック準備局,R2.10.8～R2.10.9,62,26(41.9%),"2,222","1,846(83.1%)"
都市整備局,R2.10.7～R2.10.9,160,40(25.0%),"9,362","5,015(53.6%)"
住宅政策本部,R2.9.23～R2.10.6,808,77(9.5%),"154,384","36,878(23.9%)"
環境局,R2.2.18～R2.2.25,119,26(21.8%),"4,612","3,053(66.2%)"
福祉保健局,R2.9.29～R2.9.30,211,24(11.4%),"6,745",875(13.0%)
病院経営本部,R2.9.29～R2.9.30,153,16(10.5%),"6,516","1,896(29.1%)"
産業労働局,R2.2.12～R2.2.25,136,34(25.0%),"2,837","1,519(53.6%)"
中央卸売市場,R2.1.27～R2.1.30,539,78(14.5%),"22,935","11,819(51.5%)"
港湾局,R2.1.31～R2.2.19,957,103(10.8%),"190,047","79,840(42.0%)"
東京消防庁,R2.1.20～R2.1.24,573,89(15.5%),"33,637","18,467(54.9%)"
交通局,R2.1.9～R2.1.17,"1,164",103(8.8%),"223,018","88,535(39.7%)"
水道局,R2.9.8～R2.9.23,"1,958",191(9.8%),"526,313","187,200(35.6%)"
下水道局,R2.8.31～R2.9.30,"2,881",176(6.1%),"673,419","142,399(21.1%)"
教育庁,R2.1.27～R2.2.7,901,73(8.1%),"14,529","4,819(33.2%)"
警視庁,R2.10.1～R2.10.6,"1,114",78(7.0%),"115,287","36,279(31.5%)"
合計,,"12,226","1,223(10.0%)","2,403,315","848,975(35.3%)"
