Ｎｏ．,局,指摘（計画・設計・積算）,指摘（施工）,指摘（その他）,計（件）,意見・要望事項（計画・設計・積算）,意見・要望事項（施工）,意見・要望事項（その他）,計（件）,合計（件）,指摘金額（千円）,
1,財務局,,,,0,,,,0,0,,
2,ｵﾘﾝﾋﾟｯｸ･ﾊﾟﾗﾘﾝﾋﾟｯｸ準備局,1,1,,2,,,,0,2,,
3,都市整備局,,,,0,,,,0,0,,
4,住宅政策本部,,,,0,,,,0,0,,
5,環境局,,,,0,,,,0,0,,
6,福祉保健局,,,1,1,,,,0,1,,
7,病院経営本部,,,,0,,,,0,0,,
8,産業労働局,1,,,1,,1,,1,2,,
9,中央卸売市場,,,,0,,,1,1,1,,
10,港湾局,3,,,3,1,,,1,4,,
11,東京消防庁,2,,,2,,,,0,2,"25,852",
12,交通局,1,,,1,1,,,1,2,"2,713",
13,水道局　,2,1,,3,1,,,1,4,"17,496",
14,下水道局,2,1,1,4,,,1,1,5,"9,471",
15,教育庁,1,1,,2,,,,0,2,"1,699",
16,警視庁,,,,0,,,,0,0,,
合計,,13,4,2,19,3,1,2,6,25,"57,233",
