従業者規模,事業所数／平成29年／実数,事業所数／平成29年／構成比(％),事業所数／平成29年／増減数,事業所数／平成29年／増減率(％),事業所数／平成28年／実数,事業所数／平成28年／構成比(％),従業者数／平成29年／実数(人),従業者数／平成29年／構成比(％),従業者数／平成29年／増減数(人),従業者数／平成29年／増減率(％),従業者数／平成28年／実数(人),従業者数／平成28年／構成比(％),製造品出荷額等／平成29年／実数(万円),製造品出荷額等／平成29年／構成比(％),製造品出荷額等／平成29年／増減数(万円),製造品出荷額等／平成29年／増減率(％),製造品出荷額等／平成28年／実数(万円),製造品出荷額等／平成28年／構成比(％),付加価値額／平成29年／実数(万円),付加価値額／平成29年／構成比(％),付加価値額／平成29年／増減数(万円),付加価値額／平成29年／増減率(％),付加価値額／平成28年／実数(万円),付加価値額／平成28年／構成比(％)
総数,10322,100,-467,-4.3,10789,100,251310,100,-1005,-0.4,252315,100,762831766,100,-15656765,-2,778488531,100,321445700,100,-9063643,-2.7,330509343,100
4～9人,5124,49.6,-380,-6.9,5504,51,30881,12.3,-2223,-6.7,33104,13.1,38663278,5.1,-2308121,-5.6,40971399,5.3,19159423,6,-1215643,-6,20375066,6.2
10～19人,2686,26,-110,-3.9,2796,25.9,36252,14.4,-1623,-4.3,37875,15,65972085,8.6,229678,0.3,65742407,8.4,28373587,8.8,-833224,-2.9,29206811,8.8
20～29人,1107,10.7,-35,-3.1,1142,10.6,26816,10.7,-780,-2.8,27596,10.9,55204893,7.2,-389028,-0.7,55593921,7.1,24503768,7.6,-273459,-1.1,24777227,7.5
30～49人,642,6.2,30,4.9,612,5.7,24882,9.9,1126,4.7,23756,9.4,55869734,7.3,3761078,7.2,52108656,6.7,23632221,7.4,1658875,7.5,21973346,6.6
50～99人,457,4.4,24,5.5,433,4,30753,12.2,1634,5.6,29119,11.5,77461901,10.2,3609382,4.9,73852519,9.5,29976504,9.3,1552371,5.5,28424133,8.6
100～199人,191,1.9,-2,-1,193,1.8,25863,10.3,-303,-1.2,26166,10.4,78252214,10.3,-1328078,-1.7,79580292,10.2,28812791,9,204132,0.7,28608659,8.7
200～299人,42,0.4,4,10.5,38,0.4,10090,4,840,9.1,9250,3.7,28558145,3.7,3171581,12.5,25386564,3.3,9904590,3.1,2275754,29.8,7628836,2.3
300～499人,33,0.3,-1,-2.9,34,0.3,12616,5,-589,-4.5,13205,5.2,36302760,4.8,-11995843,-24.8,48298603,6.2,14274358,4.4,-4280614,-23.1,18554972,5.6
500～999人,20,0.2,-1,-4.8,21,0.2,12704,5.1,-1377,-9.8,14081,5.6,42271923,5.5,-1341533,-3.1,43613456,5.6,14031816,4.4,-1310868,-8.5,15342684,4.6
1000人以上,20,0.2,4,25,16,0.1,40453,16.1,2290,6,38163,15.1,284274833,37.3,-9065881,-3.1,293340714,37.7,128776642,40.1,-6840967,-5,135617609,41
（再掲）4～29人,8917,86.4,-525,-5.6,9442,87.5,93949,37.4,-4626,-4.7,98575,39.1,159840256,21,-2467471,-1.5,162307727,20.8,72036778,22.4,-2322326,-3.1,74359104,22.5
（再掲）30～299人,1332,12.9,56,4.4,1276,11.8,91588,36.4,3297,3.7,88291,35,240141994,31.5,9213963,4,230928031,29.7,92326106,28.7,5691132,6.6,86634974,26.2
（再掲）300～999人,53,0.5,-2,-3.6,55,0.5,25320,10.1,-1966,-7.2,27286,10.8,78574683,10.3,-13337376,-14.5,91912059,11.8,28306174,8.8,-5591482,-16.5,33897656,10.3
（再掲）1000人以上,20,0.2,4,25,16,0.1,40453,16.1,2290,6,38163,15.1,284274833,37.3,-9065881,-3.1,293340714,37.7,128776642,40.1,-6840967,-5,135617609,41
,,,,,,,,,,,,,,,,,,,,,,,,
2018東京の工業　平成30年工業統計調査報告（平成29年実績）,,,,,,,,,,,,,,,,,,,,,,,,
付表2　従業者規模別事業所数、従業者数、製造品出荷額等及び付加価値額（従業者4人以上）,,,,,,,,,,,,,,,,,,,,,,,,
