産業分類階層,産業コード,産業中分類,事業所数,従業者数（送出者を除く）(人),送出者(人),個人業主及び無給家族従業者／実数(人),個人業主及び無給家族従業者／構成比(％),常用労働者数（送出者を含む）／常用雇用者／正社員・正職員等／実数(人),常用労働者数（送出者を含む）／常用雇用者／正社員・正職員等／構成比(％),常用労働者数（送出者を含む）／常用雇用者／パート・アルバイト等／実数(人),常用労働者数（送出者を含む）／常用雇用者／パート・アルバイト等／構成比(％),常用労働者数（送出者を含む）／出向・派遣受入者／実数(人),常用労働者数（送出者を含む）／出向・派遣受入者／構成比(％),臨時雇用者(人)
0,00,総数,10322,251310,3191,409,0.2,187320,73.6,52945,20.8,13827,5.4,1972
1,09,食料品,703,30903,54,45,0.1,12614,40.7,16811,54.3,1487,4.8,775
1,10,飲料・飼料等,42,1172,-,2,0.2,792,67.6,243,20.7,135,11.5,26
1,11,繊維工業,380,4347,3,48,1.1,2814,64.7,1467,33.7,21,0.5,45
1,12,木材・木製品,49,560,-,1,0.2,482,86.1,73,13,4,0.7,10
1,13,家具・装備品,221,3335,93,15,0.4,2781,81.1,428,12.5,204,6,47
1,14,紙・紙加工品,409,5876,36,27,0.5,4388,74.2,1424,24.1,73,1.2,91
1,15,印刷・同関連業,1807,42769,605,33,0.1,35543,81.9,5955,13.7,1843,4.2,294
1,16,化学工業,197,10767,151,2,0,8208,75.2,1492,13.7,1216,11.1,30
1,17,石油・石炭,17,342,-,-,-,275,80.4,39,11.4,28,8.2,-
1,18,プラスチック,600,8077,38,18,0.2,5684,70,2267,27.9,146,1.8,42
1,19,ゴム製品,194,2456,-,17,0.7,1778,72.4,594,24.2,67,2.7,11
1,20,皮革・同製品,236,3663,16,32,0.9,2574,70,1068,29,5,0.1,27
1,21,窯業・土石,182,3720,13,10,0.3,3084,82.6,440,11.8,199,5.3,18
1,22,鉄鋼業,108,2757,5,4,0.1,2431,88,243,8.8,84,3,5
1,23,非鉄金属,121,2503,1,3,0.1,1994,79.6,448,17.9,59,2.4,7
1,24,金属製品,1424,18148,60,55,0.3,14506,79.7,3398,18.7,249,1.4,104
1,25,はん用機械,335,7531,10,9,0.1,6346,84.2,947,12.6,239,3.2,15
1,26,生産用機械,968,16989,71,22,0.1,14284,83.7,2121,12.4,633,3.7,85
1,27,業務用機械,514,13079,207,23,0.2,10548,79.4,2228,16.8,487,3.7,32
1,28,電子・デバイス,270,10124,447,9,0.1,7537,71.3,2246,21.2,779,7.4,71
1,29,電気機械,586,23423,505,7,0,18422,77,3307,13.8,2192,9.2,98
1,30,情報通信機械,120,8057,244,2,0,6786,81.7,643,7.7,870,10.5,58
1,31,輸送用機械,278,21250,572,3,0,16261,74.5,2886,13.2,2672,12.2,18
1,32,その他,561,9462,60,22,0.2,7188,75.5,2177,22.9,135,1.4,63
,,,,,,,,,,,,,,
2018東京の工業　平成30年工業統計調査報告（平成29年実績）,,,,,,,,,,,,,,
付表10　産業中分類、従業者就業形態別従業者数（従業者4人以上）,,,,,,,,,,,,,,
注)構成比は、「従業者数（送出者を除く）」からではなく、「個人業主及び無給家族従業者」、「正社員・正職員等」、「パート・アルバイト等」及び「出向・派遣受入者」の合計から計算している。,,,,,,,,,,,,,,
産業分類階層（0：総数　1：産業中分類）,,,,,,,,,,,,,,
