産業分類階層,産業コード,産業小分類,事業所数,従業者数（送出者を除く）／総数（人）,従業者数（送出者を除く）／うち男（人）,常用労働者／総数（人）,常用労働者／うち男（人）,個人業主及び無給家族従業者（人）,現金給与総額（万円）,原材料使用額等／総額（万円）,原材料使用額等／うち原材料使用額（万円）,原材料使用額等／うち燃料使用額（万円）,原材料使用額等／うち電力使用額（万円）,原材料使用額等／うち委託生産費（万円）,製造品出荷額等／総額（万円）,製造品出荷額等／製造品出荷額（万円）,製造品出荷額等／加工賃収入額（万円）,製造品出荷額等／修理料収入額（万円）,製造品出荷額等／くず・廃物出荷額（万円）,製造品出荷額等／その他の収入額（万円）,付加価値額（万円）,粗付加価値額（万円）
0,000,総数,1405,157361,114178,160196,116745,-,78767188,328096062,252149928,1792026,4191140,44527397,602991510,538567568,18395681,1645821,40107,44342333,249408922,257819864
1,090,食料品製造業,180,24562,11994,24604,12033,-,7948503,35240301,28877182,505635,680330,640851,60476620,55361382,x,x,520,4959869,22163836,23506913
2,091,畜産食料品製造業,16,2234,1389,2234,1389,-,810712,8443333,7613216,120770,139082,2413,12816958,12481952,7037,-,520,327449,3733822,4069174
2,092,水産食料品製造業,7,835,406,835,406,-,281542,1822396,1435467,21204,31793,5076,2685460,2308129,27300,-,-,350031,707658,810870
2,093,野菜缶詰・果実缶詰・農産保存食料品製造業,6,312,143,312,143,-,91859,860655,163416,1870,4141,6682,1060778,323924,962,-,-,735892,180468,186138
2,094,調味料製造業,4,527,269,528,270,-,213541,1171903,1013800,4735,10184,15608,1783848,1585780,14396,-,-,183672,502383,573541
2,095,糖類製造業,1,72,62,76,66,-,x,x,x,x,x,x,x,x,x,-,-,-,x,x
2,096,精穀・製粉業,4,195,168,195,168,-,103736,2486696,2397287,2365,47854,-,3623216,3594798,x,x,-,28355,1017523,1053892
2,097,パン・菓子製造業,66,8315,4386,8317,4388,-,3170272,7619525,6369682,131313,180175,30488,16822426,15715621,34008,-,-,1072797,8193405,8556368
2,098,動植物油脂製造業,3,459,333,479,353,-,x,x,x,x,x,x,x,x,-,-,-,x,x,x
2,099,その他の食料品製造業,73,11613,4838,11628,4850,-,2879561,9830928,7981909,134326,229574,421086,17591448,16174576,37564,-,-,1379308,6909672,7236743
1,100,飲料・たばこ・飼料製造業,8,727,571,727,571,-,376487,5218548,4942096,50483,69154,6878,10246526,9813810,432716,-,-,-,2065665,2409501
