産業分類階層,産業コード,産業中分類,付加価値率／平成29年(％),付加価値率／平成28年(％),付加価値率／増減(ポイント),原材料率／平成29年(％),原材料率／平成28年(％),原材料率／増減(ポイント),在庫率／平成29年(％),在庫率／平成28年(％),在庫率／増減(ポイント)
0,00,総数,42.2,42.6,-0.4,55.5,54.9,0.6,12.8,11.6,1.2
1,09,食料品,37.7,36.1,1.6,60,61.2,-1.2,1.8,1.9,-0.1
1,10,飲料・飼料等,27.2,x,x,68.8,x,x,1.5,x,x
1,11,繊維工業,44.4,41.2,3.2,53.5,56.7,-3.2,10.1,9.7,0.4
1,12,木材・木製品,x,x,x,x,x,x,x,x,x
1,13,家具・装備品,21.4,33.7,-12.3,77.5,64.2,13.3,34.9,24.4,10.5
1,14,紙・紙加工品,31.8,25.4,6.4,65.2,71.7,-6.5,5.5,6.1,-0.6
1,15,印刷・同関連業,49.8,49,0.8,46.5,47.3,-0.8,3.4,3.2,0.2
1,16,化学工業,48.9,48.1,0.8,47.8,48.4,-0.6,8.3,8.8,-0.5
1,17,石油・石炭,x,x,x,x,x,x,x,x,x
1,18,プラスチック,44.6,47.2,-2.6,52.4,49.9,2.5,6.9,7.4,-0.5
1,19,ゴム製品,28.1,40.6,-12.5,62.6,50.9,11.7,14.5,11.2,3.3
1,20,皮革・同製品,46.4,41.3,5.1,52.7,57.1,-4.4,13.2,11.3,1.9
1,21,窯業・土石,47.7,49.1,-1.4,48.9,48,0.9,8.7,10.1,-1.4
1,22,鉄鋼業,25.8,21.1,4.7,71.3,74.3,-3,9.3,10.3,-1
1,23,非鉄金属,28.4,31,-2.6,70,67.2,2.8,12.3,14,-1.7
1,24,金属製品,47.4,47.7,-0.3,49.5,48.9,0.6,8.7,9.1,-0.4
1,25,はん用機械,45,40.2,4.8,53.5,57.4,-3.9,13.7,11.9,1.8
1,26,生産用機械,38.8,38.8,0,58.4,57.8,0.6,15.8,13.7,2.1
1,27,業務用機械,39.2,38.2,1,58.7,59.9,-1.2,16.4,20.8,-4.4
1,28,電子・デバイス,18.8,24.2,-5.4,74.6,68.7,5.9,6,7.9,-1.9
1,29,電気機械,51.7,38.9,12.8,47,59.2,-12.2,25.8,23.5,2.3
1,30,情報通信機械,42.4,44.1,-1.7,56.7,54.2,2.5,19.8,14.3,5.5
1,31,輸送用機械,46.5,51,-4.5,52.2,47.8,4.4,15,12.4,2.6
1,32,その他,37.8,37.6,0.2,60.3,60.5,-0.2,11.7,11.4,0.3
,,,,,,,,,,,
2018東京の工業　平成30年工業統計調査報告（平成29年実績）,,,,,,,,,,,
付表7　産業中分類別付加価値率、原材料率及び在庫率（従業者30人以上）,,,,,,,,,,,
産業分類階層（0：総数　1：産業中分類）,,,,,,,,,,,
