産業分類階層,産業コード,産業細分類,事業所数,従業者数（送出者を除く）／総数（人）,従業者数（送出者を除く）／うち男（人）,常用労働者／総数（人）,常用労働者／うち男（人）,個人業主及び無給家族従業者（人）,現金給与総額（万円）,原材料使用額等（万円）,製造品出荷額等／総額（万円）,製造品出荷額／製造品出荷額（万円）,製造品出荷額／加工賃収入額（万円）,製造品出荷額／修理料収入額（万円）,製造品出荷額／くず・廃物出荷額（万円）,製造品出荷額／その他の収入額（万円）,付加価値額（29人以下は粗付加価値額）（万円）,粗付加価値額（万円）,有形固定資産額（30人以上）／年初現在高（万円）,有形固定資産額（30人以上）／取得額（万円）,有形固定資産額（30人以上）／除却額（万円）,有形固定資産額（30人以上）／減価償却額（万円）
0,0000,総数,10322,251310,177079,254092,179634,409,114874501,410310281,762831766,666267861,42721627,2462715,73347,51306216,321445700,329856642,143364374,19716786,2662754,13411808
1,0900,食料品製造業,703,30903,15267,30912,15279,45,9809930,41770626,71621313,65222339,648576,194,3432,5746772,26437753,27780830,17409769,1773525,362150,1344012
2,0910,畜産食料品製造業,48,2669,1640,2676,1641,-,929801,9100961,13639764,13289404,11985,-,520,337855,3886764,4222116,4611612,233941,40435,311881
3,0911,部分肉・冷凍肉製造業,14,512,312,512,312,-,173866,1365106,1687288,1368511,116,-,-,318661,293749,299127,156679,8157,-,5671
3,0912,肉加工品製造業,13,367,222,367,222,-,104170,364854,614426,600349,32,-,-,14045,226512,231449,76339,5116,220,5305
3,0913,処理牛乳・乳飲料製造業,5,943,676,943,676,-,397153,5869654,9466282,9466115,-,-,-,167,3075755,3346559,3722190,198614,34459,240500
3,0914,乳製品製造業（処理牛乳、乳飲料を除く）,5,619,325,619,325,-,193158,1227987,1469860,1462303,7037,-,520,-,167727,225958,647468,22054,5756,58725
3,0919,その他の畜産食料品製造業,11,228,105,235,106,-,61454,273360,401908,392126,4800,-,-,4982,123021,119023,8936,-,-,1680
2,0920,水産食料品製造業,74,1663,798,1648,790,16,560839,2892991,4385504,3804382,64447,-,-,516675,1290555,1393767,571093,114731,1645,78912
3,0921,水産缶詰・瓶詰製造業,1,5,2,5,2,-,x,x,x,x,-,-,-,-,x,x,-,-,-,-
3,0922,海藻加工業,21,235,103,235,103,-,76064,571066,948396,584856,7809,-,-,355731,351474,349536,2103,1143,-,451
3,0923,水産練製品製造業,5,695,369,695,369,-,251242,1313627,1873995,1855415,-,-,-,18580,432931,530068,473740,112327,1630,77085
3,0924,塩干・塩蔵品製造業,14,116,35,100,26,16,15995,33522,100349,95724,2087,-,-,2538,61885,61885,-,-,-,-
3,0925,冷凍水産物製造業,6,142,77,142,77,-,50365,316440,379131,283676,10742,-,-,84713,58819,58076,648,400,-,157
3,0926,冷凍水産食品製造業,3,41,32,41,32,-,x,x,x,x,-,-,-,x,x,x,-,-,-,-
3,0929,その他の水産食料品製造業,24,429,180,430,181,-,148558,603325,945533,876203,43809,-,-,25521,308512,317268,94602,861,15,1219
2,0930,野菜缶詰・果実缶詰・農産保存食料品製造業,24,523,229,522,228,1,138693,974797,1246367,480422,4017,-,-,761928,246625,252295,202584,8041,134,8997
3,0931,野菜缶詰・果実缶詰・農産保存食料品製造業（野菜漬物を除く）,7,156,98,155,97,1,49819,649606,739934,124285,2496,-,-,613153,83073,84218,108448,3535,-,4390
3,0932,野菜漬物製造業（缶詰、瓶詰、つぼ詰を除く）,17,367,131,367,131,-,88874,325191,506433,356137,1521,-,-,148775,163552,168077,94136,4506,134,4607
2,0940,調味料製造業,26,870,461,871,462,1,335257,1566877,2546380,2222797,39332,-,-,284251,843344,914502,637782,194823,382,73761
3,0941,味そ製造業,3,33,21,32,20,1,x,x,x,x,x,-,-,x,x,x,-,-,-,-
3,0942,しょう油・食用アミノ酸製造業,1,19,6,19,6,-,x,x,x,x,-,-,-,x,x,x,-,-,-,-
3,0943,ソース製造業,7,338,177,338,177,-,111990,843417,1170947,1170947,-,-,-,-,246661,307714,543951,47687,337,60957
3,0949,その他の調味料製造業,15,480,257,482,259,-,203928,663870,1261782,1027127,39248,-,-,195407,546627,556732,93831,147136,45,12804
2,0950,糖類製造業,4,109,86,113,90,-,85259,1010111,1472110,1438061,x,x,x,-,388215,430273,1123421,34758,3656,43914
3,0951,砂糖製造業（砂糖精製業を除く）,1,9,3,9,3,-,x,x,x,x,x,x,x,-,x,x,-,-,-,-
3,0952,砂糖精製業,3,100,83,104,87,-,x,x,x,x,x,-,-,-,x,x,x,x,x,x
2,0960,精穀・製粉業,18,383,305,386,308,-,178224,4071669,5535084,5272086,x,x,-,199334,1320205,1356574,672631,37941,3518,38273
3,0961,精米・精麦業,7,128,102,131,105,-,x,x,x,x,x,-,-,x,x,x,x,x,x,x
3,0962,小麦粉製造業,2,117,101,117,101,-,x,x,x,x,x,x,-,x,x,x,x,x,x,x
3,0969,その他の精穀・製粉業,9,138,102,138,102,-,63610,157562,326226,236075,63348,-,-,26803,154345,156242,98429,629,-,1415
2,0970,パン・菓子製造業,214,10210,5243,10195,5232,17,3696141,8414382,18663158,17347747,161151,-,-,1154260,9162023,9524986,4599918,597609,59457,365440
3,0971,パン製造業,45,5509,3283,5511,3285,-,2263082,5291936,11862854,10909975,99077,-,-,853802,5863602,6106948,2937016,363894,29531,238676
3,0972,生菓子製造業,87,2626,1079,2621,1074,5,792835,1283571,3415728,3369433,4706,-,-,41589,1911122,1983346,1111246,179319,1565,74013
3,0973,ビスケット類・干菓子製造業,24,746,298,743,296,3,225753,444654,954398,894106,10225,-,-,50067,463293,473547,135575,27285,1845,11352
3,0974,米菓製造業,27,373,180,365,175,8,99763,137465,396878,392064,-,-,-,4814,235711,241290,48068,14951,16039,6340
3,0979,その他のパン・菓子製造業,31,956,403,955,402,1,314708,1256756,2033300,1782169,47143,-,-,203988,688295,719855,368013,12160,10477,35059
2,0980,動植物油脂製造業,17,623,470,643,490,-,392406,2540703,3415870,2342722,166916,-,2797,903435,761760,820984,666452,171412,1347,85325
3,0981,動植物油脂製造業（食用油脂加工業を除く）,15,203,171,203,171,-,x,x,x,x,x,-,x,x,x,x,x,x,x,x
3,0982,食用油脂加工業,2,420,299,440,319,-,x,x,x,x,-,-,-,x,x,x,x,x,x,x
2,0990,その他の食料品製造業,278,13853,6035,13858,6038,10,3493310,11198135,20717076,19024718,103015,x,x,1589034,8538262,8865333,4324276,380269,251576,337509
3,0992,めん類製造業,79,1840,1028,1839,1026,2,532599,1021519,2170114,2097396,12064,-,115,60539,1037590,1065431,393865,16345,5910,27893
3,0993,豆腐・油揚製造業,21,264,125,259,121,5,58642,230445,408971,239151,-,-,-,169820,159359,165801,139308,8044,41242,6241
3,0994,あん類製造業,15,114,83,114,83,-,36415,96588,167968,164758,960,x,x,2056,66094,66094,-,-,-,-
3,0995,冷凍調理食品製造業,9,253,100,253,100,-,80214,170831,388903,365214,-,-,-,23689,204390,202148,21604,2901,318,2445
3,0996,そう（惣）菜製造業,36,3621,1554,3626,1558,-,909888,3437552,5677091,5594196,1322,-,-,81573,2025811,2084385,885876,132430,4025,62093
3,0997,すし・弁当・調理パン製造業,40,4710,1745,4714,1749,1,1086990,3709797,6605691,6501789,19866,-,-,84036,2614737,2709569,1201922,117686,3482,94552
3,0999,他に分類されない食料品製造業,78,3051,1400,3053,1401,2,788562,2531403,5298338,4062214,68803,-,-,1167321,2430281,2571905,1681701,102863,196599,144285
1,1000,飲料・たばこ・飼料製造業,42,1172,871,1170,869,2,523010,5503834,10837129,10367764,444551,x,-,x,2323426,2667262,3978369,226616,13907,298362
2,1010,清涼飲料製造業,10,481,393,480,392,1,225304,3745754,4940633,4496796,439837,-,-,4000,898935,1110156,2700910,128773,8738,164160
3,1011,清涼飲料製造業,10,481,393,480,392,1,225304,3745754,4940633,4496796,439837,-,-,4000,898935,1110156,2700910,128773,8738,164160
2,1020,酒類製造業,11,370,271,369,270,1,192812,1509911,5294682,x,301,x,-,14152,1100637,1235439,1199302,94616,5169,130689
3,1022,ビール類製造業,1,160,141,160,141,-,x,x,x,x,-,-,-,-,x,x,x,x,x,x
3,1023,清酒製造業,5,168,103,167,102,1,59670,43929,196916,196615,301,-,-,-,110223,114793,93550,2928,60,4793
3,1024,蒸留酒・混成酒製造業,5,42,27,42,27,-,x,x,x,x,-,x,-,x,x,x,x,x,x,x
2,1030,茶・コーヒー製造業（清涼飲料を除く）,9,111,62,111,62,-,31222,121470,358450,350400,4350,-,-,3700,215727,213540,78157,3227,-,3513
3,1031,製茶業,4,32,13,32,13,-,6336,30393,36944,28894,4350,-,-,3700,6065,6065,-,-,-,-
3,1032,コーヒー製造業,5,79,49,79,49,-,24886,91077,321506,321506,-,-,-,-,209662,207475,78157,3227,-,3513
2,1040,製氷業,3,75,66,75,66,-,32701,60117,111652,x,-,-,-,x,47717,47717,-,-,-,-
3,1041,製氷業,3,75,66,75,66,-,32701,60117,111652,x,-,-,-,x,47717,47717,-,-,-,-
2,1060,飼料・有機質肥料製造業,9,135,79,135,79,-,40971,66582,131712,130255,63,-,-,1394,60410,60410,-,-,-,-
3,1061,配合飼料製造業,6,108,59,108,59,-,35247,58639,111877,110420,63,-,-,1394,49399,49399,-,-,-,-
3,1063,有機質肥料製造業,3,27,20,27,20,-,5724,7943,19835,19835,-,-,-,-,11011,11011,-,-,-,-
1,1100,繊維工業,380,4347,1649,4302,1619,48,1262256,2710501,5154125,3283683,1510902,4816,-,354724,2259016,2274484,594930,71020,78034,24889
2,1110,製糸業、紡績業、化学繊維・ねん糸等製造業,2,22,15,22,15,-,x,x,x,x,x,-,-,-,x,x,-,-,-,-
3,1115,化学繊維紡績業,1,14,12,14,12,-,x,x,x,x,x,-,-,-,x,x,-,-,-,-
3,1116,毛紡績業,1,8,3,8,3,-,x,x,x,x,-,-,-,-,x,x,-,-,-,-
2,1120,織物業,11,124,43,121,42,3,28481,95137,141900,123118,15130,-,-,3652,43300,43300,-,-,-,-
3,1121,綿・スフ織物業,2,11,3,11,3,-,x,x,x,x,x,-,-,-,x,x,-,-,-,-
3,1122,絹・人絹織物業,7,90,24,89,24,1,18470,57586,81516,64616,13248,-,-,3652,22158,22158,-,-,-,-
3,1124,麻織物業,1,9,8,7,7,2,x,x,x,-,x,-,-,-,x,x,-,-,-,-
3,1125,細幅織物業,1,14,8,14,8,-,x,x,x,x,-,-,-,-,x,x,-,-,-,-
2,1130,ニット生地製造業,6,42,17,42,17,-,13704,31188,54830,48437,5999,-,-,394,21892,21892,-,-,-,-
3,1131,丸編ニット生地製造業,3,23,13,23,13,-,9145,21352,35344,33544,1800,-,-,-,12956,12956,-,-,-,-
3,1132,たて編ニット生地製造業,1,10,1,10,1,-,x,x,x,x,x,-,-,x,x,x,-,-,-,-
3,1133,横編ニット生地製造業,2,9,3,9,3,-,x,x,x,x,x,-,-,x,x,x,-,-,-,-
2,1140,染色整理業,37,388,231,383,227,5,121343,118907,334615,58570,259729,-,-,16316,200010,200010,-,-,-,-
3,1141,綿・スフ・麻織物機械染色業,1,10,5,10,5,-,x,x,x,x,x,-,-,x,x,x,-,-,-,-
3,1142,絹・人絹織物機械染色業,1,5,3,5,3,-,x,x,x,-,x,-,-,-,x,x,-,-,-,-
3,1144,織物整理業,2,12,5,12,5,-,x,x,x,x,x,-,-,x,x,x,-,-,-,-
3,1145,織物手加工染色整理業,21,168,90,163,86,5,46789,48085,126073,36487,87280,-,-,2306,72210,72210,-,-,-,-
3,1146,綿状繊維・糸染色整理業,3,39,23,39,23,-,10055,8286,26256,-,26235,-,-,21,16639,16639,-,-,-,-
3,1147,ニット・レース染色整理業,4,78,57,78,57,-,30796,39674,96481,21734,61262,-,-,13485,52881,52881,-,-,-,-
3,1148,繊維雑品染色整理業,5,76,48,76,48,-,28077,19822,68307,-,68307,-,-,-,44893,44893,-,-,-,-
2,1150,綱・網・レース・繊維粗製品製造業,11,137,69,133,67,4,41567,79093,156967,x,x,1800,-,7486,67250,71912,53569,1868,207,4321
3,1151,綱製造業,2,17,5,17,5,-,x,x,x,x,x,x,-,-,x,x,-,-,-,-
3,1155,組ひも製造業,2,21,10,21,10,-,x,x,x,x,-,-,-,-,x,x,-,-,-,-
3,1157,フェルト・不織布製造業,3,64,39,64,39,-,22738,57656,94791,62579,24726,-,-,7486,29529,34191,53569,1868,207,4321
3,1158,上塗りした織物・防水した織物製造業,1,9,3,9,3,-,x,x,x,-,x,x,-,-,x,x,-,-,-,-
3,1159,その他の繊維粗製品製造業,3,26,12,22,10,4,6034,10096,27225,27175,50,-,-,-,15860,15860,-,-,-,-
2,1160,外衣・シャツ製造業（和式を除く）,146,1556,520,1543,512,16,448562,1351705,2358656,1582376,524665,152,-,251463,930614,932957,114005,1286,170,3233
3,1161,織物製成人男子・少年服製造業（不織布製及びレース製を含む）,8,79,47,75,45,4,23161,78722,132761,75234,57527,-,-,-,50037,50037,-,-,-,-
3,1162,織物製成人女子・少女服製造業（不織布製及びレース製を含む）,54,555,131,547,125,8,129407,193636,445702,187960,247436,152,-,10154,232544,233475,18903,-,-,931
3,1163,織物製乳幼児服製造業（不織布製及びレース製を含む）,2,90,18,90,18,-,x,x,x,x,-,-,-,x,x,x,x,x,x,x
3,1164,織物製シャツ製造業（不織布製及びレース製を含み、下着を除く）,5,35,16,35,16,-,x,x,x,x,x,-,-,x,x,x,x,x,x,x
3,1165,織物製事務用・作業用・衛生用・スポーツ用衣服・学校服製造業（不織布製及びレース製を含む）,11,105,48,107,50,-,42805,109583,176823,97956,2638,-,-,76229,62260,62260,-,-,-,-
3,1166,ニット製外衣製造業（アウターシャツ類、セーター類などを除く）,5,66,18,65,17,1,23248,185047,273823,20300,106136,-,-,147387,82390,82390,-,-,-,-
3,1167,ニット製アウターシャツ類製造業,45,490,181,490,181,1,166400,684638,1126019,1039607,85674,-,-,738,407857,408959,75137,585,109,1992
3,1168,セーター類製造業,11,95,40,93,39,2,19020,54427,93507,85143,8364,-,-,-,36183,36183,-,-,-,-
3,1169,その他の外衣・シャツ製造業,5,41,21,41,21,-,9541,14544,45146,31958,12674,-,-,514,28335,28335,-,-,-,-
2,1170,下着類製造業,1,8,2,8,2,-,x,x,x,-,x,-,-,-,x,x,-,-,-,-
3,1171,織物製下着製造業,1,8,2,8,2,-,x,x,x,-,x,-,-,-,x,x,-,-,-,-
2,1180,和装製品・その他の衣服・繊維製身の回り品製造業,60,623,224,617,219,6,164895,328796,630621,344710,265717,-,-,20194,278512,282834,81223,42209,-,2642
3,1181,和装製品製造業（足袋を含む）,24,292,105,291,104,1,85690,144051,319440,146439,163567,-,-,9434,161273,165595,81223,42209,-,2642
3,1182,ネクタイ製造業,7,68,18,68,18,-,14436,34997,63304,43059,20245,-,-,-,26209,26209,-,-,-,-
3,1183,スカーフ・マフラー・ハンカチーフ製造業,3,24,4,24,4,-,4338,2740,9057,1800,7257,-,-,-,5850,5850,-,-,-,-
3,1184,靴下製造業,2,11,5,11,5,-,x,x,x,x,x,-,-,-,x,x,-,-,-,-
3,1185,手袋製造業,1,4,2,1,-,3,x,x,x,x,x,-,-,-,x,x,-,-,-,-
3,1186,帽子製造業（帽体を含む）,11,113,52,113,52,-,37462,95764,143788,113913,22225,-,-,7650,44635,44635,-,-,-,-
3,1189,他に分類されない衣服・繊維製身の回り品製造業,12,111,38,109,36,2,20834,43751,83115,27812,52193,-,-,3110,36449,36449,-,-,-,-
2,1190,その他の繊維製品製造業,106,1447,528,1433,518,14,435146,691914,1461312,993409,409820,2864,-,55219,716084,720225,346133,25657,77657,14693
3,1191,寝具製造業,4,28,15,28,15,-,7634,20473,33870,25666,4066,-,-,4138,12404,12404,-,-,-,-
3,1193,じゅうたん・その他の繊維製床敷物製造業,1,4,4,4,4,-,x,x,x,x,-,-,-,x,x,x,-,-,-,-
3,1194,帆布製品製造業,18,125,80,119,76,6,41531,46416,124025,97583,23202,-,-,3240,71860,71860,-,-,-,-
3,1195,繊維製袋製造業,4,34,6,33,5,1,x,x,x,x,x,-,-,x,x,x,x,x,-,x
3,1196,刺しゅう業,30,262,78,260,76,2,71206,75371,216504,72093,137307,224,-,6880,130680,130680,-,-,-,-
3,1197,タオル製造業,1,159,45,159,45,-,x,x,x,x,-,-,-,-,x,x,x,x,-,x
3,1198,繊維製衛生材料製造業,5,208,91,208,91,-,75755,81622,158004,154004,4000,-,-,-,63568,71328,156795,24956,77616,7484
3,1199,他に分類されない繊維製品製造業,43,627,209,622,206,5,194045,347974,772997,497447,234955,2640,-,37955,401485,400743,30381,-,41,1475
1,1200,木材・木製品製造業（家具を除く）,49,560,448,559,447,1,219802,525933,1065941,1003790,41654,-,-,20497,474623,500795,x,x,x,x
2,1210,製材業、木製品製造業,20,181,142,180,141,1,63651,119035,238669,213578,19491,-,-,5600,110774,110774,-,-,-,-
3,1211,一般製材業,17,157,125,156,124,1,56964,93557,200955,x,x,-,-,5600,99444,99444,-,-,-,-
3,1212,単板（ベニヤ）製造業,1,4,2,4,2,-,x,x,x,x,x,-,-,-,x,x,-,-,-,-
3,1213,木材チップ製造業,1,8,6,8,6,-,x,x,x,x,-,-,-,-,x,x,-,-,-,-
3,1219,その他の特殊製材業,1,12,9,12,9,-,x,x,x,x,-,-,-,-,x,x,-,-,-,-
2,1220,造作材・合板・建築用組立材料製造業,12,218,186,218,186,-,96939,286480,593391,563962,20746,-,-,8683,258789,284961,x,x,x,x
3,1221,造作材製造業（建具を除く）,8,122,101,122,101,-,58557,127359,214075,194719,10673,-,-,8683,80079,80280,20123,245,-,201
3,1222,合板製造業,2,20,18,20,18,-,x,x,x,x,x,-,-,-,x,x,-,-,-,-
3,1225,パーティクルボード製造業,1,71,64,71,64,-,x,x,x,x,-,-,-,-,x,x,x,x,x,x
3,1227,銘木製造業,1,5,3,5,3,-,x,x,x,x,x,-,-,-,x,x,-,-,-,-
2,1230,木製容器製造業（竹、とうを含む）,7,69,51,69,51,-,19496,80987,140626,134744,1417,-,-,4465,55222,55222,-,-,-,-
3,1232,木箱製造業,7,69,51,69,51,-,19496,80987,140626,134744,1417,-,-,4465,55222,55222,-,-,-,-
2,1290,その他の木製品製造業(竹、とうを含む),10,92,69,92,69,-,39716,39431,93255,91506,-,-,-,1749,49838,49838,-,-,-,-
3,1299,他に分類されない木製品製造業(竹、とうを含む),10,92,69,92,69,-,39716,39431,93255,91506,-,-,-,1749,49838,49838,-,-,-,-
1,1300,家具・装備品製造業,221,3335,2457,3413,2518,15,1675177,7420592,9773452,8696743,365785,37040,9,673875,2957633,2493868,1402173,122312,59617,93529
2,1310,家具製造業,125,2314,1728,2395,1792,11,1250203,6576573,7964635,6986307,312053,36736,9,629530,2074049,1600339,1076043,71144,45130,83238
3,1311,木製家具製造業（漆塗りを除く）,101,898,673,888,666,11,362936,699691,1426537,974422,162226,10764,-,279125,672992,672858,180729,1955,-,2997
3,1312,金属製家具製造業,23,1341,994,1432,1065,-,x,x,x,x,x,x,x,x,x,x,x,x,x,x
3,1313,マットレス・組スプリング製造業,1,75,61,75,61,-,x,x,x,x,-,-,-,-,x,x,x,x,x,x
2,1320,宗教用具製造業,10,100,71,99,70,1,37119,41746,95029,86780,4868,-,-,3381,47840,48668,61479,-,-,518
3,1321,宗教用具製造業,10,100,71,99,70,1,37119,41746,95029,86780,4868,-,-,3381,47840,48668,61479,-,-,518
2,1330,建具製造業,27,171,132,171,132,-,57512,139064,254883,237903,12194,285,-,4501,107239,107239,-,-,-,-
3,1331,建具製造業,27,171,132,171,132,-,57512,139064,254883,237903,12194,285,-,4501,107239,107239,-,-,-,-
2,1390,その他の家具・装備品製造業,59,750,526,748,524,3,330343,663209,1458905,1385753,36670,19,-,36463,728505,737622,264651,51168,14487,9773
3,1391,事務所用・店舗用装備品製造業,38,562,413,560,411,3,271547,566839,1227816,1177446,20939,8,-,29423,603764,612881,264651,51168,14487,9773
3,1392,窓用・扉用日よけ、日本びょうぶ等製造業,4,34,10,34,10,-,7885,6829,17956,16216,1740,-,-,-,10303,10303,-,-,-,-
3,1393,鏡縁・額縁製造業,12,94,61,94,61,-,29836,43399,98439,77397,13991,11,-,7040,50963,50963,-,-,-,-
3,1399,他に分類されない家具・装備品製造業,5,60,42,60,42,-,21075,46142,114694,114694,-,-,-,-,63475,63475,-,-,-,-
1,1400,パルプ・紙・紙加工品製造業,409,5876,3870,5885,3886,27,2279337,8010837,13569405,10292685,1104553,-,6271,2165896,4985410,5191767,x,x,x,x
2,1410,パルプ製造業,1,19,19,19,19,-,x,x,x,x,-,-,-,-,x,x,-,-,-,-
3,1411,パルプ製造業,1,19,19,19,19,-,x,x,x,x,-,-,-,-,x,x,-,-,-,-
2,1420,紙製造業,4,125,103,142,118,-,77001,596851,1115955,1055785,37867,-,-,22303,422727,484722,634790,26112,1020,71103
3,1422,板紙製造業,4,125,103,142,118,-,77001,596851,1115955,1055785,37867,-,-,22303,422727,484722,634790,26112,1020,71103
2,1430,加工紙製造業,9,343,275,343,275,-,189378,587218,1029693,951333,24498,-,106,53756,418513,410297,95469,7821,16,15489
3,1431,塗工紙製造業（印刷用紙を除く）,7,304,259,304,259,-,x,x,x,x,x,-,x,x,x,x,x,x,x,x
3,1432,段ボール製造業,2,39,16,39,16,-,x,x,x,x,-,-,-,x,x,x,-,-,-,-
2,1440,紙製品製造業,107,1626,1015,1622,1012,4,629284,1914627,3315648,2490678,329725,-,560,494685,1271719,1302479,470128,67355,6968,31568
3,1441,事務用・学用紙製品製造業,50,930,626,929,625,1,383078,1408906,2319720,1698981,129949,-,346,490444,824613,847688,371354,55778,6913,22278
3,1442,日用紙製品製造業,9,113,36,113,36,-,29723,34740,85833,82304,3529,-,-,-,47342,47342,-,-,-,-
3,1449,その他の紙製品製造業,48,583,353,580,351,3,216483,470981,910095,709393,196247,-,214,4241,399764,407449,98774,11577,55,9290
