地域階層,地域コード,地域,産業分類階層,産業コード,産業中分類,事業所数,生産額（万円）,在庫額／製造品／年初（万円）,在庫額／製造品／年末（万円）,在庫額／半製品及び仕掛品／年初（万円）,在庫額／半製品及び仕掛品／年末（万円）,在庫額／原材料及び燃料／年初（万円）,在庫額／原材料及び燃料／年末（万円）,有形固定資産額／年初現在高／土地（万円）,有形固定資産額／年初現在高／土地以外（万円）,有形固定資産額／取得額／土地（万円）,有形固定資産額／取得額／土地以外／総計（万円）,有形固定資産額／取得額／土地以外／建物等（万円）,有形固定資産額／取得額／土地以外／機械等（万円）,有形固定資産額／取得額／土地以外／備品等（万円）,有形固定資産額／除却額／土地（万円）,有形固定資産額／除却額／土地以外（万円）,有形固定資産額／減価償却額（万円）,有形固定資産額／建設仮勘定／増（万円）,有形固定資産額／建設仮勘定／減（万円）,有形固定資産額／建設仮勘定／差引増減（万円）,有形固定資産額／投資総額（万円）
0,13000,東京都,0,00,総数,1405,561964115,17511819,16839878,47164386,52837193,20966483,20438951,55590676,87773698,1462401,18254385,6403595,7708672,4142118,946450,1716304,13411808,8946794,8501401,445393,20162179
0,13000,東京都,1,09,食料品製造業,180,55517166,681883,731673,259931,211076,1352993,1340650,6184846,11224923,204740,1568785,484641,954931,129213,202032,160118,1344012,748657,661365,87292,1860817
0,13000,東京都,1,10,飲料・たばこ・飼料製造業,8,10201052,113886,68396,46219,46235,444694,302392,1702641,2275728,3228,223388,101434,104842,17112,-,13907,298362,191496,201704,-10208,216408
0,13000,東京都,1,11,繊維工業,18,1154452,65821,73996,37123,38369,42765,36195,325727,269203,21355,49665,40937,7444,1284,72000,6034,24889,1978,-,1978,72998
0,13000,東京都,1,12,木材・木製品製造業（家具を除く）,2,x,x,x,x,x,x,x,x,x,-,x,x,x,x,-,x,x,-,-,-,x
0,13000,東京都,1,13,家具・装備品製造業,16,7340818,110035,167819,1974095,2473605,1390565,1188616,726122,676051,38188,84124,23091,7758,53275,-,59617,93529,8045,2865,5180,127492
0,13000,東京都,1,14,パルプ・紙・紙加工品製造業,35,6374637,241716,273273,61493,64908,132479,150535,715032,1731811,9512,301457,47580,236886,16991,9206,15428,241329,x,x,x,x
0,13000,東京都,1,15,印刷・同関連業,298,51551204,445893,441725,1199472,1265283,386141,379114,15103501,12753259,x,1550209,281072,1068795,200342,131929,293081,1887706,550810,511975,38835,x
0,13000,東京都,1,16,化学工業,62,30149225,1069936,1177450,1256315,1227659,1405679,1406911,5657966,9491016,19740,865409,330320,286165,248924,15500,159538,1017344,465918,417505,48413,933562
0,13000,東京都,1,17,石油製品・石炭製品製造業,2,x,x,x,x,x,x,x,x,x,-,x,x,x,x,-,x,x,-,-,-,x
