地域階層,地域コード,地域,産業分類階層,産業コード,産業中分類,事業所数,従業者数（送出者を除く）／総数（人）,従業者数（送出者を除く）／うち男（人）,個人業主及び無給家族従業者／総数（人）,個人業主及び無給家族従業者／うち男（人）,常用労働者／常用雇用者／正社員・正職員等／総数（人）,常用労働者／常用雇用者／正社員・正職員等／うち男（人）,常用労働者／常用雇用者／パート・アルバイト等／総数（人）,常用労働者／常用雇用者／パート・アルバイト等／うち男（人）,常用労働者／出向・派遣受入者／総数（人）,常用労働者／出向・派遣受入者／うち男（人）,臨時雇用者／総数（人）,臨時雇用者／うち男（人）,現金給与総額（万円）,原材料使用額等／総額（万円）,原材料使用額等／うち原材料使用額（万円）,原材料使用額等／うち燃料使用額（万円）,原材料使用額等／うち電力使用額（万円）,原材料使用額等／うち委託生産費（万円）,製造品出荷額等／総額（万円）,製造品出荷額等／製造品出荷額（万円）,製造品出荷額等／加工賃収入額（万円）,製造品出荷額等／修理料収入額（万円）,製造品出荷額等／くず・廃物出荷額（万円）,製造品出荷額等／その他の収入額（万円）,付加価値額（万円）,粗付加価値額（万円）
0,13000,東京都,0,00,総数,1405,157361,114178,-,-,114935,94948,32350,12991,12911,8806,1140,505,78767188,328096062,252149928,1792026,4191140,44527397,602991510,538567568,18395681,1645821,40107,44342333,249408922,257819864
0,13000,東京都,1,09,食料品製造業,180,24562,11994,-,-,9080,6714,14086,4594,1438,725,675,307,7948503,35240301,28877182,505635,680330,640851,60476620,55361382,154849,-,520,4959869,22163836,23506913
0,13000,東京都,1,10,飲料・たばこ・飼料製造業,8,727,571,-,-,478,423,120,40,129,108,1,1,376487,5218548,4942096,50483,69154,6878,10246526,9813810,432716,-,-,-,2065665,2409501
0,13000,東京都,1,11,繊維工業,18,1023,342,-,-,655,309,361,32,7,1,-,-,327993,606222,384382,2355,7012,202261,1162395,921617,223414,-,-,17364,503012,518480
0,13000,東京都,1,12,木材・木製品製造業（家具を除く）,2,121,105,-,-,114,99,3,3,4,3,9,9,x,x,x,x,x,-,x,x,-,-,-,-,x,x
0,13000,東京都,1,13,家具・装備品製造業,16,1688,1262,-,-,1399,1130,184,96,197,107,28,27,1034540,6316879,1884801,3404,9792,4005661,7356467,6639280,144244,25247,-,547696,1741629,1277864
0,13000,東京都,1,14,パルプ・紙・紙加工品製造業,35,2063,1528,-,-,1611,1351,432,175,40,20,25,3,1025871,5223686,3114611,120289,137665,359141,8149038,6248782,90883,-,5475,1803898,2543625,2749982
0,13000,東京都,1,15,印刷・同関連業,298,27194,19971,-,-,22369,17958,3568,1637,1717,773,171,60,14030559,23511538,8539268,123898,758004,12142918,52533955,42659860,8829701,-,29499,1014895,25196862,27022925
0,13000,東京都,1,16,化学工業,62,9001,5456,-,-,6843,4703,1139,299,1152,579,20,5,5079817,14619391,12480716,48592,180122,818691,31538469,29578557,491810,28328,1,1439773,14961173,15899659
0,13000,東京都,1,17,石油製品・石炭製品製造業,2,100,88,-,-,93,85,5,2,2,1,-,-,x,x,x,x,x,-,x,x,x,-,-,x,x,x
