産業分類階層,産業コード,産業中分類,従業者規模階層,従業者規模コード,従業者規模,事業所数,敷地面積（m2）,総用水量（m3／日）,淡水水源別用水量／公共水道／工業用水道（m3／日）,淡水水源別用水量／公共水道／上水道（m3／日）,淡水水源別用水量／井戸水（m3／日）,淡水水源別用水量／その他の淡水（m3／日）,海水用水量（m3／日）
0,00,総数,0,00,総数,1405,10893125,110517,13050,31369,42363,23735,-
0,00,総数,1,01,30～49人,642,1183706,12493,635,10219,1496,143,-
0,00,総数,1,02,50～99人,457,1941731,36307,3217,7468,2213,23409,-
0,00,総数,1,03,100～199人,191,1985062,22221,4071,4467,13671,12,-
0,00,総数,1,04,200～299人,42,864333,5167,91,2169,2888,19,-
0,00,総数,1,05,300～499人,33,593179,7797,1780,2999,3013,5,-
0,00,総数,1,06,500～999人,20,743526,14583,2168,2704,9564,147,-
0,00,総数,1,07,1000人以上,20,3581588,11949,1088,1343,9518,-,-
1,09,食料品製造業,0,00,総数,180,1037790,34386,3986,12510,17889,1,-
1,09,食料品製造業,1,01,30～49人,60,103197,4132,41,3265,826,-,-
1,09,食料品製造業,1,02,50～99人,56,189060,4679,1529,2377,772,1,-
1,09,食料品製造業,1,03,100～199人,32,232628,7248,2144,1755,3349,-,-
1,09,食料品製造業,1,04,200～299人,9,123846,2717,-,728,1989,-,-
1,09,食料品製造業,1,05,300～499人,16,131275,4398,272,2218,1908,-,-
1,09,食料品製造業,1,06,500～999人,5,x,x,-,x,x,-,-
1,09,食料品製造業,1,07,1000人以上,2,x,x,-,x,x,-,-
1,10,飲料・たばこ・飼料製造業,0,00,総数,8,208145,9652,-,321,9331,-,-
1,10,飲料・たばこ・飼料製造業,1,01,30～49人,2,x,x,-,x,-,-,-
1,10,飲料・たばこ・飼料製造業,1,02,50～99人,3,x,x,-,x,x,-,-
1,10,飲料・たばこ・飼料製造業,1,03,100～199人,3,190042,8925,-,21,8904,-,-
1,11,繊維工業,0,00,総数,18,40170,72,-,62,3,7,-
1,11,繊維工業,1,01,30～49人,9,13835,39,-,29,3,7,-
1,11,繊維工業,1,02,50～99人,7,x,x,-,x,-,-,-
1,11,繊維工業,1,03,100～199人,2,x,x,-,x,-,-,-
1,12,木材・木製品製造業（家具を除く）,0,00,総数,2,x,x,-,x,-,-,-
1,12,木材・木製品製造業（家具を除く）,1,02,50～99人,2,x,x,-,x,-,-,-
1,13,家具・装備品製造業,0,00,総数,16,75125,97,1,89,7,-,-
1,13,家具・装備品製造業,1,01,30～49人,10,16720,26,1,20,5,-,-
1,13,家具・装備品製造業,1,02,50～99人,4,x,x,-,x,x,-,-
1,13,家具・装備品製造業,1,03,100～199人,1,x,x,-,x,x,-,-
1,13,家具・装備品製造業,1,06,500～999人,1,x,x,-,x,-,-,-
1,14,パルプ・紙・紙加工品製造業,0,00,総数,35,262533,24137,28,709,83,23317,-
1,14,パルプ・紙・紙加工品製造業,1,01,30～49人,21,41920,498,-,476,22,-,-
1,14,パルプ・紙・紙加工品製造業,1,02,50～99人,11,172592,23520,-,157,46,23317,-
1,14,パルプ・紙・紙加工品製造業,1,03,100～199人,3,48021,119,28,76,15,-,-
1,15,印刷・同関連業,0,00,総数,298,896160,4370,606,3640,90,34,-
1,15,印刷・同関連業,1,01,30～49人,136,173422,1508,100,1398,5,5,-
1,15,印刷・同関連業,1,02,50～99人,106,290740,962,180,780,-,2,-
1,15,印刷・同関連業,1,03,100～199人,41,146629,726,54,663,9,-,-
1,15,印刷・同関連業,1,04,200～299人,5,23025,108,-,108,-,-,-
1,15,印刷・同関連業,1,05,300～499人,4,x,x,x,x,x,x,-
1,15,印刷・同関連業,1,06,500～999人,2,x,x,x,x,-,x,-
1,15,印刷・同関連業,1,07,1000人以上,4,126589,494,143,342,9,-,-
1,16,化学工業,0,00,総数,62,528866,5469,2110,x,886,x,-
1,16,化学工業,1,01,30～49人,21,95864,755,58,286,411,-,-
1,16,化学工業,1,02,50～99人,22,87395,1718,1192,x,111,x,-
1,16,化学工業,1,03,100～199人,10,100771,456,26,409,21,-,-
1,16,化学工業,1,04,200～299人,4,53932,520,-,500,20,-,-
1,16,化学工業,1,05,300～499人,3,x,x,x,x,x,x,-
1,16,化学工業,1,06,500～999人,1,x,x,x,x,-,x,-
1,16,化学工業,1,07,1000人以上,1,x,x,x,x,-,-,-
1,17,石油製品・石炭製品製造業,0,00,総数,2,x,x,-,x,-,x,-
1,17,石油製品・石炭製品製造業,1,01,30～49人,1,x,x,-,x,-,-,-
1,17,石油製品・石炭製品製造業,1,02,50～99人,1,x,x,-,x,-,x,-
1,18,プラスチック製品製造業（別掲を除く）,0,00,総数,37,145541,554,39,502,12,1,-
1,18,プラスチック製品製造業（別掲を除く）,1,01,30～49人,19,58898,158,39,116,2,1,-
1,18,プラスチック製品製造業（別掲を除く）,1,02,50～99人,16,x,x,-,x,x,-,-
1,18,プラスチック製品製造業（別掲を除く）,1,03,100～199人,2,x,x,-,x,-,-,-
1,19,ゴム製品製造業,0,00,総数,8,344338,259,50,153,56,-,-
1,19,ゴム製品製造業,1,01,30～49人,4,8940,68,50,18,-,-,-
1,19,ゴム製品製造業,1,02,50～99人,3,x,x,-,x,x,-,-
