産業分類階層,産業コード,産業中分類,事業所数／平成29年／実数,事業所数／平成29年／構成比(％),事業所数／平成29年／増減数,事業所数／平成29年／増減率（％）,事業所数／平成28年／実数,事業所数／平成28年／構成比（％）,従業者数／平成29年／実数(人),従業者数／平成29年／構成比(％),従業者数／平成29年／増減数（人),従業者数／平成29年／増減率（％）,従業者数／平成28年／実数(人),従業者数／平成28年／構成比(％),製造品出荷額等／平成29年／実数(万円),製造品出荷額等／平成29年／構成比(％),製造品出荷額等／平成29年／増減数(万円),製造品出荷額等／平成29年／増減率(％),製造品出荷額等／平成28年／実数(万円),製造品出荷額等／平成28年／構成比（％）,付加価値額／平成29年／実数(万円),付加価値額／平成29年／構成比（％）,付加価値額／平成29年／増減数(万円),付加価値額／平成29年／増減率（％）,付加価値額／平成28年／実数(万円),付加価値額／平成28年／構成比(％)
0,00,総数,10322,100,-467,-4.3,10789,100,251310,100,-1005,-0.4,252315,100,762831766,100,-15656765,-2,778488531,100,321445700,100,-9063643,-2.7,330509343,100
1,09,食料品,703,6.8,-26,-3.6,729,6.8,30903,12.3,1293,4.4,29610,11.7,71621313,9.4,-637177,-0.9,72258490,9.3,26437753,8.2,539209,2.1,25898544,7.8
1,10,飲料・飼料等,42,0.4,-3,-6.7,45,0.4,1172,0.5,-26,-2.2,1198,0.5,10837129,1.4,-227384,-2.1,11064513,1.4,2323426,0.7,-83357,-3.5,2406783,0.7
1,11,繊維工業,380,3.7,-36,-8.7,416,3.9,4347,1.7,-263,-5.7,4610,1.8,5154125,0.7,-121247,-2.3,5275372,0.7,2259016,0.7,-126002,-5.3,2385018,0.7
1,12,木材・木製品,49,0.5,-10,-16.9,59,0.5,560,0.2,-28,-4.8,588,0.2,1065941,0.1,217250,25.6,848691,0.1,474623,0.1,70884,17.6,403739,0.1
1,13,家具・装備品,221,2.1,-14,-6,235,2.2,3335,1.3,-104,-3,3439,1.4,9773452,1.3,-1177915,-10.8,10951367,1.4,2957633,0.9,-1362423,-31.5,4320056,1.3
1,14,紙・紙加工品,409,4,-19,-4.4,428,4,5876,2.3,-355,-5.7,6231,2.5,13569405,1.8,48873,0.4,13520532,1.7,4985410,1.6,483473,10.7,4501937,1.4
1,15,印刷・同関連業,1807,17.5,-83,-4.4,1890,17.5,42769,17,319,0.8,42450,16.8,77096447,10.1,-289530,-0.4,77385977,9.9,36937863,11.5,-193107,-0.5,37130970,11.2
1,16,化学工業,197,1.9,-3,-1.5,200,1.9,10767,4.3,71,0.7,10696,4.2,36096772,4.7,-1474660,-3.9,37571432,4.8,16857896,5.2,23127,0.1,16834769,5.1
1,17,石油・石炭,17,0.2,0,0,17,0.2,342,0.1,5,1.5,337,0.1,3376643,0.4,401773,13.5,2974870,0.4,1242875,0.4,306719,32.8,936156,0.3
