産業分類階層,産業コード,産業中分類,従業者規模階層,従業者規模コード,従業者規模,事業所数,従業者数（送出者を除く）／総数(人),従業者数（送出者を除く）／うち男(人),個人業主及び無給家族従業者／総数(人),個人業主及び無給家族従業者／うち男(人),常用労働者／常用雇用者／正社員・正職員等／総数(人),常用労働者／常用雇用者／正社員・正職員等／うち男(人),常用労働者／常用雇用者／パート・アルバイト等／総数(人),常用労働者／常用雇用者／パート・アルバイト等／うち男(人),常用労働者／出向・派遣受入者／総数(人),常用労働者／出向・派遣受入者／うち男(人),臨時雇用者／総数(人),臨時雇用者／うち男(人),現金給与総額(万円),原材料使用額等(万円),製造品出荷額等／総額(万円),製造品出荷額等／製造品出荷額(万円),製造品出荷額等／加工賃収入額(万円),製造品出荷額等／修理料収入額(万円),製造品出荷額等／くず・廃物出荷額(万円),製造品出荷額等／その他の収入額(万円),付加価値額(29人以下は粗付加価値額)(万円),粗付加価値額(万円),有形固定資産額（30人以上）／年初現在高(万円),有形固定資産額（30人以上）／取得額(万円),有形固定資産額（30人以上）／除却額(万円),有形固定資産額（30人以上）／減価償却額(万円)
0,00,総数,0,00,総数,10322,251310,177079,409,303,187320,150333,52945,19851,13827,9450,1972,911,114874501,410310281,762831766,666267861,42721627,2462715,73347,51306216,321445700,329856642,143364374,19716786,2662754,13411808
0,00,総数,1,01,4～9人,5124,30881,20032,392,291,24023,17540,6431,2177,114,83,457,222,10577157,17980812,38663278,28913600,8222720,167136,8592,1351230,19159423,19159423,…,…,…,…
0,00,総数,1,02,10～19人,2686,36252,24508,17,12,27867,21599,8134,2742,400,297,226,124,14102421,35389284,65972085,53452832,9370625,311255,9213,2828160,28373587,28373587,…,…,…,…
0,00,総数,1,03,20～29人,1107,26816,18361,-,-,20495,16246,6030,1941,402,264,149,60,11427735,28844123,55204893,45333861,6732601,338503,15435,2784493,24503768,24503768,…,…,…,…
0,00,総数,1,04,30～49人,642,24882,17682,-,-,19276,15630,5059,1694,666,463,202,94,11045997,29658225,55869734,46342208,4957807,256776,5949,4306994,23632221,24561824,19774038,2109753,434683,1188683
0,00,総数,1,05,50～99人,457,30753,21598,-,-,23161,18725,6524,2235,1240,795,142,48,14026546,42802458,77461901,65286650,6506999,416294,14601,5237357,29976504,32479780,28978387,2888942,365021,2092008
0,00,総数,1,06,100～199人,191,25863,18118,-,-,18870,15486,5953,2065,1413,890,93,58,12349675,43034405,78252214,68316149,3941688,725355,15054,5253968,28812791,30915005,29281371,2604838,632205,2374672
0,00,総数,1,07,200～299人,42,10090,6927,-,-,6632,5358,2796,1144,763,518,82,2,4771665,17333583,28558145,26151626,555512,103812,-,1747195,9904590,10735539,9190159,1169835,233347,799674
0,00,総数,1,08,300～499人,33,12616,7679,-,-,6999,5523,4902,1747,854,534,417,206,5828243,20407824,36302760,34894642,866670,x,x,x,14274358,15191331,15818748,1222516,171869,997947
0,00,総数,1,09,500～999人,20,12704,9300,-,-,8204,7022,3051,1465,1887,1197,30,12,7416473,27115258,42271923,41646847,347603,x,x,x,14031816,14850754,10698359,1900390,214746,1422421
0,00,総数,1,10,1000人以上,20,40453,32874,-,-,31793,27204,4065,2641,6088,4409,174,85,23328589,147744309,284274833,255929446,1219402,-,-,27125985,128776642,129085631,29623312,7820512,610883,4536403
1,09,食料品製造業,0,00,総数,703,30903,15267,45,33,12614,9222,16811,5310,1487,747,775,340,9809930,41770626,71621313,65222339,648576,194,3432,5746772,26437753,27780830,17409769,1773525,362150,1344012
