産業分類階層,産業コード,産業中分類,在庫額／年初(万円),在庫額／年末／実数(万円),在庫額／年末／構成比(％),在庫額／年末／年初比(％),製造品在庫額／年初(万円),製造品在庫額／年末(万円),半製品・仕掛品在庫額／年初(万円),半製品・仕掛品在庫額／年末(万円)
0,00,総数,64676205,69677071,100,107.7,17511819,16839878,47164386,52837193
1,09,食料品,941814,942749,1.4,100.1,681883,731673,259931,211076
1,10,飲料・飼料等,160105,114631,0.2,71.6,113886,68396,46219,46235
1,11,繊維工業,102944,112365,0.2,109.2,65821,73996,37123,38369
1,12,木材・木製品,x,x,x,x,x,x,x,x
1,13,家具・装備品,2084130,2641424,3.8,126.7,110035,167819,1974095,2473605
1,14,紙・紙加工品,303209,338181,0.5,111.5,241716,273273,61493,64908
1,15,印刷・同関連業,1645365,1707008,2.4,103.7,445893,441725,1199472,1265283
1,16,化学工業,2326251,2405109,3.5,103.4,1069936,1177450,1256315,1227659
1,17,石油・石炭,x,x,x,x,x,x,x,x
1,18,プラスチック,258935,230052,0.3,88.8,155031,144607,103904,85445
1,19,ゴム製品,89709,178379,0.3,198.8,53561,142525,36148,35854
1,20,皮革・同製品,442404,428683,0.6,96.9,313507,299569,128897,129114
1,21,窯業・土石,571717,491363,0.7,85.9,470174,366214,101543,125149
1,22,鉄鋼業,1115328,1140153,1.6,102.2,451898,424068,663430,716085
1,23,非鉄金属,620064,635904,0.9,102.6,289730,260383,330334,375521
1,24,金属製品,877999,851320,1.2,97,478030,468432,399969,382888
1,25,はん用機械,1287147,1574920,2.3,122.4,242052,213260,1045095,1361660
1,26,生産用機械,3019849,3476734,5,115.1,671929,749388,2347920,2727346
1,27,業務用機械,4440880,3459339,5,77.9,2431022,1625333,2009858,1834006
1,28,電子・デバイス,1683634,1955317,2.8,116.1,556619,754919,1127015,1200398
1,29,電気機械,13321519,14127943,20.3,106.1,2637795,2980750,10683724,11147193
1,30,情報通信機械,7116148,8977415,12.9,126.2,741774,681799,6374374,8295616
1,31,輸送用機械,21096309,22673964,32.5,107.5,4636349,4136365,16459960,18537599
1,32,その他,1120717,1167386,1.7,104.2,617785,626011,502932,541375
,,,,,,,,,,
2018東京の工業　平成30年工業統計調査報告（平成29年実績）,,,,,,,,,,
付表6　産業中分類別在庫額（従業者30人以上）,,,,,,,,,,
産業分類階層（0：総数　1：産業中分類）,,,,,,,,,,
