従業者規模,現金給与総額／平成29年／実数(万円),現金給与総額／平成29年／構成比(％),現金給与総額／平成29年／増減数(万円),現金給与総額／平成29年／増減率(％),現金給与総額／平成28年／実数(万円),現金給与総額／平成28年／構成比(％),原材料使用額等／平成29年／実数(万円),原材料使用額等／平成29年／構成比(％),原材料使用額等／平成29年／増減数(万円),原材料使用額等／平成29年／増減率(％),原材料使用額等／平成28年／実数(万円),原材料使用額等／平成28年／構成比(％)
総数,114874501,100,-3733385,-3.1,118607886,100,410310281,100,-1705409,-0.4,412015690,100
4～9人,10577157,9.2,-679227,-6,11256384,9.5,17980812,4.4,-1003956,-5.3,18984768,4.6
10～19人,14102421,12.3,-470089,-3.2,14572510,12.3,35389284,8.6,1144683,3.3,34244601,8.3
20～29人,11427735,9.9,-91321,-0.8,11519056,9.7,28844123,7,-98560,-0.3,28942683,7
30～49人,11045997,9.6,380892,3.6,10665105,9,29658225,7.2,2392869,8.8,27265356,6.6
50～99人,14026546,12.2,844598,6.4,13181948,11.1,42802458,10.4,1541081,3.7,41261377,10
100～199人,12349675,10.8,-106778,-0.9,12456453,10.5,43034405,10.5,-1980481,-4.4,45014886,10.9
200～299人,4771665,4.2,416952,9.6,4354713,3.7,17333583,4.2,619310,3.7,16714273,4.1
300～499人,5828243,5.1,-954783,-14.1,6783026,5.7,20407824,5,-6385586,-23.8,26793410,6.5
500～999人,7416473,6.5,-737804,-9,8154277,6.9,27115258,6.6,389723,1.5,26725535,6.5
1000人以上,23328589,20.3,-2335825,-9.1,25664414,21.6,147744309,36,1675508,1.1,146068801,35.5
,,,,,,,,,,,,
2018東京の工業　平成30年工業統計調査報告（平成29年実績）,,,,,,,,,,,,
付表5　従業者規模別現金給与総額及び原材料使用額等（従業者4人以上）,,,,,,,,,,,,
