地域階層,地域コード,地域,産業分類階層,産業コード,産業小分類,事業所数,従業者数（送出者を除く）／総数（人）,従業者数（送出者を除く）／うち男（人）,個人業主及び無給家族従業者／総数（人）,個人業主及び無給家族従業者／うち男（人）,常用労働者／常用雇用者／正社員・正職員等／総数（人）,常用労働者／常用雇用者／正社員・正職員等／うち男（人）,常用労働者／常用雇用者／パート・アルバイト等／総数（人）,常用労働者／常用雇用者／パート・アルバイト等／うち男（人）,常用労働者／出向・派遣受入者／総数（人）,常用労働者／出向・派遣受入者／うち男（人）,臨時雇用者／総数（人）,臨時雇用者／うち男（人）,現金給与総額（万円）,原材料使用額等（万円）,製造品出荷額等／総額（万円）,製造品出荷額等／うち製造品出荷額（万円）,製造品出荷額等／うち加工賃収入額（万円）,付加価値額（29人以下は粗付加価値額）（万円）,粗付加価値額（万円）
0,13000,東京都,0,000,総数,10322,251310,177079,409,303,187320,150333,52945,19851,13827,9450,1972,911,114874501,410310281,762831766,666267861,42721627,321445700,329856642
0,13000,東京都,1,090,食料品製造業,703,30903,15267,45,33,12614,9222,16811,5310,1487,747,775,340,9809930,41770626,71621313,65222339,648576,26437753,27780830
0,13000,東京都,2,091,畜産食料品製造業,48,2669,1640,-,-,1314,1097,1255,468,107,76,12,2,929801,9100961,13639764,13289404,11985,3886764,4222116
0,13000,東京都,2,092,水産食料品製造業,74,1663,798,16,9,661,480,797,219,190,91,12,9,560839,2892991,4385504,3804382,64447,1290555,1393767
0,13000,東京都,2,093,野菜缶詰・果実缶詰・農産保存食料品製造業,24,523,229,1,1,238,170,282,57,2,1,10,4,138693,974797,1246367,480422,4017,246625,252295
0,13000,東京都,2,094,調味料製造業,26,870,461,1,1,541,362,317,95,13,5,17,-,335257,1566877,2546380,2222797,39332,843344,914502
0,13000,東京都,2,095,糖類製造業,4,109,86,-,-,108,90,5,-,-,-,1,-,85259,1010111,1472110,1438061,x,388215,430273
0,13000,東京都,2,096,精穀・製粉業,18,383,305,-,-,321,268,48,26,17,14,2,-,178224,4071669,5535084,5272086,x,1320205,1356574
0,13000,東京都,2,097,パン・菓子製造業,214,10210,5243,17,13,5068,3546,4971,1596,156,90,687,303,3696141,8414382,18663158,17347747,161151,9162023,9524986
0,13000,東京都,2,098,動植物油脂製造業,17,623,470,-,-,565,438,74,49,4,3,-,-,392406,2540703,3415870,2342722,166916,761760,820984
