産業分類階層,産業コード,産業中分類,現金給与総額／平成29年／実数(万円),現金給与総額／平成29年／構成比(％),現金給与総額／平成29年／増減数(万円),現金給与総額／平成29年／増減率(％),現金給与総額／平成28年／実数(万円),現金給与総額／平成28年／構成比(％),原材料使用額等／平成29年／実数(万円),原材料使用額等／平成29年／構成比(％),原材料使用額等／平成29年／増減数(万円),原材料使用額等／平成29年／増減率(％),原材料使用額等／平成28年／実数(万円),原材料使用額等／平成28年／構成比(％)
0,00,総数,114874501,100,-3733385,-3.1,118607886,100,410310281,100,-1705409,-0.4,412015690,100
1,09,食料品,9809930,8.5,374152,4,9435778,8,41770626,10.2,-1111087,-2.6,42881713,10.4
1,10,飲料・飼料等,523010,0.5,-15376,-2.9,538386,0.5,5503834,1.3,-109074,-1.9,5612908,1.4
1,11,繊維工業,1262256,1.1,-18076,-1.4,1280332,1.1,2710501,0.7,18536,0.7,2691965,0.7
1,12,木材・木製品,219802,0.2,2249,1,217553,0.2,525933,0.1,115151,28,410782,0.1
1,13,家具・装備品,1675177,1.5,71068,4.4,1604109,1.4,7420592,1.8,411260,5.9,7009332,1.7
1,14,紙・紙加工品,2279337,2,-105543,-4.4,2384880,2,8010837,2,-425965,-5,8436802,2
1,15,印刷・同関連業,20307127,17.7,370644,1.9,19936483,16.8,35399471,8.6,331711,0.9,35067760,8.5
1,16,化学工業,5822130,5.1,-87487,-1.5,5909617,5,17133156,4.2,-1302763,-7.1,18435919,4.5
1,17,石油・石炭,190179,0.2,-25551,-11.8,215730,0.2,2032766,0.5,71285,3.6,1961481,0.5
1,18,プラスチック,3032128,2.6,32428,1.1,2999700,2.5,5883313,1.4,323140,5.8,5560173,1.3
1,19,ゴム製品,924856,0.8,-186853,-16.8,1111709,0.9,1859318,0.5,-45352,-2.4,1904670,0.5
1,20,皮革・同製品,1212781,1.1,44345,3.8,1168436,1,4249885,1,-142060,-3.2,4391945,1.1
1,21,窯業・土石,1878375,1.6,-138619,-6.9,2016994,1.7,10157732,2.5,419126,4.3,9738606,2.4
1,22,鉄鋼業,1464491,1.3,153507,11.7,1310984,1.1,12066489,2.9,1727325,16.7,10339164,2.5
1,23,非鉄金属,1099584,1,-12234,-1.1,1111818,0.9,6527275,1.6,796854,13.9,5730421,1.4
1,24,金属製品,7354917,6.4,71537,1,7283380,6.1,12567230,3.1,372440,3.1,12194790,3
1,25,はん用機械,3689503,3.2,63266,1.7,3626237,3.1,8939787,2.2,1220,0,8938567,2.2
1,26,生産用機械,8152913,7.1,215141,2.7,7937772,6.7,21870985,5.3,1220781,5.9,20650204,5
1,27,業務用機械,6758335,5.9,41135,0.6,6717200,5.7,16726162,4.1,63448,0.4,16662714,4
1,28,電子・デバイス,5409032,4.7,-46784,-0.9,5455816,4.6,29309393,7.1,6517690,28.6,22791703,5.5
1,29,電気機械,12461526,10.8,-1362632,-9.9,13824158,11.7,34796130,8.5,-9907061,-22.2,44703191,10.8
1,30,情報通信機械,5169947,4.5,-411823,-7.4,5581770,4.7,32454132,7.9,939819,3,31514313,7.6
1,31,輸送用機械,10087141,8.8,-2903872,-22.4,12991013,11,80666449,19.7,-2378482,-2.9,83044931,20.2
1,32,その他,4090024,3.6,141993,3.6,3948031,3.3,11728285,2.9,386649,3.4,11341636,2.8
,,,,,,,,,,,,,,
2018東京の工業　平成30年工業統計調査報告（平成29年実績）,,,,,,,,,,,,,,
付表4　産業中分類別現金給与総額及び原材料使用額等（従業者4人以上）,,,,,,,,,,,,,,
産業分類階層（0：総数　1：産業中分類）,,,,,,,,,,,,,,
